"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-17T20:28:00.000Z",19.93,28.15,12.92,26.51,12.15,3748
"2026-05-17T20:28:20.000Z",21.98,28.95,20.76,25.99,12.21,4132
"2026-05-17T20:28:40.000Z",21.7,26.56,21.99,28.11,10.16,4081
"2026-05-17T20:29:00.000Z",20.56,24.02,19.85,27.33,11.03,3865
"2026-05-17T20:29:20.000Z",21.33,28.2,7.04,29.46,20.63,4011
"2026-05-17T20:29:40.000Z",20.59,26.69,6.12,30.15,19.41,3872
"2026-05-17T20:30:00.000Z",24.96,25.98,31.98,31.08,10.78,4692
"2026-05-17T20:30:20.000Z",18.73,27.6,13.44,28.43,5.43,3521
"2026-05-17T20:30:40.000Z",19.58,27.12,5.75,31.81,13.67,3682
"2026-05-17T20:31:00.000Z",23.31,34.55,9.24,28.67,20.77,4382
"2026-05-17T20:31:20.000Z",21.89,27.8,19.85,28.51,11.42,4116
"2026-05-17T20:31:40.000Z",22.35,38.64,10.84,29.67,10.25,4202
"2026-05-17T20:32:00.000Z",17.57,27.62,5.28,29.95,7.44,3304
"2026-05-17T20:32:20.000Z",26.42,32.49,20.37,30.93,21.88,4967
"2026-05-17T20:32:40.000Z",21.15,25.12,5.77,29.67,24.06,3977
"2026-05-17T20:33:00.000Z",22.01,25.77,11.02,30.67,20.59,4139
"2026-05-17T20:33:20.000Z",18.49,28.18,10.97,25.74,9.08,3477
"2026-05-17T20:33:40.000Z",22.29,28.12,6.65,32.58,21.8,4190
"2026-05-17T20:34:00.000Z",18.59,26.3,9.54,29.32,9.2,3495
"2026-05-17T20:34:20.000Z",20.94,31.75,14.23,28.43,9.34,3937
"2026-05-17T20:34:40.000Z",19.03,31.32,13.94,25.42,5.45,3579
"2026-05-17T20:35:00.000Z",17.38,21.19,16.12,21.44,10.79,3269
"2026-05-17T20:35:20.000Z",21.4,28.48,6.43,28.64,22.03,4023
"2026-05-17T20:35:40.000Z",22.17,27.77,24.23,30.83,5.86,4168
"2026-05-17T20:36:00.000Z",28.69,44.95,7.27,49.01,13.53,5394
"2026-05-17T20:36:20.000Z",29.94,15.45,32.93,31.07,40.33,5630
"2026-05-17T20:36:40.000Z",35.82,48.87,21.82,52.78,19.8,6734
"2026-05-17T20:37:00.000Z",32.15,47.74,13.41,46.17,21.27,6045
"2026-05-17T20:37:20.000Z",28.11,35.41,30.42,32.87,13.74,5285
"2026-05-17T20:37:40.000Z",26.17,29.57,19.49,32.71,22.94,4921
"2026-05-17T20:38:00.000Z",21.62,30.48,5.29,31.6,19.12,4065
"2026-05-17T20:38:20.000Z",29.68,31.63,34.1,32.71,20.27,5580
"2026-05-17T20:38:40.000Z",26.87,20.09,29.74,32.03,25.65,5053
"2026-05-17T20:39:00.000Z",24.45,13.44,33.22,20.19,30.93,4597
"2026-05-17T20:39:20.000Z",24.61,15.67,33.72,10.68,38.37,4627
"2026-05-17T20:39:40.000Z",18.5,6.71,25.48,16.39,25.43,3479
"2026-05-17T20:40:00.000Z",28.91,24.8,32.7,23.07,35.07,5436
"2026-05-17T20:40:20.000Z",29.38,23.42,43.78,8.09,42.25,5525
"2026-05-17T20:40:40.000Z",34.09,13.87,45.35,29.68,47.45,6409
"2026-05-17T20:41:00.000Z",40.7,13.65,58.24,34.33,56.59,7653
"2026-05-17T20:41:20.000Z",29.25,10.91,41.12,24.34,40.61,5499
"2026-05-17T20:41:40.000Z",26.02,10.89,31.92,31.29,29.98,4892
"2026-05-17T20:42:00.000Z",19.1,9.58,25.83,10.1,30.88,3591
"2026-05-17T20:42:20.000Z",22.2,22.09,31,9.72,26,4175
"2026-05-17T20:42:40.000Z",19.82,13.69,30.82,4.9,29.88,3727
"2026-05-17T20:43:00.000Z",23.34,6.62,32.72,21.57,32.44,4388
"2026-05-17T20:43:20.000Z",25.15,20.81,33.32,14.74,31.75,4729
"2026-05-17T20:43:40.000Z",26.42,19.92,36.83,10.56,38.36,4967
"2026-05-17T20:44:00.000Z",30.81,31.2,42.72,11.42,37.89,5792
"2026-05-17T20:44:20.000Z",40.44,16.09,71.62,5.99,68.05,7603
"2026-05-17T20:44:40.000Z",24.96,23.49,33.88,9.54,32.96,4694
"2026-05-17T20:45:00.000Z",24.41,27.03,33.71,5.04,31.86,4589
"2026-05-17T20:45:20.000Z",25.85,21.49,32.46,17.79,31.68,4861
"2026-05-17T20:45:40.000Z",19.39,7.65,29.49,11.81,28.6,3645
"2026-05-17T20:46:00.000Z",23.21,21.78,34.26,6.52,30.28,4364
"2026-05-17T20:46:20.000Z",23.03,5.25,30.51,25.4,30.96,4330
"2026-05-17T20:46:40.000Z",19.08,10.35,18.99,28.01,18.97,3588
"2026-05-17T20:47:00.000Z",21.57,32.03,16.69,31.95,5.6,4055
"2026-05-17T20:47:20.000Z",31.69,48.79,18.64,49.56,9.75,5957
"2026-05-17T20:47:40.000Z",37.66,56.04,23.56,59.69,11.34,7080
"2026-05-17T20:48:00.000Z",33.82,50.83,25.63,46.88,11.95,6359
"2026-05-17T20:48:20.000Z",33.94,41.67,26.35,34,33.74,6381
"2026-05-17T20:48:40.000Z",22.12,34.35,10.39,34.25,9.48,4158
"2026-05-17T20:49:00.000Z",22.56,31.12,19.14,33.9,6.07,4241
"2026-05-17T20:49:20.000Z",22.17,30.24,20.26,32.22,5.94,4168
"2026-05-17T20:49:40.000Z",23.48,30.1,13.24,31.2,19.37,4414
"2026-05-17T20:50:00.000Z",24.02,30.78,16.4,41.8,7.11,4516
"2026-05-17T20:50:20.000Z",30.84,51.27,7.53,44.65,19.91,5798
"2026-05-17T20:50:40.000Z",18.75,26.19,15.38,27.58,5.86,3526
"2026-05-17T20:51:00.000Z",21.46,32.3,11.39,31.24,10.9,4034
"2026-05-17T20:51:20.000Z",18.83,29.32,8.25,26.95,10.8,3540
"2026-05-17T20:51:40.000Z",19.12,24.25,21.89,25.43,4.93,3596
"2026-05-17T20:52:00.000Z",19.01,26.25,18.66,26.53,4.61,3575
"2026-05-17T20:52:20.000Z",18.91,28.67,15.61,26.04,5.33,3556
"2026-05-17T20:52:40.000Z",18.91,23.67,20.25,24.02,7.72,3556
"2026-05-17T20:53:00.000Z",17.43,22.14,5.46,23.71,18.41,3277
"2026-05-17T20:53:20.000Z",16.98,24.4,8.4,23.19,11.92,3192
"2026-05-17T20:53:40.000Z",21.91,23.28,12.31,22.24,29.8,4119
"2026-05-17T20:54:00.000Z",24.38,29.16,17.86,32.69,17.8,4583
"2026-05-17T20:54:20.000Z",21.87,24.35,22.93,25.22,14.97,4111
"2026-05-17T20:54:40.000Z",21.91,28,5.5,31.05,23.1,4120
"2026-05-17T20:55:00.000Z",20.18,23.56,24.43,25.54,7.16,3793
"2026-05-17T20:55:20.000Z",22.93,31.64,11.34,29.69,19.03,4311
"2026-05-17T20:55:40.000Z",28.28,31.04,29.97,32.13,19.99,5317
"2026-05-17T20:56:00.000Z",28.01,40.68,10.03,37.13,24.19,5266
"2026-05-17T20:56:20.000Z",34.26,46.23,25.57,37.06,28.19,6442
"2026-05-17T20:56:40.000Z",30.83,30.2,28.33,41.47,23.31,5797
"2026-05-17T20:57:00.000Z",17.95,24.59,11.5,23.09,12.63,3375
"2026-05-17T20:57:20.000Z",29.15,39.21,21,40.9,15.5,5481
"2026-05-17T20:57:40.000Z",27.79,35.8,22.69,33.35,19.33,5226
"2026-05-17T20:58:00.000Z",22.47,18.98,27.18,16.15,27.57,4225
"2026-05-17T20:58:20.000Z",31.81,31.05,32.94,29.82,33.42,5980
"2026-05-17T20:58:40.000Z",25.12,18.61,31.5,23.21,27.17,4723
"2026-05-17T20:59:00.000Z",26.79,28.32,34.02,12.3,32.51,5037
"2026-05-17T20:59:20.000Z",22.76,12.06,27.28,25.76,25.95,4280
"2026-05-17T20:59:40.000Z",23.2,10.47,27.67,28.11,26.53,4361
"2026-05-17T21:00:00.000Z",24.18,18,32.53,13.44,32.75,4546
"2026-05-17T21:00:20.000Z",23.32,32.22,23.26,15.04,22.77,4385
"2026-05-17T21:00:40.000Z",23.67,25.3,16.84,24.96,27.56,4450
"2026-05-17T21:01:00.000Z",27.18,32.48,14.56,32.76,28.91,5110
"2026-05-17T21:01:20.000Z",29.99,27.51,42.96,27.52,21.97,5639
"2026-05-17T21:01:40.000Z",17.97,26.13,11.03,24.73,9.99,3379
"2026-05-17T21:02:00.000Z",22.41,29.59,15.37,16.35,28.33,4213
"2026-05-17T21:02:20.000Z",25.6,32.54,23.84,32.46,13.55,4813
"2026-05-17T21:02:40.000Z",23.62,26.59,22.28,26.52,19.08,4441
"2026-05-17T21:03:00.000Z",16.42,15.84,16.9,12.5,20.45,3088
"2026-05-17T21:03:20.000Z",17.48,9.69,23.72,10.78,25.74,3287
"2026-05-17T21:03:40.000Z",20.83,5.09,24.45,31.6,22.17,3916
"2026-05-17T21:04:00.000Z",22.46,21.76,26.14,14.28,27.64,4222
"2026-05-17T21:04:20.000Z",20.01,7.1,28.49,17.09,27.36,3763
"2026-05-17T21:04:40.000Z",22.46,32.29,21.59,9.87,26.11,4223
"2026-05-17T21:05:00.000Z",21.04,13.81,24.42,21.43,24.52,3957
"2026-05-17T21:05:20.000Z",21.24,16.35,23.7,20.64,24.26,3993
"2026-05-17T21:05:40.000Z",15.77,9.26,22.75,8.99,22.08,2966
"2026-05-17T21:06:00.000Z",23.48,18.45,26.38,22.07,27.03,4415
"2026-05-17T21:06:20.000Z",27.78,32,19.45,27.58,32.07,5222
"2026-05-17T21:06:40.000Z",17.92,6.77,26.3,13.34,25.27,3370
"2026-05-17T21:07:00.000Z",19.51,7.21,22.51,23.81,24.52,3669
"2026-05-17T21:07:20.000Z",21.23,15.64,27.7,9.55,32.04,3992
"2026-05-17T21:07:40.000Z",23.17,19.94,27.03,17.93,27.79,4357
"2026-05-17T21:08:00.000Z",16.1,8.78,27.3,4.54,23.77,3026
"2026-05-17T21:08:20.000Z",22.55,15.7,30.19,12.89,31.44,4241
"2026-05-17T21:08:40.000Z",17.04,5.9,24.7,15.21,22.37,3205
"2026-05-17T21:09:00.000Z",18.97,6.43,22.44,23.25,23.75,3567
"2026-05-17T21:09:20.000Z",21.61,27.58,24.8,7.01,27.06,4064
"2026-05-17T21:09:40.000Z",15.84,10.45,23.13,8.62,21.16,2978
"2026-05-17T21:10:00.000Z",15.92,8.78,23.9,8.07,22.93,2994
"2026-05-17T21:10:20.000Z",23.93,25.26,29.03,10.15,31.3,4500
"2026-05-17T21:10:40.000Z",20.03,24.47,25.95,5.49,24.21,3766
"2026-05-17T21:11:00.000Z",18.54,6.77,24.65,12.85,29.88,3486
"2026-05-17T21:11:20.000Z",20.5,20.51,25.17,13.05,23.27,3854
"2026-05-17T21:11:40.000Z",21.12,5.42,21.61,32.61,24.85,3971
"2026-05-17T21:12:00.000Z",23.11,14.22,29.69,19.47,29.04,4345
"2026-05-17T21:12:20.000Z",23.59,14.41,32.95,13.65,33.34,4434
"2026-05-17T21:12:40.000Z",21.62,29.91,24.78,7.16,24.64,4065
"2026-05-17T21:13:00.000Z",23.98,36.04,24.81,9.08,26.01,4510
"2026-05-17T21:13:20.000Z",16.96,9.44,21.46,10.04,26.91,3190
"2026-05-17T21:13:40.000Z",17.61,8.13,20.8,19.6,21.92,3312
"2026-05-17T21:14:00.000Z",19.07,13.03,20.17,14.86,28.21,3585
"2026-05-17T21:14:20.000Z",20.02,23.12,5.13,25.51,26.33,3765
"2026-05-17T21:14:40.000Z",15.83,23.6,7.25,20.95,11.51,2976
"2026-05-17T21:15:00.000Z",19.71,25.43,8.2,26.23,18.96,3705
"2026-05-17T21:15:20.000Z",18.98,26.9,12.36,26.71,9.93,3568
"2026-05-17T21:15:40.000Z",16.88,24.02,7.62,24.63,11.24,3174
"2026-05-17T21:16:00.000Z",20.94,25.68,12.21,27.54,18.33,3937
"2026-05-17T21:16:20.000Z",22.9,27.24,32.22,26.04,6.11,4306
"2026-05-17T21:16:40.000Z",18.1,23.6,21.92,22.72,4.15,3403
"2026-05-17T21:17:00.000Z",19.83,25.63,6.09,25.27,22.31,3728
"2026-05-17T21:17:20.000Z",19.21,26.15,11.12,26.78,12.79,3612
"2026-05-17T21:17:40.000Z",18.03,21.14,23.48,21.69,5.82,3390
"2026-05-17T21:18:00.000Z",22.61,26.7,27.22,25.74,10.77,4250
"2026-05-17T21:18:20.000Z",19.25,23.24,5.54,24.56,23.67,3620
"2026-05-17T21:18:40.000Z",15.5,18.89,7.62,23.07,12.42,2915
"2026-05-17T21:19:00.000Z",16.92,22.8,6.48,21.94,16.47,3182
"2026-05-17T21:19:20.000Z",22.95,24.84,11.22,25.31,30.4,4314
"2026-05-17T21:19:40.000Z",18.59,23.98,5.48,21.44,23.47,3495
"2026-05-17T21:20:00.000Z",19.93,25.76,18.37,23.92,11.67,3747
"2026-05-17T21:20:20.000Z",23.71,24.6,18.11,26.9,25.24,4458
"2026-05-17T21:20:40.000Z",17.86,22.1,4.99,24.57,19.78,3358
"2026-05-17T21:21:00.000Z",18.24,29.61,5.38,29.16,8.82,3430
"2026-05-17T21:21:20.000Z",17.22,25.34,6.81,22.56,14.16,3237
"2026-05-17T21:21:40.000Z",19.58,18.6,13.01,20.05,26.67,3682
"2026-05-17T21:22:00.000Z",19.42,22.64,8.37,27.37,19.28,3651
"2026-05-17T21:22:20.000Z",18.45,25.85,8.99,25.91,13.07,3470
"2026-05-17T21:22:40.000Z",22.67,30.18,22.87,18.51,19.13,4263
"2026-05-17T21:23:00.000Z",19.28,4.51,23.14,22.15,27.33,3626
"2026-05-17T21:23:20.000Z",17.52,13.91,23.46,9.11,23.6,3295
"2026-05-17T21:23:40.000Z",19.1,24.75,23.48,4.63,23.52,3591
"2026-05-17T21:24:00.000Z",19.06,11.06,29.86,5.1,30.23,3584
"2026-05-17T21:24:20.000Z",19.84,13.37,28.49,10.39,27.11,3730
"2026-05-17T21:24:40.000Z",21.01,20.5,22.18,19.39,21.98,3951
"2026-05-17T21:25:00.000Z",21.01,6.88,27.21,22.47,27.47,3950
"2026-05-17T21:25:20.000Z",40.23,38.88,51.1,37.23,33.69,7563
"2026-05-17T21:25:40.000Z",43.64,72.42,16.74,70.94,14.46,8205
"2026-05-17T21:26:00.000Z",39.01,40.16,42.08,35.73,38.05,7334
"2026-05-17T21:26:20.000Z",22.96,26.41,13.02,32.92,19.51,4318
"2026-05-17T21:26:40.000Z",22.14,29.26,7.73,29.66,21.91,4163
"2026-05-17T21:27:00.000Z",17.84,25.89,14.86,24.44,6.19,3355
"2026-05-17T21:27:20.000Z",22.45,30.94,23.34,26.01,9.53,4222
"2026-05-17T21:27:40.000Z",15.62,22.14,9.01,25.27,6.05,2936
