"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-17T20:28:20.000Z",4550320,2525304,8300468,31664,0,91.85,9630880
"2026-05-17T20:28:40.000Z",4497892,2524780,8301420,31488,0,91.85,9631260
"2026-05-17T20:29:00.000Z",4497892,2519944,8307120,31656,0,91.95,9641560
"2026-05-17T20:29:20.000Z",4494784,2514624,8316028,31676,0,92,9646928
"2026-05-17T20:29:40.000Z",4473808,2514336,8316800,31872,0,92.01,9647608
"2026-05-17T20:30:00.000Z",4484416,2513892,8317692,32648,0,92.01,9647652
"2026-05-17T20:30:20.000Z",4421772,2513424,8318944,32800,0,92,9646432
"2026-05-17T20:30:40.000Z",4254020,2513088,8319580,33396,0,91.99,9644920
"2026-05-17T20:31:00.000Z",4296108,2511908,8322960,33384,0,92.01,9647100
"2026-05-17T20:31:20.000Z",4299504,2511368,8324040,33768,0,91.95,9641500
"2026-05-17T20:31:40.000Z",4298056,2510364,8325456,33324,0,91.97,9643756
"2026-05-17T20:32:00.000Z",4298556,2509776,8326332,33564,0,91.94,9640656
"2026-05-17T20:32:20.000Z",4316344,2509376,8326936,33184,0,91.97,9643332
"2026-05-17T20:32:40.000Z",4662360,2508920,8327528,32956,0,91.99,9645428
"2026-05-17T20:33:00.000Z",4662448,2508228,8328440,32952,0,92.1,9656628
"2026-05-17T20:33:20.000Z",4662168,2507692,8329292,33416,0,92.03,9649496
"2026-05-17T20:33:40.000Z",4465508,2507024,8330440,33588,0,92.02,9648152
"2026-05-17T20:34:00.000Z",4465600,2506572,8331692,33408,0,92.03,9649248
"2026-05-17T20:34:20.000Z",4382304,2500152,8353084,32468,0,92.18,9665584
"2026-05-17T20:34:40.000Z",4591356,2505476,8330184,32912,0,91.98,9644056
"2026-05-17T20:35:00.000Z",4591364,2508648,8331204,33072,0,92.01,9647900
"2026-05-17T20:35:20.000Z",4654436,2504072,8341196,32500,0,92.21,9668748
"2026-05-17T20:35:40.000Z",4463496,2501380,8345564,31996,0,92.41,9688988
"2026-05-17T20:36:00.000Z",4463544,2475216,8377976,27972,0,93.05,9757012
"2026-05-17T20:36:20.000Z",4485896,2489044,8376984,27556,0,93.18,9770440
"2026-05-17T20:36:40.000Z",4484832,2467292,8389732,27632,0,93.18,9770116
"2026-05-17T20:37:00.000Z",4482640,2465424,8393900,27848,0,93.25,9777040
"2026-05-17T20:37:20.000Z",4426972,2442844,8418680,26812,0,93.29,9781256
"2026-05-17T20:37:40.000Z",4421912,2440080,8422904,27128,0,93.37,9789588
"2026-05-17T20:38:00.000Z",4422640,2436200,8430204,26832,0,93.49,9802592
"2026-05-17T20:38:20.000Z",4474960,2435164,8421416,26664,0,93.58,9811796
"2026-05-17T20:38:40.000Z",4454472,2416644,8422988,26664,0,93.46,9799048
"2026-05-17T20:39:00.000Z",5272400,2481600,8348032,25600,0,92.87,9737800
"2026-05-17T20:39:20.000Z",5219972,2572400,8354816,25468,0,92.51,9699808
"2026-05-17T20:39:40.000Z",5298304,2568180,8360824,24568,0,92.54,9703432
"2026-05-17T20:40:00.000Z",6095224,2581932,8319064,24548,0,92.22,9670040
"2026-05-17T20:40:20.000Z",6137176,2576944,8330904,24568,0,92.33,9680976
"2026-05-17T20:40:40.000Z",6088204,2598016,8284604,24772,0,91.89,9634652
"2026-05-17T20:41:00.000Z",5647504,2590292,8301556,24696,0,92.14,9661084
"2026-05-17T20:41:20.000Z",5667912,2588072,8309380,24984,0,92.14,9661076
"2026-05-17T20:41:40.000Z",5651452,2586208,8317828,24648,0,92.23,9670896
"2026-05-17T20:42:00.000Z",5337728,2584684,8322988,24836,0,92.39,9687728
"2026-05-17T20:42:20.000Z",5368116,2583316,8324008,24276,0,92.35,9682968
"2026-05-17T20:42:40.000Z",5374056,2582344,8325616,25128,0,92.25,9672952
"2026-05-17T20:43:00.000Z",5374620,2581452,8332232,25512,0,92.33,9680680
"2026-05-17T20:43:20.000Z",5406000,2578072,8337632,25500,0,92.35,9683268
"2026-05-17T20:43:40.000Z",5456492,2577552,8338644,25568,0,92.31,9678552
"2026-05-17T20:44:00.000Z",6022192,2578060,8340128,25940,0,92.25,9672756
"2026-05-17T20:44:20.000Z",5907028,2571172,8350292,25456,0,92.38,9686460
"2026-05-17T20:44:40.000Z",5872372,2574948,8346976,25536,0,92.39,9687516
"2026-05-17T20:45:00.000Z",5620740,2573972,8348524,25768,0,92.41,9689892
"2026-05-17T20:45:20.000Z",5590052,2573120,8352076,25460,0,92.54,9702776
"2026-05-17T20:45:40.000Z",5570404,2570468,8354764,25992,0,92.56,9704924
"2026-05-17T20:46:00.000Z",5256348,2567300,8357976,26900,0,92.62,9711120
"2026-05-17T20:46:20.000Z",5266528,2566012,8360516,26376,0,92.52,9700700
"2026-05-17T20:46:40.000Z",5319476,2562516,8365624,26408,0,92.57,9706640
"2026-05-17T20:47:00.000Z",5508648,2563276,8364036,26616,0,92.48,9696884
"2026-05-17T20:47:20.000Z",5519912,2555312,8374192,25020,0,92.64,9713828
