"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-18T18:03:20.000Z",105656,0,367936,8,0,18.1,1898236
"2026-05-18T18:03:40.000Z",106056,0,367936,8,0,17.91,1878104
"2026-05-18T18:04:00.000Z",105388,0,365872,8,0,17.74,1860728
"2026-05-18T18:04:20.000Z",99448,0,365872,8,0,17.73,1859776
"2026-05-18T18:04:40.000Z",99904,0,365872,8,0,17.75,1861720
"2026-05-18T18:05:00.000Z",99912,0,365872,8,0,17.75,1861720
"2026-05-18T18:05:20.000Z",104180,0,365872,8,0,17.77,1863928
"2026-05-18T18:05:40.000Z",101856,0,365872,8,0,17.78,1865076
"2026-05-18T18:06:00.000Z",102184,0,365976,8,0,17.81,1867976
"2026-05-18T18:06:20.000Z",106676,0,365976,8,0,17.74,1860820
"2026-05-18T18:06:40.000Z",109084,0,365976,8,0,17.9,1877780
"2026-05-18T18:07:00.000Z",107652,0,365976,8,0,17.74,1860220
"2026-05-18T18:07:20.000Z",105296,0,365976,8,0,17.9,1877216
"2026-05-18T18:07:40.000Z",105872,0,365976,8,0,17.77,1863408
"2026-05-18T18:08:00.000Z",105440,0,365976,8,0,17.79,1865816
"2026-05-18T18:08:20.000Z",132912,0,447600,8,0,18.8,1971740
"2026-05-18T18:08:40.000Z",128676,0,447620,8,0,18.76,1967736
"2026-05-18T18:09:00.000Z",128848,0,447852,8,0,18.86,1977760
"2026-05-18T18:09:20.000Z",187148,0,448024,8,0,18.64,1955200
"2026-05-18T18:09:40.000Z",217780,0,448040,8,0,18.65,1955676
"2026-05-18T18:10:00.000Z",218204,0,448052,8,0,18.59,1949252
"2026-05-18T18:10:20.000Z",154680,0,448088,8,0,18.59,1949468
"2026-05-18T18:10:40.000Z",133232,0,448124,8,0,18.62,1952892
"2026-05-18T18:11:00.000Z",133432,0,448168,8,0,18.61,1951840
"2026-05-18T18:11:20.000Z",132016,0,448184,8,0,18.76,1967944
"2026-05-18T18:11:40.000Z",125260,0,448184,8,0,18.63,1953892
"2026-05-18T18:12:00.000Z",121724,0,448184,8,0,18.56,1946732
"2026-05-18T18:12:20.000Z",124344,0,448184,8,0,18.56,1946772
"2026-05-18T18:12:40.000Z",116268,0,448300,8,0,18.71,1962540
"2026-05-18T18:13:00.000Z",116072,0,448300,8,0,18.62,1952728
"2026-05-18T18:13:20.000Z",117172,0,448300,8,0,18.62,1952748
"2026-05-18T18:13:40.000Z",132608,0,448300,8,0,18.63,1953992
"2026-05-18T18:14:00.000Z",130832,0,448300,8,0,18.57,1947648
"2026-05-18T18:14:20.000Z",131484,0,448308,8,0,18.67,1957948
"2026-05-18T18:14:40.000Z",122440,0,448324,8,0,18.57,1947996
"2026-05-18T18:15:00.000Z",121728,0,448360,8,0,18.61,1952232
"2026-05-18T18:15:20.000Z",122148,0,448384,8,0,18.57,1947504
"2026-05-18T18:15:40.000Z",126116,0,448396,8,0,18.57,1948036
"2026-05-18T18:16:00.000Z",125972,0,448404,8,0,18.57,1948028
"2026-05-18T18:16:20.000Z",126180,0,448408,8,0,18.59,1949144
"2026-05-18T18:16:40.000Z",110688,0,448408,8,0,18.58,1948336
"2026-05-18T18:17:00.000Z",107368,0,448408,8,0,18.57,1947192
"2026-05-18T18:17:20.000Z",109676,0,448408,8,0,18.57,1947872
"2026-05-18T18:17:40.000Z",108340,0,448408,8,0,18.57,1947356
"2026-05-18T18:18:00.000Z",108232,0,448408,8,0,18.57,1947588
"2026-05-18T18:18:20.000Z",109216,0,448408,8,0,18.58,1948252
"2026-05-18T18:18:40.000Z",111236,0,448408,8,0,18.58,1948840
"2026-05-18T18:19:00.000Z",111236,0,448408,8,0,18.58,1948844
"2026-05-18T18:19:20.000Z",111236,0,448408,8,0,18.58,1948876
"2026-05-18T18:19:40.000Z",112592,0,448408,8,0,18.58,1948924
"2026-05-18T18:20:00.000Z",112632,0,448408,8,0,18.58,1948880
"2026-05-18T18:20:20.000Z",111636,0,448408,8,0,18.58,1948912
"2026-05-18T18:20:40.000Z",106820,0,448408,8,0,18.57,1947652
"2026-05-18T18:21:00.000Z",106212,0,448408,8,0,18.57,1947092
"2026-05-18T18:21:20.000Z",107092,0,448408,8,0,18.58,1948492
"2026-05-18T18:21:40.000Z",108572,0,448408,8,0,18.56,1946620
"2026-05-18T18:22:00.000Z",108544,0,448408,8,0,18.56,1946660
"2026-05-18T18:22:20.000Z",109052,0,448408,8,0,18.57,1947660
"2026-05-18T18:22:40.000Z",104824,0,448408,8,0,18.58,1948296
"2026-05-18T18:23:00.000Z",105492,0,448408,8,0,18.6,1950336
"2026-05-18T18:23:20.000Z",88636,0,365608,8,0,17.85,1871888
"2026-05-18T18:23:40.000Z",96384,0,365608,8,0,17.85,1871960
"2026-05-18T18:24:00.000Z",96492,0,365608,8,0,17.85,1872004
"2026-05-18T18:24:20.000Z",96536,0,365608,8,0,17.85,1872012
"2026-05-18T18:24:40.000Z",94412,0,365608,8,0,17.86,1872600
"2026-05-18T18:25:00.000Z",94412,0,365608,8,0,17.86,1872600
"2026-05-18T18:25:20.000Z",94224,0,365608,8,0,17.84,1871472
"2026-05-18T18:25:40.000Z",89296,0,365608,8,0,17.83,1870044
"2026-05-18T18:26:00.000Z",88708,0,365608,8,0,17.82,1869000
"2026-05-18T18:26:20.000Z",89516,0,365608,8,0,17.86,1873148
"2026-05-18T18:26:40.000Z",92640,0,365608,8,0,17.83,1869640
"2026-05-18T18:27:00.000Z",92640,0,365608,8,0,17.83,1869668
"2026-05-18T18:27:20.000Z",93508,0,365608,8,0,17.83,1870044
"2026-05-18T18:27:40.000Z",93508,0,365608,8,0,17.83,1870044
"2026-05-18T18:28:00.000Z",94284,0,365608,8,0,17.83,1870136
"2026-05-18T18:28:20.000Z",94352,0,365608,8,0,17.83,1870160
"2026-05-18T18:28:40.000Z",94356,0,365608,8,0,17.83,1870184
"2026-05-18T18:29:00.000Z",93212,0,365608,8,0,17.83,1870184
"2026-05-18T18:29:20.000Z",93224,0,365608,8,0,17.83,1870188
"2026-05-18T18:29:40.000Z",93224,0,365608,8,0,17.83,1870188
"2026-05-18T18:30:00.000Z",92580,0,365608,8,0,17.84,1870672
"2026-05-18T18:30:20.000Z",92588,0,365608,8,0,17.84,1870700
"2026-05-18T18:30:40.000Z",92600,0,365608,8,0,17.84,1870976
"2026-05-18T18:31:00.000Z",90148,0,365608,8,0,17.84,1871012
"2026-05-18T18:31:20.000Z",90468,0,365608,8,0,17.84,1871032
"2026-05-18T18:31:40.000Z",90468,0,365608,8,0,17.84,1871044
"2026-05-18T18:32:00.000Z",97488,0,365608,8,0,17.84,1871064
"2026-05-18T18:32:20.000Z",97488,0,365608,8,0,17.84,1871324
"2026-05-18T18:32:40.000Z",97488,0,365608,8,0,17.84,1871328
"2026-05-18T18:33:00.000Z",94904,0,365608,8,0,17.84,1871352
"2026-05-18T18:33:20.000Z",94904,0,365608,8,0,17.84,1871340
"2026-05-18T18:33:40.000Z",94904,0,365608,8,0,17.84,1871340
"2026-05-18T18:34:00.000Z",92616,0,365608,8,0,17.84,1871340
"2026-05-18T18:34:20.000Z",92616,0,365608,8,0,17.84,1871348
"2026-05-18T18:34:40.000Z",92616,0,365608,8,0,17.84,1871340
"2026-05-18T18:35:00.000Z",91244,0,365608,8,0,17.84,1871340
"2026-05-18T18:35:20.000Z",91240,0,365608,8,0,17.84,1870828
"2026-05-18T18:35:40.000Z",91240,0,365608,8,0,17.84,1870836
"2026-05-18T18:36:00.000Z",91468,0,365608,8,0,17.83,1870188
"2026-05-18T18:36:20.000Z",93216,0,365608,8,0,17.84,1870716
"2026-05-18T18:36:40.000Z",93256,0,365608,8,0,17.84,1870716
"2026-05-18T18:37:00.000Z",94172,0,365608,8,0,17.84,1870736
"2026-05-18T18:37:20.000Z",96416,0,365608,8,0,17.84,1870748
"2026-05-18T18:37:40.000Z",96416,0,365608,8,0,17.84,1870748
"2026-05-18T18:38:00.000Z",96416,0,365608,8,0,17.84,1870760
"2026-05-18T18:38:20.000Z",94208,0,365608,8,0,17.84,1870772
"2026-05-18T18:38:40.000Z",94208,0,365608,8,0,17.84,1870772
"2026-05-18T18:39:00.000Z",94208,0,365608,8,0,17.84,1870772
"2026-05-18T18:39:20.000Z",93988,0,365608,8,0,17.84,1870776
"2026-05-18T18:39:40.000Z",93988,0,365608,8,0,17.84,1870768
"2026-05-18T18:40:00.000Z",93988,0,365608,8,0,17.84,1870768
"2026-05-18T18:40:20.000Z",95660,0,365608,8,0,17.84,1870924
"2026-05-18T18:40:40.000Z",95660,0,365608,8,0,17.84,1870924
"2026-05-18T18:41:00.000Z",95660,0,365608,8,0,17.84,1870924
"2026-05-18T18:41:20.000Z",92920,0,365608,8,0,17.84,1870944
"2026-05-18T18:41:40.000Z",92920,0,365608,8,0,17.84,1870944
"2026-05-18T18:42:00.000Z",92920,0,365608,8,0,17.84,1870960
"2026-05-18T18:42:20.000Z",91936,0,365608,8,0,17.84,1870976
"2026-05-18T18:42:40.000Z",91936,0,365608,8,0,17.84,1870976
"2026-05-18T18:43:00.000Z",91936,0,365608,8,0,17.84,1870984
"2026-05-18T18:43:20.000Z",92528,0,365608,8,0,17.84,1870984
"2026-05-18T18:43:40.000Z",92528,0,365608,8,0,17.84,1870988
"2026-05-18T18:44:00.000Z",92528,0,365608,8,0,17.84,1870988
"2026-05-18T18:44:20.000Z",95816,0,365608,8,0,17.84,1870996
"2026-05-18T18:44:40.000Z",95816,0,365608,8,0,17.84,1870988
"2026-05-18T18:45:00.000Z",95816,0,365608,8,0,17.84,1870988
"2026-05-18T18:45:20.000Z",95572,0,365608,8,0,17.84,1870624
"2026-05-18T18:45:40.000Z",95572,0,365608,8,0,17.84,1870624
"2026-05-18T18:46:00.000Z",95572,0,365608,8,0,17.84,1870624
"2026-05-18T18:46:20.000Z",94180,0,365608,8,0,17.84,1870648
"2026-05-18T18:46:40.000Z",94180,0,365608,8,0,17.84,1870648
"2026-05-18T18:47:00.000Z",94180,0,365608,8,0,17.84,1870660
"2026-05-18T18:47:20.000Z",90616,0,365608,8,0,17.84,1870676
"2026-05-18T18:47:40.000Z",90616,0,365608,8,0,17.84,1870676
"2026-05-18T18:48:00.000Z",90616,0,365608,8,0,17.84,1870684
"2026-05-18T18:48:20.000Z",90596,0,365608,8,0,17.84,1870688
"2026-05-18T18:48:40.000Z",90596,0,365608,8,0,17.84,1870688
"2026-05-18T18:49:00.000Z",90724,0,365608,8,0,17.84,1870700
"2026-05-18T18:49:20.000Z",94200,0,365608,8,0,17.84,1870700
"2026-05-18T18:49:40.000Z",94200,0,365608,8,0,17.84,1870700
"2026-05-18T18:50:00.000Z",94312,0,365608,8,0,17.84,1870696
"2026-05-18T18:50:20.000Z",94732,0,365608,8,0,17.84,1870684
"2026-05-18T18:50:40.000Z",94732,0,365608,8,0,17.84,1870688
"2026-05-18T18:51:00.000Z",94732,0,365608,8,0,17.84,1870688
"2026-05-18T18:51:20.000Z",92896,0,365608,8,0,17.84,1870716
"2026-05-18T18:51:40.000Z",92896,0,365608,8,0,17.84,1870716
"2026-05-18T18:52:00.000Z",92928,0,365608,8,0,17.84,1870728
"2026-05-18T18:52:20.000Z",92972,0,365608,8,0,17.84,1870776
"2026-05-18T18:52:40.000Z",89944,0,365608,8,0,17.84,1870788
"2026-05-18T18:53:00.000Z",90308,0,365608,8,0,17.84,1870796
"2026-05-18T18:53:20.000Z",89984,0,365608,8,0,17.84,1870784
"2026-05-18T18:53:40.000Z",96700,0,365608,8,0,17.84,1870784
"2026-05-18T18:54:00.000Z",96700,0,365608,8,0,17.84,1870784
"2026-05-18T18:54:20.000Z",96700,0,365608,8,0,17.84,1870792
"2026-05-18T18:54:40.000Z",93340,0,365608,8,0,17.84,1870800
"2026-05-18T18:55:00.000Z",93340,0,365608,8,0,17.84,1870800
"2026-05-18T18:55:20.000Z",93348,0,365608,8,0,17.84,1870808
"2026-05-18T18:55:40.000Z",94676,0,365608,8,0,17.84,1870812
"2026-05-18T18:56:00.000Z",94676,0,365608,8,0,17.84,1870812
"2026-05-18T18:56:20.000Z",94724,0,365608,8,0,17.84,1870816
"2026-05-18T18:56:40.000Z",91076,0,365608,8,0,17.84,1870820
"2026-05-18T18:57:00.000Z",91076,0,365608,8,0,17.84,1870836
"2026-05-18T18:57:20.000Z",91112,0,365608,8,0,17.84,1870848
"2026-05-18T18:57:40.000Z",93436,0,365608,8,0,17.84,1870848
"2026-05-18T18:58:00.000Z",93436,0,365608,8,0,17.84,1870860
"2026-05-18T18:58:20.000Z",93436,0,365608,8,0,17.84,1870872
"2026-05-18T18:58:40.000Z",94452,0,365608,8,0,17.84,1870872
"2026-05-18T18:59:00.000Z",94452,0,365608,8,0,17.84,1870880
"2026-05-18T18:59:20.000Z",94452,0,365608,8,0,17.84,1870876
"2026-05-18T18:59:40.000Z",96672,0,365608,8,0,17.99,1886944
"2026-05-18T19:00:00.000Z",3061776,0,2364908,8,0,37.93,3977524
"2026-05-18T19:00:20.000Z",3062724,0,3315728,8,0,46.54,4880468
"2026-05-18T19:00:40.000Z",3070368,0,3317776,8,0,46.57,4883552
"2026-05-18T19:01:00.000Z",3087728,0,3317776,8,0,46.65,4891356
"2026-05-18T19:01:20.000Z",3087344,0,3319824,8,0,46.7,4896676
"2026-05-18T19:01:40.000Z",3084440,0,3336208,8,0,46.7,4896812
