"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-18T18:03:20.000Z",1.54,3.29,2.8,3.5,2.88,527
"2026-05-18T18:03:40.000Z",1.17,2.39,2.2,2.66,2.59,415
"2026-05-18T18:04:00.000Z",0.68,0.96,1.34,1,2.72,253
"2026-05-18T18:04:20.000Z",1.42,0.7,1.35,0.89,2.38,253
"2026-05-18T18:04:40.000Z",0.59,0.22,1,0.52,2.68,189
"2026-05-18T18:05:00.000Z",0.18,0.16,0.96,0.63,2.86,180
"2026-05-18T18:05:20.000Z",1.57,0.58,1.22,0.65,2.08,230
"2026-05-18T18:05:40.000Z",4.35,1.34,2.37,1.56,2.23,446
"2026-05-18T18:06:00.000Z",1.69,0.63,1.43,0.75,2.65,270
"2026-05-18T18:06:20.000Z",2.02,0.51,1.21,0.3,2.01,228
"2026-05-18T18:06:40.000Z",0.46,0.42,1.13,0.29,3.37,214
"2026-05-18T18:07:00.000Z",1.67,1.19,1.7,1.72,2.22,320
"2026-05-18T18:07:20.000Z",2.99,1.55,2.06,1.56,2.14,388
"2026-05-18T18:07:40.000Z",1.92,0.24,1.1,0.35,1.9,208
"2026-05-18T18:08:00.000Z",2.67,0.72,1.3,0.77,1.05,245
"2026-05-18T18:08:20.000Z",4.35,1.92,3.21,3.57,3.01,604
"2026-05-18T18:08:40.000Z",2.01,0.32,1.21,0.19,2.31,227
"2026-05-18T18:09:00.000Z",1.39,0.47,1.55,0.61,3.71,292
"2026-05-18T18:09:20.000Z",2.9,1.35,2.48,1.53,4.12,466
"2026-05-18T18:09:40.000Z",2.22,0.45,1.15,0.39,1.55,217
"2026-05-18T18:10:00.000Z",3.68,0.16,1.13,0.2,0.47,212
"2026-05-18T18:10:20.000Z",1.53,2.82,2.06,2.19,1.7,388
"2026-05-18T18:10:40.000Z",0.3,2.58,1.23,1.56,0.47,231
"2026-05-18T18:11:00.000Z",1.63,3.01,1.91,1.63,1.34,359
"2026-05-18T18:11:20.000Z",0.53,1.63,1.44,2.56,1.05,271
"2026-05-18T18:11:40.000Z",0.41,2.07,1.22,1.87,0.53,229
"2026-05-18T18:12:00.000Z",0.36,1.18,1.03,2.32,0.25,194
"2026-05-18T18:12:20.000Z",0.53,2.61,1.19,1.27,0.35,224
"2026-05-18T18:12:40.000Z",1.31,5.12,2.5,2.22,1.36,471
"2026-05-18T18:13:00.000Z",1.13,2.08,1.57,2.08,1.01,296
"2026-05-18T18:13:20.000Z",0.45,2.6,1.04,0.8,0.31,196
"2026-05-18T18:13:40.000Z",0.32,1.35,1,2.04,0.28,188
"2026-05-18T18:14:00.000Z",1.53,3.04,1.99,2.01,1.39,375
"2026-05-18T18:14:20.000Z",0.92,2.74,1.73,1.94,1.32,326
"2026-05-18T18:14:40.000Z",1.08,1.85,1.36,2,0.52,257
"2026-05-18T18:15:00.000Z",1.03,1.19,1.52,3.08,0.76,285
"2026-05-18T18:15:20.000Z",0.43,1.99,1.21,1.83,0.56,227
"2026-05-18T18:15:40.000Z",0.22,0.61,1.04,3.02,0.32,197
"2026-05-18T18:16:00.000Z",0.24,1.07,0.93,2.17,0.24,175
"2026-05-18T18:16:20.000Z",0.7,3.93,1.42,0.68,0.37,267
"2026-05-18T18:16:40.000Z",0.27,2.9,0.93,0.31,0.23,175
"2026-05-18T18:17:00.000Z",0.35,3.01,0.96,0.28,0.22,182
"2026-05-18T18:17:20.000Z",0.33,1.61,1.08,1.89,0.47,203
"2026-05-18T18:17:40.000Z",0.33,1.28,1.05,2.36,0.25,198
"2026-05-18T18:18:00.000Z",0.4,2.48,1.03,1.02,0.22,193
"2026-05-18T18:18:20.000Z",0.31,0.46,1.09,3.21,0.39,206
"2026-05-18T18:18:40.000Z",0.18,0.24,0.93,2.98,0.32,175
"2026-05-18T18:19:00.000Z",0.26,1.78,0.91,1.34,0.24,171
"2026-05-18T18:19:20.000Z",0.4,3.17,1.06,0.39,0.29,200
"2026-05-18T18:19:40.000Z",0.18,1.25,0.9,1.85,0.33,170
"2026-05-18T18:20:00.000Z",0.18,2.12,0.9,1.04,0.26,170
"2026-05-18T18:20:20.000Z",0.64,1.68,1.22,2.03,0.54,230
"2026-05-18T18:20:40.000Z",0.2,1.03,1.1,2.83,0.33,207
"2026-05-18T18:21:00.000Z",0.2,0.26,0.92,2.89,0.31,173
"2026-05-18T18:21:20.000Z",0.45,0.89,1.31,3.31,0.6,247
"2026-05-18T18:21:40.000Z",0.33,3.58,1.12,0.36,0.22,211
"2026-05-18T18:22:00.000Z",0.22,1.27,0.93,1.93,0.28,175
"2026-05-18T18:22:20.000Z",0.26,1.21,1.21,2.87,0.52,229
"2026-05-18T18:22:40.000Z",0.16,0.31,0.91,2.83,0.34,172
"2026-05-18T18:23:00.000Z",0.25,0.72,1.1,2.92,0.52,207
"2026-05-18T18:23:20.000Z",0.91,0.98,1.53,3.26,0.97,288
"2026-05-18T18:23:40.000Z",0.3,0.19,0.91,2.94,0.23,172
"2026-05-18T18:24:00.000Z",0.4,1.45,0.99,1.87,0.22,186
