"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-19T18:25:00.000Z",0.17,2.53,0.9,0.58,0.33,170
"2026-05-19T18:25:20.000Z",1.46,0.53,1.11,0.63,1.84,210
"2026-05-19T18:25:40.000Z",0.25,0.16,0.87,0.26,2.83,164
"2026-05-19T18:26:00.000Z",1.26,0.35,1.47,0.74,3.53,277
"2026-05-19T18:26:20.000Z",0.4,0.29,1.16,0.56,3.4,219
"2026-05-19T18:26:40.000Z",0.69,0.29,0.88,0.25,2.3,166
"2026-05-19T18:27:00.000Z",0.53,0.26,1,0.31,2.88,188
"2026-05-19T18:27:20.000Z",0.75,0.48,1,0.32,2.45,188
"2026-05-19T18:27:40.000Z",2.41,0.4,0.9,0.19,0.59,169
"2026-05-19T18:28:00.000Z",2.87,0.33,0.92,0.17,0.3,173
"2026-05-19T18:28:20.000Z",2.43,0.29,0.95,0.32,0.75,179
"2026-05-19T18:28:40.000Z",1.08,0.34,0.87,0.23,1.83,164
"2026-05-19T18:29:00.000Z",0.99,0.34,0.89,0.25,1.98,167
"2026-05-19T18:29:20.000Z",0.33,0.24,0.94,0.45,2.73,177
"2026-05-19T18:29:40.000Z",0.23,0.29,0.91,0.25,2.88,172
"2026-05-19T18:30:00.000Z",0.27,0.43,0.88,0.14,2.68,165
"2026-05-19T18:30:20.000Z",0.57,0.54,1.19,0.58,3.09,225
"2026-05-19T18:30:40.000Z",2.2,0.13,0.85,0.18,0.88,159
"2026-05-19T18:31:00.000Z",1.9,0.16,1.07,0.15,2.09,202
"2026-05-19T18:31:20.000Z",0.8,0.22,1.18,0.21,3.5,222
"2026-05-19T18:31:40.000Z",0.21,0.09,0.96,0.22,3.3,180
"2026-05-19T18:32:00.000Z",2.6,0.1,0.88,0.3,0.51,165
"2026-05-19T18:32:20.000Z",0.74,0.24,1.06,0.27,2.98,199
"2026-05-19T18:32:40.000Z",0.33,0.2,0.91,0.1,3.03,172
"2026-05-19T18:33:00.000Z",0.91,0.23,0.96,0.12,2.56,180
"2026-05-19T18:33:20.000Z",0.35,0.23,0.91,0.13,2.92,171
"2026-05-19T18:33:40.000Z",1.89,0.19,0.87,0.09,1.32,165
"2026-05-19T18:34:00.000Z",2.07,0.33,0.9,0.19,0.99,169
"2026-05-19T18:34:20.000Z",0.35,0.27,0.97,0.13,3.11,182
"2026-05-19T18:34:40.000Z",0.77,0.16,0.83,0.14,2.26,157
"2026-05-19T18:35:00.000Z",2.62,0.2,0.9,0.11,0.68,170
"2026-05-19T18:35:20.000Z",1.22,0.56,1.2,0.42,2.6,226
"2026-05-19T18:35:40.000Z",1.03,0.13,0.88,0.06,2.28,165
"2026-05-19T18:36:00.000Z",1.69,0.19,0.96,0.09,1.87,181
"2026-05-19T18:36:20.000Z",1.87,0.21,1.15,0.19,2.34,217
"2026-05-19T18:36:40.000Z",0.98,0.19,0.86,0.1,2.17,162
"2026-05-19T18:37:00.000Z",2.68,0.3,0.87,0.14,0.39,165
"2026-05-19T18:37:20.000Z",1.69,0.2,0.95,0.22,1.7,179
"2026-05-19T18:37:40.000Z",0.44,0.19,0.93,0.09,2.98,174
"2026-05-19T18:38:00.000Z",0.36,0.14,0.94,0.25,3.01,177
"2026-05-19T18:38:20.000Z",2.09,0.23,0.94,0.15,1.3,177
"2026-05-19T18:38:40.000Z",0.76,0.24,1.09,0.1,3.26,205
"2026-05-19T18:39:00.000Z",2.33,0.27,0.91,0.09,0.97,172
"2026-05-19T18:39:20.000Z",0.37,0.33,0.93,0.14,2.88,176
"2026-05-19T18:39:40.000Z",1.35,0.22,0.9,0.1,1.91,169
"2026-05-19T18:40:00.000Z",0.83,0.18,0.89,0.23,2.32,168
"2026-05-19T18:40:20.000Z",1.15,0.5,1.23,0.49,2.77,231
"2026-05-19T18:40:40.000Z",1.56,0.15,0.93,0.16,1.85,175
"2026-05-19T18:41:00.000Z",0.86,0.14,1.02,0.09,2.98,192
"2026-05-19T18:41:20.000Z",2.8,0.22,1.12,0.17,1.3,212
"2026-05-19T18:41:40.000Z",0.33,0.13,0.89,0.17,2.95,169
"2026-05-19T18:42:00.000Z",0.29,0.17,0.96,0.24,3.14,181
"2026-05-19T18:42:20.000Z",1,0.31,0.97,0.26,2.31,183
"2026-05-19T18:42:40.000Z",0.34,0.2,0.91,0.2,2.91,172
"2026-05-19T18:43:00.000Z",0.55,0.35,0.99,0.18,2.88,187
"2026-05-19T18:43:20.000Z",0.51,0.3,0.98,0.21,2.92,185
"2026-05-19T18:43:40.000Z",2.58,0.2,0.92,0.19,0.7,173
"2026-05-19T18:44:00.000Z",0.56,0.17,0.86,0.18,2.51,161
"2026-05-19T18:44:20.000Z",0.73,0.21,0.92,0.26,2.49,174
