"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-19T18:25:20.000Z",106740,0,449584,8,0,18.75,1966096
"2026-05-19T18:25:40.000Z",106752,0,449584,8,0,18.75,1966376
"2026-05-19T18:26:00.000Z",90504,0,366956,8,0,17.92,1879496
"2026-05-19T18:26:20.000Z",92416,0,366956,8,0,17.99,1886704
"2026-05-19T18:26:40.000Z",91128,0,366956,8,0,17.95,1882620
"2026-05-19T18:27:00.000Z",91708,0,366956,8,0,17.97,1884112
"2026-05-19T18:27:20.000Z",96304,0,366956,8,0,17.93,1880668
"2026-05-19T18:27:40.000Z",96544,0,366956,8,0,17.93,1880704
"2026-05-19T18:28:00.000Z",96556,0,366956,8,0,17.93,1880812
"2026-05-19T18:28:20.000Z",94060,0,366956,8,0,17.93,1880816
"2026-05-19T18:28:40.000Z",94060,0,366956,8,0,17.93,1880816
"2026-05-19T18:29:00.000Z",94484,0,366956,8,0,17.94,1881412
"2026-05-19T18:29:20.000Z",93876,0,366956,8,0,17.94,1881424
"2026-05-19T18:29:40.000Z",93876,0,366956,8,0,17.94,1881424
"2026-05-19T18:30:00.000Z",93876,0,366956,8,0,17.94,1881424
"2026-05-19T18:30:20.000Z",95556,0,366956,8,0,17.95,1882184
"2026-05-19T18:30:40.000Z",95568,0,366956,8,0,17.95,1883048
"2026-05-19T18:31:00.000Z",95568,0,366956,8,0,17.96,1883720
"2026-05-19T18:31:20.000Z",92408,0,366956,8,0,17.96,1883884
"2026-05-19T18:31:40.000Z",90860,0,366956,8,0,17.93,1880688
"2026-05-19T18:32:00.000Z",88056,0,366956,8,0,17.89,1876092
"2026-05-19T18:32:20.000Z",91472,0,366956,8,0,17.89,1876544
"2026-05-19T18:32:40.000Z",91428,0,366956,8,0,17.89,1876536
"2026-05-19T18:33:00.000Z",88332,0,366956,8,0,17.89,1876564
"2026-05-19T18:33:20.000Z",90380,0,366956,8,0,17.89,1876300
"2026-05-19T18:33:40.000Z",90380,0,366956,8,0,17.89,1876260
"2026-05-19T18:34:00.000Z",90392,0,366956,8,0,17.89,1876336
"2026-05-19T18:34:20.000Z",94884,0,366956,8,0,17.89,1876348
"2026-05-19T18:34:40.000Z",94884,0,366956,8,0,17.89,1876348
"2026-05-19T18:35:00.000Z",95312,0,366956,8,0,17.89,1876512
"2026-05-19T18:35:20.000Z",92964,0,366956,8,0,17.89,1875884
"2026-05-19T18:35:40.000Z",93248,0,366956,8,0,17.89,1876172
"2026-05-19T18:36:00.000Z",93260,0,366956,8,0,17.88,1875692
"2026-05-19T18:36:20.000Z",93572,0,366956,8,0,17.91,1878296
"2026-05-19T18:36:40.000Z",95372,0,366956,8,0,17.91,1878296
"2026-05-19T18:37:00.000Z",94636,0,366956,8,0,17.91,1877988
"2026-05-19T18:37:20.000Z",95472,0,366956,8,0,17.91,1878020
