"Time","Usage for esxidr.hbmsolutions.mt"
"2026-05-16T14:28:20.000Z",6.7
"2026-05-16T14:28:40.000Z",6.31
"2026-05-16T14:29:00.000Z",6.7
"2026-05-16T14:29:20.000Z",6.27
"2026-05-16T14:29:40.000Z",6.87
"2026-05-16T14:30:00.000Z",6.15
"2026-05-16T14:30:20.000Z",6.84
"2026-05-16T14:30:40.000Z",6.39
"2026-05-16T14:31:00.000Z",6.03
"2026-05-16T14:31:20.000Z",7.4
"2026-05-16T14:31:40.000Z",6.59
"2026-05-16T14:32:00.000Z",6.38
"2026-05-16T14:32:20.000Z",4.58
"2026-05-16T14:32:40.000Z",5.11
"2026-05-16T14:33:00.000Z",5.6
"2026-05-16T14:33:20.000Z",5.99
"2026-05-16T14:33:40.000Z",3.67
"2026-05-16T14:34:00.000Z",3.97
"2026-05-16T14:34:20.000Z",4.14
"2026-05-16T14:34:40.000Z",4.05
"2026-05-16T14:35:00.000Z",4.16
"2026-05-16T14:35:20.000Z",4.75
"2026-05-16T14:35:40.000Z",4.64
"2026-05-16T14:36:00.000Z",5.22
"2026-05-16T14:36:20.000Z",6.34
"2026-05-16T14:36:40.000Z",6.81
"2026-05-16T14:37:00.000Z",6.82
"2026-05-16T14:37:20.000Z",6.87
"2026-05-16T14:37:40.000Z",6.32
"2026-05-16T14:38:00.000Z",6.32
"2026-05-16T14:38:20.000Z",6.55
"2026-05-16T14:38:40.000Z",5.69
"2026-05-16T14:39:00.000Z",3.57
"2026-05-16T14:39:20.000Z",3.04
"2026-05-16T14:39:40.000Z",2.91
"2026-05-16T14:40:00.000Z",2.9
"2026-05-16T14:40:20.000Z",3.23
"2026-05-16T14:40:40.000Z",3.17
"2026-05-16T14:41:00.000Z",2.93
"2026-05-16T14:41:20.000Z",3.43
"2026-05-16T14:41:40.000Z",3.16
"2026-05-16T14:42:00.000Z",1.34
"2026-05-16T14:42:20.000Z",1.37
"2026-05-16T14:42:40.000Z",0.93
"2026-05-16T14:43:00.000Z",0.98
"2026-05-16T14:43:20.000Z",0.96
"2026-05-16T14:43:40.000Z",2.47
"2026-05-16T14:44:00.000Z",1.13
