"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-16T14:29:40.000Z",24.2,27.84,24.5,24.83,19.64,4550
"2026-05-16T14:30:00.000Z",24.48,24.11,28.9,20.04,24.88,4603
"2026-05-16T14:30:20.000Z",23.99,23.13,25.42,22.96,24.47,4511
"2026-05-16T14:30:40.000Z",23.48,24.35,18.62,31.24,19.72,4415
"2026-05-16T14:31:00.000Z",22.32,14.68,26.18,15.23,33.21,4197
"2026-05-16T14:31:20.000Z",25.27,26.14,27.66,21.56,25.75,4752
"2026-05-16T14:31:40.000Z",23.56,25.51,19.51,24.35,24.86,4429
"2026-05-16T14:32:00.000Z",23.47,28.91,21.73,24.41,18.82,4413
"2026-05-16T14:32:20.000Z",25.89,24.92,22.29,38.29,18.05,4867
"2026-05-16T14:32:40.000Z",24.54,27.37,20.99,23.98,25.83,4614
"2026-05-16T14:33:00.000Z",26.45,23.12,26.74,30.39,25.54,4973
"2026-05-16T14:33:20.000Z",23.21,23.69,20.01,27.65,21.48,4363
"2026-05-16T14:33:40.000Z",21.75,20.07,16.21,33,17.72,4089
"2026-05-16T14:34:00.000Z",27.71,28.76,18.1,30.22,33.75,5209
"2026-05-16T14:34:20.000Z",26.87,29.81,23.08,33.25,21.33,5052
"2026-05-16T14:34:40.000Z",30.63,33.43,28.36,31.75,28.99,5759
"2026-05-16T14:35:00.000Z",25.76,21.44,31.99,20.35,29.25,4843
"2026-05-16T14:35:20.000Z",25.56,30.55,21.28,20.73,29.68,4806
"2026-05-16T14:35:40.000Z",23.49,24.05,25.54,17.26,27.1,4416
"2026-05-16T14:36:00.000Z",20.71,19.52,22.91,15.55,24.87,3894
"2026-05-16T14:36:20.000Z",26.37,27.39,17.36,37.47,23.27,4959
"2026-05-16T14:36:40.000Z",27.77,32.75,21.66,41.4,15.26,5221
"2026-05-16T14:37:00.000Z",24.01,33.29,11.4,35.64,15.71,4514
"2026-05-16T14:37:20.000Z",25.38,25.36,28.69,22.51,24.98,4773
"2026-05-16T14:37:40.000Z",26.48,26.08,25.52,34.65,19.67,4978
"2026-05-16T14:38:00.000Z",25.34,23.87,26.77,26.19,24.51,4764
"2026-05-16T14:38:20.000Z",26.02,28.98,25.69,24.49,24.9,4891
"2026-05-16T14:38:40.000Z",26.2,21.66,26.35,28.88,27.92,4926
"2026-05-16T14:39:00.000Z",22.72,20.29,24.65,22.64,23.3,4271
"2026-05-16T14:39:20.000Z",25.98,37.9,11.18,34.27,20.54,4884
"2026-05-16T14:39:40.000Z",20.39,28.69,10.14,31.48,11.24,3834
"2026-05-16T14:40:00.000Z",21.27,25.61,11.35,26.33,21.79,3999
"2026-05-16T14:40:20.000Z",21.84,28.9,16.35,25.41,16.69,4107
"2026-05-16T14:40:40.000Z",19.65,25.18,19.96,15.56,17.89,3694
"2026-05-16T14:41:00.000Z",18.33,20.49,14.05,16.74,22.04,3446
"2026-05-16T14:41:20.000Z",21.04,27.67,16.23,30.26,10,3955
"2026-05-16T14:41:40.000Z",23.39,25.74,8.84,24.63,34.36,4398
"2026-05-16T14:42:00.000Z",18.04,19.15,18.26,19.64,15.09,3391
"2026-05-16T14:42:20.000Z",24.68,32.64,27.32,30.19,8.55,4639
"2026-05-16T14:42:40.000Z",27.91,37.6,14.4,39.17,20.46,5247
"2026-05-16T14:43:00.000Z",39.95,63.09,28.44,61.27,7.01,7511
"2026-05-16T14:43:20.000Z",33.73,47.29,23.38,45.62,18.62,6341
"2026-05-16T14:43:40.000Z",31.21,44.11,30.46,42.95,7.31,5868
"2026-05-16T14:44:00.000Z",26.33,36.81,11.53,46.39,10.57,4950
"2026-05-16T14:44:20.000Z",26.49,36.12,24.59,34.92,10.34,4981
"2026-05-16T14:44:40.000Z",28.77,36.46,24.29,40.47,13.86,5409
"2026-05-16T14:45:00.000Z",31.36,43.51,13.87,44.81,23.26,5897
"2026-05-16T14:45:20.000Z",25.81,41.57,8.84,40.44,12.38,4852
"2026-05-16T14:45:40.000Z",36.7,55.58,26.17,38.75,26.3,6900
"2026-05-16T14:46:00.000Z",35.29,19.35,56.38,9.55,55.88,6635
"2026-05-16T14:46:20.000Z",33.4,9.87,54.97,15.88,52.89,6280
"2026-05-16T14:46:40.000Z",39.99,16.18,66.07,16.66,61.04,7518
"2026-05-16T14:47:00.000Z",42.77,28.21,55.62,23.33,63.94,8042
"2026-05-16T14:47:20.000Z",40.06,30.58,51.3,33.43,44.92,7531
"2026-05-16T14:47:40.000Z",21.5,6.37,30.07,22.24,27.31,4042
"2026-05-16T14:48:00.000Z",24.78,10.7,38.87,11.46,38.11,4660
"2026-05-16T14:48:20.000Z",33.28,24.67,40.99,32.28,35.19,6258
"2026-05-16T14:48:40.000Z",33.54,42.34,30.17,41.95,19.71,6306
"2026-05-16T14:49:00.000Z",24.91,34.69,14.88,40.87,9.2,4684
"2026-05-16T14:49:20.000Z",30.64,39.41,9.43,38.05,35.66,5760
"2026-05-16T14:49:40.000Z",21.8,24.71,29.05,25.52,7.92,4099
"2026-05-16T14:50:00.000Z",28.19,40.45,5.78,43.81,22.7,5299
"2026-05-16T14:50:20.000Z",43.88,77.63,10.56,74.96,12.36,8249
