"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-16T14:28:20.000Z",97828,0,369528,8,0,17.93,1880584
"2026-05-16T14:28:40.000Z",97828,0,369528,8,0,17.98,1885604
"2026-05-16T14:29:00.000Z",98204,0,369528,8,0,17.97,1884584
"2026-05-16T14:29:20.000Z",98060,0,369528,8,0,17.93,1880144
"2026-05-16T14:29:40.000Z",98132,0,369528,8,0,17.95,1882148
"2026-05-16T14:30:00.000Z",98132,0,369528,8,0,17.97,1885084
"2026-05-16T14:30:20.000Z",97780,0,369528,8,0,18.02,1889580
"2026-05-16T14:30:40.000Z",97780,0,369528,8,0,17.94,1881332
"2026-05-16T14:31:00.000Z",97780,0,369528,8,0,18.01,1888584
"2026-05-16T14:31:20.000Z",96248,0,369528,8,0,18,1888252
"2026-05-16T14:31:40.000Z",97840,0,369528,8,0,18.02,1889984
"2026-05-16T14:32:00.000Z",96440,0,369528,8,0,17.9,1877788
"2026-05-16T14:32:20.000Z",94476,0,369528,8,0,17.92,1879856
"2026-05-16T14:32:40.000Z",94572,0,369528,8,0,17.97,1884732
"2026-05-16T14:33:00.000Z",94572,0,369528,8,0,17.96,1883280
"2026-05-16T14:33:20.000Z",97704,0,369528,8,0,17.91,1878572
"2026-05-16T14:33:40.000Z",97804,0,369528,8,0,17.97,1884524
"2026-05-16T14:34:00.000Z",97804,0,369528,8,0,17.98,1885212
"2026-05-16T14:34:20.000Z",96980,0,369528,8,0,17.9,1877280
"2026-05-16T14:34:40.000Z",97440,0,369528,8,0,17.98,1885256
"2026-05-16T14:35:00.000Z",97440,0,369528,8,0,17.96,1883616
"2026-05-16T14:35:20.000Z",97668,0,369528,8,0,18.05,1892856
"2026-05-16T14:35:40.000Z",97628,0,369528,8,0,17.98,1885824
"2026-05-16T14:36:00.000Z",97692,0,369532,8,0,18.04,1891776
"2026-05-16T14:36:20.000Z",96008,0,369532,8,0,17.97,1884404
"2026-05-16T14:36:40.000Z",98116,0,369532,8,0,17.99,1886904
"2026-05-16T14:37:00.000Z",97132,0,369532,8,0,17.98,1885680
"2026-05-16T14:37:20.000Z",99520,0,369532,8,0,17.96,1883884
"2026-05-16T14:37:40.000Z",98348,0,369532,8,0,17.96,1883972
"2026-05-16T14:38:00.000Z",97312,0,369532,8,0,17.91,1877824
"2026-05-16T14:38:20.000Z",93576,0,369532,8,0,17.93,1880140
"2026-05-16T14:38:40.000Z",93204,0,369524,8,0,17.93,1880888
"2026-05-16T14:39:00.000Z",92684,0,367460,8,0,17.86,1872896
"2026-05-16T14:39:20.000Z",96208,0,367460,8,0,17.96,1883936
"2026-05-16T14:39:40.000Z",95628,0,367460,8,0,17.91,1878324
"2026-05-16T14:40:00.000Z",95628,0,367460,8,0,17.95,1882416
"2026-05-16T14:40:20.000Z",94640,0,367452,8,0,17.9,1877548
"2026-05-16T14:40:40.000Z",103036,0,367452,8,0,17.9,1877020
"2026-05-16T14:41:00.000Z",103388,0,367452,8,0,17.95,1882016
"2026-05-16T14:41:20.000Z",103728,0,367448,8,0,17.89,1876156
"2026-05-16T14:41:40.000Z",97980,0,367448,8,0,17.91,1878124
"2026-05-16T14:42:00.000Z",97428,0,365384,8,0,17.82,1868600
"2026-05-16T14:42:20.000Z",97264,0,365404,8,0,17.9,1876956
"2026-05-16T14:42:40.000Z",93044,0,365404,8,0,17.82,1868576
"2026-05-16T14:43:00.000Z",92916,0,365404,8,0,17.85,1871616
"2026-05-16T14:43:20.000Z",92020,0,365404,8,0,17.8,1867240
"2026-05-16T14:43:40.000Z",95392,0,365416,8,0,17.82,1869384
"2026-05-16T14:44:00.000Z",96080,0,365416,8,0,17.82,1869244
"2026-05-16T14:44:20.000Z",95652,0,365416,8,0,17.8,1866604
"2026-05-16T14:44:40.000Z",114524,0,365416,8,0,17.76,1862284
"2026-05-16T14:45:00.000Z",114956,0,365416,8,0,17.85,1872500
"2026-05-16T14:45:20.000Z",115080,0,365440,8,0,17.81,1867400
"2026-05-16T14:45:40.000Z",104096,0,365440,8,0,17.79,1865704
"2026-05-16T14:46:00.000Z",104416,0,365440,8,0,17.8,1866960
"2026-05-16T14:46:20.000Z",104948,0,365440,8,0,17.84,1871432
"2026-05-16T14:46:40.000Z",106632,0,365440,8,0,17.79,1866176
"2026-05-16T14:47:00.000Z",105672,0,365440,8,0,17.77,1863844
"2026-05-16T14:47:20.000Z",106332,0,365456,8,0,17.76,1862412
"2026-05-16T14:47:40.000Z",106316,0,365456,8,0,17.76,1862828
"2026-05-16T14:48:00.000Z",103744,0,365456,8,0,17.76,1862852
"2026-05-16T14:48:20.000Z",103836,0,365456,8,0,17.76,1862740
