"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-16T14:29:40.000Z",5506048,2185184,8298852,29920,0,93.2,9772232
"2026-05-16T14:30:00.000Z",5506048,2185036,8301920,30316,0,93.2,9772760
"2026-05-16T14:30:20.000Z",5443768,2184012,8309352,30524,0,93.25,9777616
"2026-05-16T14:30:40.000Z",5254948,2182480,8314924,31084,0,93.3,9782280
"2026-05-16T14:31:00.000Z",5254948,2182144,8316812,31212,0,93.27,9779240
"2026-05-16T14:31:20.000Z",5212556,2180748,8322200,31376,0,93.36,9789432
"2026-05-16T14:31:40.000Z",5170376,2175128,8335192,30536,0,93.45,9798608
"2026-05-16T14:32:00.000Z",5107488,2173576,8342244,30592,0,93.44,9797200
"2026-05-16T14:32:20.000Z",5088884,2170632,8358304,29676,0,93.64,9818756
"2026-05-16T14:32:40.000Z",5088500,2168272,8364600,29312,0,93.73,9827696
"2026-05-16T14:33:00.000Z",4963136,2170608,8349868,29720,0,93.55,9808860
"2026-05-16T14:33:20.000Z",4993240,2169380,8353356,29880,0,93.55,9809408
"2026-05-16T14:33:40.000Z",4982732,2168908,8357984,30168,0,93.62,9815876
"2026-05-16T14:34:00.000Z",4919700,2168624,8354192,30444,0,93.59,9812948
"2026-05-16T14:34:20.000Z",4959336,2216112,8353384,30576,0,93.37,9790056
"2026-05-16T14:34:40.000Z",4979668,2215400,8315536,31332,0,93.17,9769220
"2026-05-16T14:35:00.000Z",4979740,2213688,8314552,31620,0,93.14,9765852
"2026-05-16T14:35:20.000Z",4865896,2208908,8318404,31656,0,93.18,9769744
"2026-05-16T14:35:40.000Z",4938808,2206996,8330340,31608,0,93.32,9784680
"2026-05-16T14:36:00.000Z",4939324,2206036,8340052,31812,0,93.42,9795744
"2026-05-16T14:36:20.000Z",5158608,2215672,8315892,31812,0,93.18,9770404
"2026-05-16T14:36:40.000Z",5230928,2214920,8330360,32048,0,93.23,9775736
"2026-05-16T14:37:00.000Z",5231252,2214232,8334288,32912,0,93.22,9774096
"2026-05-16T14:37:20.000Z",5285740,2220124,8313208,33144,0,93.02,9753028
"2026-05-16T14:37:40.000Z",5213836,2219348,8317376,33456,0,93.08,9759232
"2026-05-16T14:38:00.000Z",5213288,2218300,8339072,33616,0,93.21,9773000
"2026-05-16T14:38:20.000Z",4903272,2234220,8273560,34196,0,92.74,9723840
"2026-05-16T14:38:40.000Z",4829512,2230700,8286224,34552,0,92.81,9731644
"2026-05-16T14:39:00.000Z",4830128,2227548,8298592,34724,0,92.98,9749348
"2026-05-16T14:39:20.000Z",4825128,2223208,8314432,35356,0,92.99,9750496
"2026-05-16T14:39:40.000Z",4815716,2218792,8335836,35456,0,93.19,9770764
"2026-05-16T14:40:00.000Z",4815772,2218296,8338052,36120,0,93.13,9764932
"2026-05-16T14:40:20.000Z",4877560,2217464,8340216,36744,0,93.14,9766188
"2026-05-16T14:40:40.000Z",4783876,2216404,8343728,36672,0,93.15,9767164
"2026-05-16T14:41:00.000Z",4783876,2215720,8345732,37276,0,93.22,9774684
"2026-05-16T14:41:20.000Z",4725732,2214808,8349060,37880,0,93.27,9779948
"2026-05-16T14:41:40.000Z",4462372,2214420,8350968,37960,0,93.13,9764640
"2026-05-16T14:42:00.000Z",4463040,2213772,8355560,38232,0,93.13,9765276
"2026-05-16T14:42:20.000Z",4443604,2212828,8364284,37852,0,93.27,9780032
"2026-05-16T14:42:40.000Z",4644896,2261408,8397952,36072,0,93.43,9796188
"2026-05-16T14:43:00.000Z",4645188,2256496,8406604,36752,0,93.59,9813248
"2026-05-16T14:43:20.000Z",4652620,2258972,8403460,36740,0,93.7,9824568
"2026-05-16T14:43:40.000Z",4800196,2258580,8401172,34936,0,93.59,9812932
"2026-05-16T14:44:00.000Z",4800676,2255144,8407796,33008,0,93.62,9815860
"2026-05-16T14:44:20.000Z",4811876,2250840,8418588,32992,0,93.82,9837644
"2026-05-16T14:44:40.000Z",5283296,2410936,8327400,32648,0,92.91,9741992
"2026-05-16T14:45:00.000Z",5283380,2407124,8339856,32392,0,92.79,9729140
"2026-05-16T14:45:20.000Z",5265636,2410872,8320968,32516,0,92.61,9710152
"2026-05-16T14:45:40.000Z",5820652,2404236,8293356,30948,0,92.48,9696664
"2026-05-16T14:46:00.000Z",5820536,2402592,8297804,31344,0,92.49,9698012
"2026-05-16T14:46:20.000Z",5911128,2392888,8317176,31172,0,92.74,9723948
"2026-05-16T14:46:40.000Z",6067520,2400116,8253692,30748,0,92.39,9687500
"2026-05-16T14:47:00.000Z",6068476,2364228,8299616,29028,0,92.93,9743808
"2026-05-16T14:47:20.000Z",6052796,2320220,8351772,25936,0,93.5,9803256
"2026-05-16T14:47:40.000Z",6093828,2318088,8355292,26740,0,93.5,9803796
"2026-05-16T14:48:00.000Z",6599416,2327376,8336752,26900,0,93.45,9798852
"2026-05-16T14:48:20.000Z",6609940,2315904,8355416,25904,0,93.65,9819100
