"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-16T15:37:20.000Z",0.85,0.33,1.03,0.46,2.5,195
"2026-05-16T15:37:40.000Z",0.3,0.31,0.9,0.17,2.82,169
"2026-05-16T15:38:00.000Z",0.25,0.28,0.89,0.41,2.62,168
"2026-05-16T15:38:20.000Z",0.83,0.35,0.91,0.12,2.33,171
"2026-05-16T15:38:40.000Z",0.34,0.16,0.85,0.17,2.74,161
"2026-05-16T15:39:00.000Z",0.26,0.2,0.92,0.09,3.12,173
"2026-05-16T15:39:20.000Z",1.1,0.27,1.03,0.17,2.56,193
"2026-05-16T15:39:40.000Z",0.85,0.2,0.94,0.09,2.62,177
"2026-05-16T15:40:00.000Z",4.57,1.67,2.88,1.1,4.19,542
"2026-05-16T15:40:20.000Z",3.63,1.21,2.66,1.54,4.25,500
"2026-05-16T15:40:40.000Z",0.5,0.1,0.84,0.24,2.54,159
"2026-05-16T15:41:00.000Z",1.25,0.35,1.29,0.54,3.01,243
"2026-05-16T15:41:20.000Z",3.17,3.81,3.17,2.94,2.77,597
"2026-05-16T15:41:40.000Z",3.32,5.97,4.65,4.85,4.45,874
"2026-05-16T15:42:00.000Z",3.66,5.46,5.31,6.42,5.69,998
"2026-05-16T15:42:20.000Z",3.49,7.99,5.75,7.2,4.32,1081
"2026-05-16T15:42:40.000Z",3.02,7.02,5.31,7.32,3.88,999
"2026-05-16T15:43:00.000Z",4.45,8.35,5.91,7.3,3.52,1111
"2026-05-16T15:43:20.000Z",3.35,7.65,5.13,5.74,3.8,965
"2026-05-16T15:43:40.000Z",4.27,9.22,6.28,7.38,4.27,1182
"2026-05-16T15:44:00.000Z",4.34,8.96,5.87,6.63,3.53,1103
"2026-05-16T15:44:20.000Z",4.13,7.75,5.89,7.85,3.85,1108
"2026-05-16T15:44:40.000Z",3.08,7.79,5.57,7.02,4.41,1048
"2026-05-16T15:45:00.000Z",3.23,7.18,4.99,5.56,3.99,939
