"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-16T15:36:20.000Z",19.62,15.42,22.83,15.79,24.45,3690
"2026-05-16T15:36:40.000Z",19.1,15.03,26.88,8.56,25.95,3592
"2026-05-16T15:37:00.000Z",31.94,26.26,39.91,22.7,38.88,6005
"2026-05-16T15:37:20.000Z",34.01,27.67,40.19,23.87,44.29,6394
"2026-05-16T15:37:40.000Z",35.09,29.72,38.4,30.85,41.38,6597
"2026-05-16T15:38:00.000Z",27.73,40.44,28.77,14.56,27.17,5215
"2026-05-16T15:38:20.000Z",42.16,49.37,21.61,56.86,40.79,7926
"2026-05-16T15:38:40.000Z",23.21,28.73,14.94,25.85,23.33,4364
"2026-05-16T15:39:00.000Z",32.92,47.59,17.65,42.74,23.7,6189
"2026-05-16T15:39:20.000Z",39.74,39.45,39.3,39.57,40.66,7472
"2026-05-16T15:39:40.000Z",30.09,21.21,40.21,21.93,37.01,5657
"2026-05-16T15:40:00.000Z",40.42,41.72,40.2,35.94,43.8,7599
"2026-05-16T15:40:20.000Z",35.96,22.84,44.45,31.5,45.04,6760
"2026-05-16T15:40:40.000Z",29.21,25.48,30.1,28.82,32.46,5493
"2026-05-16T15:41:00.000Z",33.75,39.31,29.15,41.29,25.26,6346
"2026-05-16T15:41:20.000Z",36.69,53.96,18.41,46.24,28.14,6898
"2026-05-16T15:41:40.000Z",30.19,39.42,19.29,31.96,30.08,5676
"2026-05-16T15:42:00.000Z",32.93,40.39,25.76,37.02,28.56,6191
"2026-05-16T15:42:20.000Z",29.36,24.95,35.75,24.66,32.06,5520
"2026-05-16T15:42:40.000Z",28.23,30.34,21.6,34.63,26.34,5307
"2026-05-16T15:43:00.000Z",27.01,33.91,21.55,26.06,26.52,5079
"2026-05-16T15:43:20.000Z",30.82,25.56,30.09,32.93,34.69,5794
"2026-05-16T15:43:40.000Z",27.3,28.92,24.17,27.59,28.52,5133
"2026-05-16T15:44:00.000Z",28.74,25.73,30.5,24.89,33.85,5404
"2026-05-16T15:44:20.000Z",23.3,22.23,21.74,24.12,25.12,4381
"2026-05-16T15:44:40.000Z",22.84,23.56,23.09,21.68,23.04,4295
"2026-05-16T15:45:00.000Z",23.7,17.58,22.4,31.36,23.45,4456
"2026-05-16T15:45:20.000Z",24.85,24.4,31.15,22.34,21.51,4673
"2026-05-16T15:45:40.000Z",27.56,23.54,24.26,38.12,24.29,5181
"2026-05-16T15:46:00.000Z",25.83,26.74,18.67,28.44,29.44,4856
"2026-05-16T15:46:20.000Z",24.77,23.45,30.32,25.31,20.02,4658
"2026-05-16T15:46:40.000Z",20.93,22.34,18.33,22.97,20.07,3935
"2026-05-16T15:47:00.000Z",22.68,16.12,29.37,15.78,29.46,4265
"2026-05-16T15:47:20.000Z",22.79,17.9,27.28,18.81,27.17,4285
"2026-05-16T15:47:40.000Z",26.77,29.65,27.79,19.06,30.58,5033
"2026-05-16T15:48:00.000Z",30.65,20.48,28.51,42.79,30.81,5762
"2026-05-16T15:48:20.000Z",26.76,25.16,21.76,36.3,23.82,5031
"2026-05-16T15:48:40.000Z",26,24.72,19.35,37.2,22.72,4888
"2026-05-16T15:49:00.000Z",31.51,28.36,32.09,29.01,36.57,5924
"2026-05-16T15:49:20.000Z",22.62,15.66,25.46,16.67,32.71,4253
"2026-05-16T15:49:40.000Z",21.72,17.7,30.61,17.29,21.28,4084
"2026-05-16T15:50:00.000Z",22.24,24.85,19.5,20.06,24.53,4181
"2026-05-16T15:50:20.000Z",27.79,21.85,30.7,23.65,34.98,5226
"2026-05-16T15:50:40.000Z",25.93,12.33,23.75,40.93,26.73,4876
"2026-05-16T15:51:00.000Z",22.69,21.57,20.37,22.01,26.8,4265
"2026-05-16T15:51:20.000Z",22.17,17.74,26.44,21.68,22.84,4169
