"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-16T15:36:20.000Z",5955364,2277632,8387840,23296,0,93.72,9826736
"2026-05-16T15:36:40.000Z",5735648,2283732,8387988,22828,0,93.69,9823848
"2026-05-16T15:37:00.000Z",5895280,2206000,8353420,22280,0,93.73,9828320
"2026-05-16T15:37:20.000Z",5990472,2117608,8389140,22912,0,94.02,9858480
"2026-05-16T15:37:40.000Z",6126616,2094276,8307776,22608,0,93.1,9761856
"2026-05-16T15:38:00.000Z",6229368,2090480,8336320,21352,0,93.35,9788396
"2026-05-16T15:38:20.000Z",6229368,2088084,8352096,21080,0,93.96,9852256
"2026-05-16T15:38:40.000Z",6346764,2089232,8370856,21344,0,93.82,9837100
"2026-05-16T15:39:00.000Z",6011188,2099164,8271472,21580,0,93.17,9768964
"2026-05-16T15:39:20.000Z",6011484,2094100,8242776,21848,0,93.35,9787736
"2026-05-16T15:39:40.000Z",5986248,2092524,8175484,22692,0,93.46,9799276
"2026-05-16T15:40:00.000Z",5953468,2077680,8186388,22352,0,93.37,9789640
"2026-05-16T15:40:20.000Z",5954928,2082292,8178504,21084,0,93.43,9796752
"2026-05-16T15:40:40.000Z",6004388,2080872,8173180,21284,0,93.77,9832304
"2026-05-16T15:41:00.000Z",5912008,2090728,8204544,21296,0,93.77,9832372
"2026-05-16T15:41:20.000Z",6540940,2097616,8162700,22016,0,93.41,9794240
"2026-05-16T15:41:40.000Z",6548132,2095280,8208320,21636,0,93.57,9810728
"2026-05-16T15:42:00.000Z",6632436,2099048,8153900,22240,0,93.11,9763272
"2026-05-16T15:42:20.000Z",6633036,2097752,8161236,22208,0,93.27,9779136
"2026-05-16T15:42:40.000Z",6558184,2116032,8139292,23040,0,92.99,9750444
"2026-05-16T15:43:00.000Z",6516420,2116756,8169484,22776,0,93.25,9777900
"2026-05-16T15:43:20.000Z",6517084,2116020,8179028,22824,0,93.23,9775476
"2026-05-16T15:43:40.000Z",6297100,2122444,8172836,22912,0,93.15,9767384
"2026-05-16T15:44:00.000Z",6233876,2130688,8151192,22268,0,92.98,9749416
"2026-05-16T15:44:20.000Z",6233888,2151592,8180140,20984,0,93.04,9755544
"2026-05-16T15:44:40.000Z",6207696,2154056,8190960,20036,0,93.19,9770936
"2026-05-16T15:45:00.000Z",6050360,2153752,8209656,20484,0,93.24,9776780
"2026-05-16T15:45:20.000Z",6071264,2152908,8214544,20648,0,93.28,9780652
"2026-05-16T15:45:40.000Z",6146592,2156488,8204108,21432,0,93.15,9767136
"2026-05-16T15:46:00.000Z",5778788,2154080,8214372,21764,0,93.24,9776920
"2026-05-16T15:46:20.000Z",5779744,2149584,8228984,21932,0,93.3,9782560
"2026-05-16T15:46:40.000Z",5712476,2156472,8218884,21816,0,93.27,9779152
"2026-05-16T15:47:00.000Z",5492724,2154336,8227092,22332,0,93.34,9786516
"2026-05-16T15:47:20.000Z",5494224,2151380,8239056,23532,0,93.39,9792552
"2026-05-16T15:47:40.000Z",5447304,2157480,8218900,23980,0,93.18,9769860
"2026-05-16T15:48:00.000Z",5112336,2151116,8223400,24268,0,93.21,9773048
"2026-05-16T15:48:20.000Z",5143828,2163996,8228716,24656,0,93.24,9776832
"2026-05-16T15:48:40.000Z",5176244,2166672,8192472,24948,0,93.01,9752432
"2026-05-16T15:49:00.000Z",5312560,2162732,8232440,24564,0,93.21,9772840
"2026-05-16T15:49:20.000Z",5375496,2162060,8243488,24664,0,93.25,9777248
"2026-05-16T15:49:40.000Z",5492916,2161412,8250104,24756,0,93.4,9793368
"2026-05-16T15:50:00.000Z",5356600,2200932,8235112,25512,0,93.1,9761664
"2026-05-16T15:50:20.000Z",5293672,2199496,8244664,25488,0,93.16,9767816
"2026-05-16T15:50:40.000Z",5198144,2194696,8255372,25628,0,93.19,9770756
"2026-05-16T15:51:00.000Z",5103828,2201024,8212880,26192,0,92.92,9742452
"2026-05-16T15:51:20.000Z",5104000,2199064,8224300,26220,0,93.02,9753796
"2026-05-16T15:51:40.000Z",4877544,2197576,8240736,26644,0,93,9751436
"2026-05-16T15:52:00.000Z",4847824,2204612,8220884,27008,0,92.87,9737920
"2026-05-16T15:52:20.000Z",4846908,2209428,8225376,27304,0,92.9,9740916
"2026-05-16T15:52:40.000Z",4595156,2208732,8229304,27532,0,92.85,9735992
"2026-05-16T15:53:00.000Z",4469700,2208352,8232720,28444,0,92.95,9746208
"2026-05-16T15:53:20.000Z",4469212,2207900,8236708,28660,0,92.88,9738596
"2026-05-16T15:53:40.000Z",4405100,2205016,8244276,29220,0,92.9,9740920
"2026-05-16T15:54:00.000Z",4394912,2199332,8262940,28932,0,93.03,9754604
"2026-05-16T15:54:20.000Z",4394948,2211048,8295372,26388,0,93.25,9777780
"2026-05-16T15:54:40.000Z",4898304,2209576,8250496,26716,0,92.88,9739180
"2026-05-16T15:55:00.000Z",4844004,2216420,8263172,26504,0,92.95,9746516
"2026-05-16T15:55:20.000Z",4959232,2216496,8266040,27048,0,93.12,9763756
"2026-05-16T15:55:40.000Z",4452992,2362528,8269364,27400,0,92.69,9718860
"2026-05-16T15:56:00.000Z",4552996,2375708,8308200,27752,0,92.88,9738584
"2026-05-16T15:56:20.000Z",4511452,2400188,8307604,27848,0,92.97,9748008
"2026-05-16T15:56:40.000Z",4509356,2396368,8320480,28304,0,92.9,9740584
"2026-05-16T15:57:00.000Z",4745404,2392532,8337500,28276,0,93.06,9757100
"2026-05-16T15:57:20.000Z",4777936,2390756,8342368,28408,0,92.92,9742632
"2026-05-16T15:57:40.000Z",4776640,2389336,8344988,28096,0,92.92,9742796
"2026-05-16T15:58:00.000Z",4530992,2419368,8367892,28564,0,93.07,9758336
"2026-05-16T15:58:20.000Z",4604060,2400596,8402312,27748,0,93.32,9784632
"2026-05-16T15:58:40.000Z",4646004,2398880,8405500,27016,0,93.36,9788776
"2026-05-16T15:59:00.000Z",4789004,2402520,8336512,27016,0,92.99,9750300
"2026-05-16T15:59:20.000Z",4792176,2395632,8345308,26796,0,93.13,9765248
"2026-05-16T15:59:40.000Z",4791520,2391824,8333720,27164,0,92.97,9748268
"2026-05-16T16:00:00.000Z",4870448,2390016,8278152,26588,0,92.8,9730600
"2026-05-16T16:00:20.000Z",4860104,2358348,8240392,25228,0,92.71,9721012
"2026-05-16T16:00:40.000Z",4859364,2322444,8196332,23380,0,92.68,9718188
"2026-05-16T16:01:00.000Z",4867716,2315684,8205060,23580,0,92.75,9724620
"2026-05-16T16:01:20.000Z",5571272,2307656,8180840,23932,0,92.76,9725896
"2026-05-16T16:01:40.000Z",5570512,2297364,8195580,23448,0,92.85,9735764
"2026-05-16T16:02:00.000Z",5523040,2293888,8221556,23564,0,92.99,9750624
"2026-05-16T16:02:20.000Z",5815076,2295248,8252036,23544,0,93.36,9788764
"2026-05-16T16:02:40.000Z",5838344,2302916,8207048,23876,0,93.43,9796276
"2026-05-16T16:03:00.000Z",5826060,2327200,8193208,23784,0,93.05,9756580
"2026-05-16T16:03:20.000Z",5700304,2325356,8236656,23860,0,93.29,9781956
"2026-05-16T16:03:40.000Z",5886924,2323872,8243944,23940,0,93.35,9788156
"2026-05-16T16:04:00.000Z",5782096,2312336,8304840,22144,0,93.84,9839400
"2026-05-16T16:04:20.000Z",5813728,2324668,8284804,22244,0,93.66,9820908
"2026-05-16T16:04:40.000Z",5182984,2335544,8166416,22660,0,92.9,9741316
"2026-05-16T16:05:00.000Z",5112564,2326420,8204880,22880,0,93.1,9762296
"2026-05-16T16:05:20.000Z",5081544,2324556,8211328,22636,0,93.15,9766824
"2026-05-16T16:05:40.000Z",5583108,2330836,8183828,23604,0,93.03,9754052
"2026-05-16T16:06:00.000Z",5527360,2331928,8234740,23696,0,93.22,9774108
"2026-05-16T16:06:20.000Z",5558620,2334108,8238032,23536,0,93.33,9786004
"2026-05-16T16:06:40.000Z",5306648,2332164,8228440,23296,0,93.27,9779576
"2026-05-16T16:07:00.000Z",5263260,2328872,8236732,23324,0,93.29,9781380
"2026-05-16T16:07:20.000Z",5210056,2323556,8274936,23308,0,93.47,9800620
"2026-05-16T16:07:40.000Z",5462444,2329212,8258044,23604,0,93.37,9789952
"2026-05-16T16:08:00.000Z",5488516,2329388,8265680,23828,0,93.41,9794804
"2026-05-16T16:08:20.000Z",5571196,2328204,8262880,23772,0,93.42,9795104
"2026-05-16T16:08:40.000Z",5508524,2329564,8258004,23876,0,93.36,9789252
"2026-05-16T16:09:00.000Z",5529140,2335088,8235876,23976,0,93.27,9779488
"2026-05-16T16:09:20.000Z",5516324,2329936,8244956,23684,0,93.38,9791292
"2026-05-16T16:09:40.000Z",5516524,2328236,8259440,23756,0,93.52,9805892
"2026-05-16T16:10:00.000Z",5642152,2333316,8259824,23848,0,93.3,9783284
"2026-05-16T16:10:20.000Z",5622748,2326880,8291988,22300,0,93.62,9816764
"2026-05-16T16:10:40.000Z",5622088,2316320,8316792,22732,0,93.84,9839256
"2026-05-16T16:11:00.000Z",5789868,2354464,8332228,22648,0,93.77,9831692
"2026-05-16T16:11:20.000Z",5861896,2353152,8338360,22580,0,93.77,9831732
"2026-05-16T16:11:40.000Z",5860992,2351180,8343760,22568,0,93.81,9835768
"2026-05-16T16:12:00.000Z",5485488,2360344,8281432,22712,0,93.44,9797168
"2026-05-16T16:12:20.000Z",5437680,2356416,8302852,22200,0,93.55,9808864
"2026-05-16T16:12:40.000Z",5435416,2340488,8327752,22660,0,93.69,9823768
"2026-05-16T16:13:00.000Z",5521624,2347424,8324712,21896,0,93.68,9822708
"2026-05-16T16:13:20.000Z",5651296,2354792,8323836,22160,0,93.82,9837416
"2026-05-16T16:13:40.000Z",5651480,2347828,8351664,23008,0,93.95,9851036
"2026-05-16T16:14:00.000Z",5442220,2366832,8316204,23208,0,93.54,9808284
"2026-05-16T16:14:20.000Z",5334780,2365992,8336380,23096,0,93.62,9816024
"2026-05-16T16:14:40.000Z",5334240,2359540,8362548,22512,0,93.81,9836664
"2026-05-16T16:15:00.000Z",5583124,2370932,8328380,22708,0,93.54,9807656
"2026-05-16T16:15:20.000Z",5563756,2365460,8342260,22396,0,93.7,9825144
"2026-05-16T16:15:40.000Z",5584752,2354196,8363392,22656,0,93.84,9839808
"2026-05-16T16:16:00.000Z",5415988,2418060,8373276,22552,0,93.68,9822384
"2026-05-16T16:16:20.000Z",5438116,2430192,8358700,22992,0,93.46,9799928
"2026-05-16T16:16:40.000Z",5436408,2411296,8346536,22192,0,93.59,9812928
"2026-05-16T16:17:00.000Z",5395260,2407268,8358652,22672,0,93.56,9810064
"2026-05-16T16:17:20.000Z",5729728,2421804,8299176,23316,0,93.13,9764824
"2026-05-16T16:17:40.000Z",5713200,2418108,8229696,22992,0,92.41,9689396
"2026-05-16T16:18:00.000Z",5735160,2415028,8242004,23492,0,92.46,9695204
"2026-05-16T16:18:20.000Z",5649064,2429848,8165092,24288,0,91.9,9635680
"2026-05-16T16:18:40.000Z",5647264,2425504,8169708,24252,0,91.99,9645664
"2026-05-16T16:19:00.000Z",5689224,2424120,8172684,24504,0,91.93,9639224
"2026-05-16T16:19:20.000Z",5627532,2434692,8111196,24748,0,91.55,9599068
"2026-05-16T16:19:40.000Z",5627332,2433276,8113984,25340,0,91.51,9595548
"2026-05-16T16:20:00.000Z",5564644,2431648,8122484,26104,0,91.56,9600692
"2026-05-16T16:20:20.000Z",5217236,2428844,8136460,25636,0,91.54,9597796
"2026-05-16T16:20:40.000Z",5216828,2427472,8140116,25988,0,91.52,9596032
"2026-05-16T16:21:00.000Z",5236904,2426260,8143660,26032,0,91.54,9598220
"2026-05-16T16:21:20.000Z",4962092,2434524,8134352,26332,0,91.48,9592412
"2026-05-16T16:21:40.000Z",4960456,2432908,8137032,26780,0,91.42,9585264
"2026-05-16T16:22:00.000Z",4919244,2430496,8143348,27124,0,91.47,9590884
"2026-05-16T16:22:20.000Z",4715824,2428772,8148408,27632,0,91.49,9592576
"2026-05-16T16:22:40.000Z",4711400,2427972,8151204,28016,0,91.46,9589872
"2026-05-16T16:23:00.000Z",4735272,2427820,8152476,28440,0,91.47,9591336
"2026-05-16T16:23:20.000Z",4452952,2424664,8160632,28828,0,91.5,9594188
"2026-05-16T16:23:40.000Z",4452872,2423392,8164432,29408,0,91.51,9595056
"2026-05-16T16:24:00.000Z",4515792,2419744,8175468,29704,0,91.62,9606532
"2026-05-16T16:24:20.000Z",4495728,2418996,8176456,30264,0,91.67,9611872
"2026-05-16T16:24:40.000Z",4495652,2410964,8191164,30428,0,91.72,9617444
"2026-05-16T16:25:00.000Z",4495652,2410060,8194496,30344,0,91.77,9622488
"2026-05-16T16:25:20.000Z",4474764,2409988,8194136,30608,0,91.75,9619960
"2026-05-16T16:25:40.000Z",4474696,2408076,8201844,31020,0,91.74,9619496
