"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-16T16:45:20.000Z",0.57,1.59,1.23,2.37,0.39,232
"2026-05-16T16:45:40.000Z",2.39,4.34,3.3,4.37,2.08,620
"2026-05-16T16:46:00.000Z",0.74,1.26,1.25,2.19,0.8,234
"2026-05-16T16:46:20.000Z",0.5,0.36,1.24,3.41,0.66,233
"2026-05-16T16:46:40.000Z",0.35,0.3,0.93,2.84,0.23,175
"2026-05-16T16:47:00.000Z",0.29,0.78,0.99,2.52,0.39,187
"2026-05-16T16:47:20.000Z",0.29,2.08,1.05,1.35,0.47,197
"2026-05-16T16:47:40.000Z",0.4,1.39,0.9,1.51,0.29,169
"2026-05-16T16:48:00.000Z",0.32,0.27,0.99,2.98,0.37,186
"2026-05-16T16:48:20.000Z",0.42,2.6,0.98,0.61,0.27,184
"2026-05-16T16:48:40.000Z",0.84,2.46,1.26,0.84,0.91,238
"2026-05-16T16:49:00.000Z",0.28,0.17,0.9,2.81,0.33,169
"2026-05-16T16:49:20.000Z",1.02,0.69,1.6,3.9,0.79,301
"2026-05-16T16:49:40.000Z",1.73,0.9,2.26,4.74,1.66,425
"2026-05-16T16:50:00.000Z",0.54,1.04,1.16,2.61,0.46,219
"2026-05-16T16:50:20.000Z",0.6,2.99,1.25,0.63,0.8,236
"2026-05-16T16:50:40.000Z",2.29,2.14,2.84,4.8,2.13,534
"2026-05-16T16:51:00.000Z",3.95,4.62,4.4,5.65,3.37,827
"2026-05-16T16:51:20.000Z",9.2,6.56,7.63,6.99,7.77,1435
"2026-05-16T16:51:40.000Z",4.11,9.74,6.86,10.06,3.53,1290
"2026-05-16T16:52:00.000Z",3.93,9.84,6.53,8.65,3.69,1228
"2026-05-16T16:52:20.000Z",3.87,10.92,7.17,10.14,3.76,1349
"2026-05-16T16:52:40.000Z",4.33,9.55,7,10.39,3.75,1317
"2026-05-16T16:53:00.000Z",4.48,10.66,7.17,9.96,3.57,1348
"2026-05-16T16:53:20.000Z",5.51,10.99,7.94,10.31,4.94,1493
