"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-23T16:30:20.000Z",18.11,24.32,23.01,6.78,18.34,3405
"2026-05-23T16:30:40.000Z",19.27,29.04,12.83,15.67,19.55,3624
"2026-05-23T16:31:00.000Z",15.39,6.86,21.9,14.06,18.75,2895
"2026-05-23T16:31:20.000Z",16.98,20.15,17.66,18.46,11.64,3192
"2026-05-23T16:31:40.000Z",14.58,20.93,4.73,21.7,10.94,2741
"2026-05-23T16:32:00.000Z",20.01,21.56,19.54,20.61,18.32,3762
"2026-05-23T16:32:20.000Z",16.47,14.38,26.59,19.43,5.48,3097
"2026-05-23T16:32:40.000Z",13.52,17.75,12.83,19.46,4.06,2543
"2026-05-23T16:33:00.000Z",13.63,18.13,7.51,21.24,7.63,2563
"2026-05-23T16:33:20.000Z",15.12,15.11,7.21,19.29,18.88,2844
"2026-05-23T16:33:40.000Z",17.96,22.25,4.78,20.09,24.71,3377
"2026-05-23T16:34:00.000Z",12.17,17.73,7.93,18.19,4.83,2288
"2026-05-23T16:34:20.000Z",18.27,15.92,18.41,19.71,19.01,3434
"2026-05-23T16:34:40.000Z",18.87,19.32,5.4,15.64,35.12,3547
"2026-05-23T16:35:00.000Z",16.14,10.05,15.36,24.7,14.44,3034
"2026-05-23T16:35:20.000Z",21.27,20.4,19.37,21.86,23.46,4000
"2026-05-23T16:35:40.000Z",14.11,4.66,21.42,11.6,18.75,2653
"2026-05-23T16:36:00.000Z",17.59,24.37,18.3,5.67,22.04,3308
"2026-05-23T16:36:20.000Z",15.52,4.4,18.72,20.96,18.01,2919
"2026-05-23T16:36:40.000Z",18.86,12.63,20.65,21.59,20.56,3545
"2026-05-23T16:37:00.000Z",16.8,13.1,21.38,12.28,20.46,3160
"2026-05-23T16:37:20.000Z",18.9,4.79,21.09,27.29,22.44,3554
"2026-05-23T16:37:40.000Z",16.15,8.94,20.07,14.99,20.6,3036
"2026-05-23T16:38:00.000Z",18.01,6.77,22.25,25.92,17.11,3387
"2026-05-23T16:38:20.000Z",20.31,13.49,19.49,29.83,18.42,3818
"2026-05-23T16:38:40.000Z",19.09,16.31,27.28,7.85,24.94,3590
"2026-05-23T16:39:00.000Z",20.86,22.46,22.82,20.55,17.6,3922
"2026-05-23T16:39:20.000Z",15.06,9.09,18.55,13.02,19.58,2832
"2026-05-23T16:39:40.000Z",16.96,10.74,23,16.36,17.74,3189
"2026-05-23T16:40:00.000Z",17.08,10.9,16.62,20.91,19.91,3212
"2026-05-23T16:40:20.000Z",17.68,12.69,19.3,18.35,20.37,3324
"2026-05-23T16:40:40.000Z",18.78,12.53,18.83,23.02,20.72,3530
"2026-05-23T16:41:00.000Z",13.61,5.21,19.97,10.64,18.64,2560
"2026-05-23T16:41:20.000Z",16.94,9.34,27.76,17.02,13.66,3186
"2026-05-23T16:41:40.000Z",14.19,10.43,21.13,7.61,17.57,2667
"2026-05-23T16:42:00.000Z",15.69,9.86,20.17,14.22,18.51,2950
"2026-05-23T16:42:20.000Z",17.95,18.32,19.04,12.56,21.86,3374
