"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-23T16:31:20.000Z",108452,0,453244,8,0,18.72,1962880
"2026-05-23T16:31:40.000Z",108444,0,453260,8,0,18.71,1962592
"2026-05-23T16:32:00.000Z",108524,0,453272,8,0,18.77,1968072
"2026-05-23T16:32:20.000Z",111300,0,453280,8,0,18.7,1961228
"2026-05-23T16:32:40.000Z",111300,0,453280,8,0,18.7,1961228
"2026-05-23T16:33:00.000Z",111300,0,453280,8,0,18.7,1961420
"2026-05-23T16:33:20.000Z",112028,0,453280,8,0,18.7,1961420
"2026-05-23T16:33:40.000Z",112028,0,453280,8,0,18.7,1961424
"2026-05-23T16:34:00.000Z",112028,0,453280,8,0,18.7,1961488
"2026-05-23T16:34:20.000Z",114148,0,453280,8,0,18.7,1961436
"2026-05-23T16:34:40.000Z",114148,0,453280,8,0,18.7,1961500
"2026-05-23T16:35:00.000Z",114192,0,453280,8,0,18.71,1961768
"2026-05-23T16:35:20.000Z",103688,0,453280,8,0,18.71,1962172
"2026-05-23T16:35:40.000Z",103304,0,453280,8,0,18.69,1959856
"2026-05-23T16:36:00.000Z",103436,0,453280,8,0,18.75,1966892
"2026-05-23T16:36:20.000Z",111664,0,453280,8,0,18.67,1957956
"2026-05-23T16:36:40.000Z",111868,0,453280,8,0,18.67,1958124
"2026-05-23T16:37:00.000Z",112716,0,453280,8,0,18.74,1965292
"2026-05-23T16:37:20.000Z",109988,0,453280,8,0,18.69,1959884
"2026-05-23T16:37:40.000Z",109988,0,453280,8,0,18.69,1959892
"2026-05-23T16:38:00.000Z",109988,0,453280,8,0,18.69,1959920
"2026-05-23T16:38:20.000Z",111200,0,453280,8,0,18.69,1959920
"2026-05-23T16:38:40.000Z",111200,0,453280,8,0,18.69,1959920
"2026-05-23T16:39:00.000Z",92164,0,370620,8,0,17.84,1871168
"2026-05-23T16:39:20.000Z",94724,0,370620,8,0,17.85,1871788
"2026-05-23T16:39:40.000Z",93944,0,370620,8,0,17.84,1870880
"2026-05-23T16:40:00.000Z",94696,0,370620,8,0,17.85,1872352
"2026-05-23T16:40:20.000Z",89224,0,370620,8,0,17.84,1870492
"2026-05-23T16:40:40.000Z",93300,0,370620,8,0,17.85,1871804
"2026-05-23T16:41:00.000Z",93352,0,370620,8,0,17.92,1878972
"2026-05-23T16:41:20.000Z",96472,0,370620,8,0,17.86,1872996
"2026-05-23T16:41:40.000Z",96860,0,370620,8,0,17.87,1874108
"2026-05-23T16:42:00.000Z",96900,0,370620,8,0,17.93,1880492
"2026-05-23T16:42:20.000Z",96092,0,370620,8,0,17.85,1871880
"2026-05-23T16:42:40.000Z",98168,0,370620,8,0,17.85,1871884
"2026-05-23T16:43:00.000Z",98168,0,370620,8,0,17.85,1872088
"2026-05-23T16:43:20.000Z",98592,0,370620,8,0,17.85,1872092
"2026-05-23T16:43:40.000Z",92688,0,370620,8,0,17.85,1872084
"2026-05-23T16:44:00.000Z",92688,0,370620,8,0,17.85,1872088
"2026-05-23T16:44:20.000Z",92688,0,370620,8,0,17.85,1872088
"2026-05-23T16:44:40.000Z",94792,0,370620,8,0,17.85,1872148
"2026-05-23T16:45:00.000Z",94804,0,370620,8,0,17.85,1872528
"2026-05-23T16:45:20.000Z",94004,0,370620,8,0,17.84,1871032
"2026-05-23T16:45:40.000Z",91144,0,370620,8,0,17.84,1871444
"2026-05-23T16:46:00.000Z",91248,0,370620,8,0,17.89,1876604
"2026-05-23T16:46:20.000Z",90928,0,370620,8,0,17.85,1871964
"2026-05-23T16:46:40.000Z",96864,0,370620,8,0,17.84,1871152
"2026-05-23T16:47:00.000Z",97640,0,370620,8,0,17.91,1878396
"2026-05-23T16:47:20.000Z",96836,0,370620,8,0,17.84,1870552
"2026-05-23T16:47:40.000Z",90592,0,370620,8,0,17.84,1870608
"2026-05-23T16:48:00.000Z",91200,0,370620,8,0,17.84,1871116
"2026-05-23T16:48:20.000Z",91212,0,370620,8,0,17.84,1871116
"2026-05-23T16:48:40.000Z",92268,0,370620,8,0,17.84,1871108
"2026-05-23T16:49:00.000Z",92268,0,370620,8,0,17.84,1871404
"2026-05-23T16:49:20.000Z",92692,0,370620,8,0,17.84,1871404
"2026-05-23T16:49:40.000Z",92336,0,370620,8,0,17.84,1871404
"2026-05-23T16:50:00.000Z",92348,0,370620,8,0,17.85,1871976
"2026-05-23T16:50:20.000Z",92356,0,370620,8,0,17.86,1873544
"2026-05-23T16:50:40.000Z",93536,0,370620,8,0,17.86,1872668
"2026-05-23T16:51:00.000Z",93432,0,370620,8,0,17.92,1879072
"2026-05-23T16:51:20.000Z",93264,0,370620,8,0,17.86,1873032
"2026-05-23T16:51:40.000Z",93560,0,370620,8,0,17.85,1871864
"2026-05-23T16:52:00.000Z",94744,0,370620,8,0,17.91,1878136
"2026-05-23T16:52:20.000Z",94728,0,370620,8,0,17.85,1872020
"2026-05-23T16:52:40.000Z",92856,0,370620,8,0,17.85,1872020
"2026-05-23T16:53:00.000Z",92864,0,370620,8,0,17.86,1872736
"2026-05-23T16:53:20.000Z",93288,0,370620,8,0,17.86,1872736
"2026-05-23T16:53:40.000Z",91004,0,370620,8,0,17.86,1872732
"2026-05-23T16:54:00.000Z",91004,0,370620,8,0,17.86,1872776
"2026-05-23T16:54:20.000Z",91004,0,370620,8,0,17.86,1872740
"2026-05-23T16:54:40.000Z",91552,0,370620,8,0,17.86,1872856
"2026-05-23T16:55:00.000Z",93784,0,370620,8,0,17.86,1873424
"2026-05-23T16:55:20.000Z",93924,0,370620,8,0,17.87,1874004
"2026-05-23T16:55:40.000Z",92836,0,370620,8,0,17.85,1872116
"2026-05-23T16:56:00.000Z",93812,0,370620,8,0,17.91,1878376
"2026-05-23T16:56:20.000Z",91580,0,370620,8,0,17.84,1871520
"2026-05-23T16:56:40.000Z",93144,0,370620,8,0,17.85,1871644
"2026-05-23T16:57:00.000Z",92428,0,370620,8,0,17.91,1878744
"2026-05-23T16:57:20.000Z",93224,0,370620,8,0,17.86,1873016
"2026-05-23T16:57:40.000Z",93228,0,370620,8,0,17.86,1873028
"2026-05-23T16:58:00.000Z",94360,0,370620,8,0,17.86,1873032
"2026-05-23T16:58:20.000Z",94360,0,370620,8,0,17.86,1873040
"2026-05-23T16:58:40.000Z",94360,0,370620,8,0,17.86,1873040
"2026-05-23T16:59:00.000Z",94588,0,370620,8,0,17.86,1873048
"2026-05-23T16:59:20.000Z",94588,0,370620,8,0,17.86,1873048
"2026-05-23T16:59:40.000Z",94588,0,370620,8,0,17.86,1873048
"2026-05-23T17:00:00.000Z",94196,0,370620,8,0,17.86,1873304
"2026-05-23T17:00:20.000Z",93840,0,370620,8,0,17.86,1872768
"2026-05-23T17:00:40.000Z",93688,0,370620,8,0,17.85,1871564
