"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-23T16:30:20.000Z",3642624,2525656,8348092,39016,0,92.75,9725012
"2026-05-23T16:30:40.000Z",3641240,2525096,8359616,38752,0,92.78,9728624
"2026-05-23T16:31:00.000Z",4224084,2531596,8297736,38628,0,92.37,9685640
"2026-05-23T16:31:20.000Z",4212904,2533272,8231744,38668,0,91.93,9639176
"2026-05-23T16:31:40.000Z",4213132,2533196,8233568,39244,0,91.9,9635632
"2026-05-23T16:32:00.000Z",3757108,2533716,8236744,38564,0,91.96,9641996
"2026-05-23T16:32:20.000Z",3735468,2533088,8241928,38664,0,91.97,9643584
"2026-05-23T16:32:40.000Z",3735596,2532852,8243820,38692,0,91.99,9645408
"2026-05-23T16:33:00.000Z",3690840,2532568,8246232,39596,0,92,9646384
"2026-05-23T16:33:20.000Z",3670488,2532304,8248152,39580,0,92,9646144
"2026-05-23T16:33:40.000Z",3670496,2531776,8250424,39500,0,92.03,9650036
"2026-05-23T16:34:00.000Z",3670480,2531292,8253204,39512,0,92.03,9649764
"2026-05-23T16:34:20.000Z",3648900,2521188,8271196,39560,0,92.18,9665444
"2026-05-23T16:34:40.000Z",3648956,2520152,8272868,39596,0,92.2,9667392
"2026-05-23T16:35:00.000Z",3582800,2519864,8273620,39448,0,92.21,9668400
"2026-05-23T16:35:20.000Z",3562408,2521596,8271376,39556,0,92.18,9664944
"2026-05-23T16:35:40.000Z",3562536,2521348,8271984,39548,0,92.17,9664768
"2026-05-23T16:36:00.000Z",3438280,2521140,8272916,39280,0,92.19,9666192
"2026-05-23T16:36:20.000Z",3509552,2519408,8276232,39116,0,92.24,9671852
"2026-05-23T16:36:40.000Z",3571868,2546000,8366500,39416,0,92.67,9716188
"2026-05-23T16:37:00.000Z",3565188,2546392,8367044,38960,0,92.67,9716676
"2026-05-23T16:37:20.000Z",3586068,2545908,8370160,38892,0,92.68,9718160
"2026-05-23T16:37:40.000Z",3586092,2545688,8371740,39220,0,92.67,9716928
"2026-05-23T16:38:00.000Z",3563720,2545428,8373932,38972,0,92.7,9720052
"2026-05-23T16:38:20.000Z",3647572,2544816,8376476,38316,0,92.71,9721028
"2026-05-23T16:38:40.000Z",3647580,2544328,8377848,38268,0,92.73,9722720
"2026-05-23T16:39:00.000Z",3609456,2544000,8296660,38512,0,92.11,9657900
"2026-05-23T16:39:20.000Z",3568200,2543268,8300336,39188,0,91.98,9644560
"2026-05-23T16:39:40.000Z",3568320,2541524,8309180,39124,0,92.03,9649508
"2026-05-23T16:40:00.000Z",3905756,2544436,8309812,38932,0,92.05,9652196
"2026-05-23T16:40:20.000Z",3999996,2544180,8310512,39620,0,92.01,9647436
"2026-05-23T16:40:40.000Z",4000056,2543944,8311284,39184,0,92.06,9653220
"2026-05-23T16:41:00.000Z",4062324,2543736,8311736,39256,0,92.06,9652820
"2026-05-23T16:41:20.000Z",3957176,2543620,8312156,39500,0,92.03,9650040
"2026-05-23T16:41:40.000Z",3957752,2543300,8313024,39552,0,92.05,9651984
"2026-05-23T16:42:00.000Z",3854508,2542952,8314808,39476,0,92.06,9653216
"2026-05-23T16:42:20.000Z",3760264,2542084,8316688,39224,0,92.1,9657064
"2026-05-23T16:42:40.000Z",3781232,2535616,8324364,39228,0,92.18,9665324
"2026-05-23T16:43:00.000Z",3779664,2535420,8325112,39292,0,92.17,9664672
"2026-05-23T16:43:20.000Z",4083752,2523256,8342904,39468,0,92.34,9682080
"2026-05-23T16:43:40.000Z",4083756,2521884,8345788,39680,0,92.37,9685660
"2026-05-23T16:44:00.000Z",4059236,2521124,8347168,39220,0,92.4,9688520
"2026-05-23T16:44:20.000Z",3996320,2523248,8341020,39240,0,92.35,9683560
"2026-05-23T16:44:40.000Z",3996320,2518028,8347608,39456,0,92.4,9688924
"2026-05-23T16:45:00.000Z",3999436,2517836,8349036,39272,0,92.4,9688516
"2026-05-23T16:45:20.000Z",3663360,2515216,8353800,39576,0,92.56,9705560
"2026-05-23T16:45:40.000Z",3705312,2509032,8371448,39248,0,92.6,9709240
"2026-05-23T16:46:00.000Z",3812000,2507588,8374532,38832,0,92.6,9709800
"2026-05-23T16:46:20.000Z",4293072,2507228,8375424,39252,0,92.65,9714432
"2026-05-23T16:46:40.000Z",4293264,2503680,8380068,38980,0,92.64,9713880
"2026-05-23T16:47:00.000Z",4294836,2502136,8382408,39048,0,92.69,9719176
"2026-05-23T16:47:20.000Z",4252888,2548500,8382300,39144,0,92.49,9697660
"2026-05-23T16:47:40.000Z",4252888,2547068,8384416,39116,0,92.5,9699204
"2026-05-23T16:48:00.000Z",4231820,2538556,8393960,39124,0,92.61,9710404
"2026-05-23T16:48:20.000Z",3923228,2533596,8399844,39288,0,92.61,9710776
"2026-05-23T16:48:40.000Z",3923236,2533016,8401168,39428,0,92.63,9712000
"2026-05-23T16:49:00.000Z",3881332,2532528,8402204,39456,0,92.63,9712280
"2026-05-23T16:49:20.000Z",4048420,2529800,8405588,39480,0,92.66,9715492
"2026-05-23T16:49:40.000Z",4048476,2529376,8406376,39672,0,92.66,9715268
"2026-05-23T16:50:00.000Z",4027504,2523868,8406848,39048,0,92.69,9718448
"2026-05-23T16:50:20.000Z",4041176,2523188,8409372,39288,0,92.73,9722628
"2026-05-23T16:50:40.000Z",4040852,2512764,8421196,39188,0,92.97,9748352
"2026-05-23T16:51:00.000Z",3999200,2511308,8424072,39216,0,92.83,9733404
"2026-05-23T16:51:20.000Z",3708888,2508624,8406200,39084,0,92.71,9721096
"2026-05-23T16:51:40.000Z",3709312,2511356,8408004,39280,0,92.71,9720716
"2026-05-23T16:52:00.000Z",3710160,2512080,8407928,39480,0,92.7,9720200
"2026-05-23T16:52:20.000Z",3886276,2505268,8412476,39860,0,92.71,9721112
"2026-05-23T16:52:40.000Z",3886276,2504992,8413140,40156,0,92.7,9720128
"2026-05-23T16:53:00.000Z",3865372,2499284,8409104,40052,0,92.81,9731160
"2026-05-23T16:53:20.000Z",4048436,2499112,8410308,40088,0,92.71,9720736
"2026-05-23T16:53:40.000Z",4048444,2496404,8404928,40012,0,92.73,9722920
"2026-05-23T16:54:00.000Z",4048444,2495752,8402568,39656,0,92.7,9720240
"2026-05-23T16:54:20.000Z",3904668,2495000,8400444,39848,0,92.69,9718564
"2026-05-23T16:54:40.000Z",3905168,2494740,8401684,39860,0,92.71,9720704
"2026-05-23T16:55:00.000Z",3884196,2494168,8401428,40328,0,92.76,9725640
"2026-05-23T16:55:20.000Z",3737588,2493992,8401492,40260,0,92.69,9719044
"2026-05-23T16:55:40.000Z",3737192,2493780,8402700,40484,0,92.68,9718220
"2026-05-23T16:56:00.000Z",3716312,2493432,8405504,40556,0,92.71,9720556
"2026-05-23T16:56:20.000Z",3696392,2493224,8405920,40408,0,92.71,9720660
"2026-05-23T16:56:40.000Z",3696440,2492908,8406796,40052,0,92.71,9720972
"2026-05-23T16:57:00.000Z",3696488,2492428,8408172,39896,0,92.74,9723816
"2026-05-23T16:57:20.000Z",3464680,2492700,8391628,39652,0,92.71,9720784
"2026-05-23T16:57:40.000Z",3485656,2492544,8390952,39956,0,92.7,9720276
"2026-05-23T16:58:00.000Z",3548068,2472648,8330276,31640,0,92.91,9741884
"2026-05-23T16:58:20.000Z",3977964,2501924,8367596,31296,0,93,9751784
"2026-05-23T16:58:40.000Z",4481332,2521164,8280196,31008,0,92.33,9680684
"2026-05-23T16:59:00.000Z",4523908,2495604,8314164,30532,0,92.65,9714996
"2026-05-23T16:59:20.000Z",4541804,2459264,8381444,28800,0,93.29,9781872
"2026-05-23T16:59:40.000Z",5485992,2515888,8166944,29284,0,91.7,9614884
"2026-05-23T17:00:00.000Z",5487500,2521480,8175928,28420,0,91.75,9619776
"2026-05-23T17:00:20.000Z",5484424,2520308,8182652,28472,0,91.66,9610900
"2026-05-23T17:00:40.000Z",5483088,2534956,8158716,28432,0,91.61,9605944
"2026-05-23T17:01:00.000Z",5482912,2534512,8166796,28604,0,91.64,9608376
"2026-05-23T17:01:20.000Z",5450480,2533992,8173128,28784,0,91.65,9610244
