"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-24T13:40:40.000Z",0.18,1.18,1.21,3.22,0.27,228
"2026-05-24T13:41:00.000Z",0.26,0.41,0.98,3.03,0.23,185
"2026-05-24T13:41:20.000Z",0.17,0.31,0.87,2.8,0.22,165
"2026-05-24T13:41:40.000Z",0.32,1.53,1.37,1.9,1.75,259
"2026-05-24T13:42:00.000Z",0.3,1.03,1,2.44,0.22,188
"2026-05-24T13:42:20.000Z",0.2,1.4,0.91,1.83,0.2,171
"2026-05-24T13:42:40.000Z",0.22,2.66,1,0.95,0.17,188
"2026-05-24T13:43:00.000Z",0.3,1.13,0.93,2.03,0.25,175
"2026-05-24T13:43:20.000Z",0.18,2.58,0.9,0.71,0.15,170
"2026-05-24T13:43:40.000Z",0.25,1.38,0.9,1.76,0.19,169
"2026-05-24T13:44:00.000Z",0.26,3,1,0.48,0.25,188
"2026-05-24T13:44:20.000Z",0.19,3.05,1.18,1.28,0.18,221
"2026-05-24T13:44:40.000Z",0.14,1.03,0.95,2.45,0.17,179
"2026-05-24T13:45:00.000Z",0.25,0.44,0.94,2.78,0.28,177
"2026-05-24T13:45:20.000Z",0.36,1.27,1.12,2.33,0.51,211
"2026-05-24T13:45:40.000Z",0.15,0.42,1.11,3.35,0.5,208
"2026-05-24T13:46:00.000Z",0.25,1.6,1.02,1.94,0.29,193
"2026-05-24T13:46:20.000Z",0.11,0.4,0.87,2.78,0.19,164
"2026-05-24T13:46:40.000Z",0.2,1.75,0.93,1.52,0.25,175
"2026-05-24T13:47:00.000Z",0.3,0.5,0.98,2.86,0.24,184
"2026-05-24T13:47:20.000Z",0.18,0.75,0.86,2.4,0.13,163
"2026-05-24T13:47:40.000Z",0.27,0.92,0.9,2.26,0.15,170
"2026-05-24T13:48:00.000Z",0.22,1.28,0.95,2.02,0.28,179
"2026-05-24T13:48:20.000Z",0.21,1.67,0.92,1.65,0.15,173
"2026-05-24T13:48:40.000Z",0.12,1.81,0.95,1.62,0.24,179
"2026-05-24T13:49:00.000Z",0.31,2.11,0.96,1.23,0.2,181
"2026-05-24T13:49:20.000Z",0.2,0.97,0.88,2.19,0.16,165
"2026-05-24T13:49:40.000Z",0.11,1.34,0.88,1.88,0.19,165
"2026-05-24T13:50:00.000Z",0.28,0.43,0.95,2.81,0.28,179
"2026-05-24T13:50:20.000Z",0.26,2.45,1.2,1.6,0.49,226
"2026-05-24T13:50:40.000Z",0.18,1.51,1.09,2.21,0.47,206
"2026-05-24T13:51:00.000Z",0.28,0.49,1,2.97,0.26,188
"2026-05-24T13:51:20.000Z",0.13,0.3,0.98,3.1,0.38,184
"2026-05-24T13:51:40.000Z",0.25,1.07,0.89,1.9,0.34,168
"2026-05-24T13:52:00.000Z",0.45,2.22,0.98,0.87,0.37,184
"2026-05-24T13:52:20.000Z",0.32,0.75,0.87,2.21,0.18,163
"2026-05-24T13:52:40.000Z",0.22,0.34,0.89,2.73,0.29,168
"2026-05-24T13:53:00.000Z",0.34,2.76,0.93,0.31,0.3,175
"2026-05-24T13:53:20.000Z",0.24,2.77,0.9,0.33,0.27,170
"2026-05-24T13:53:40.000Z",0.2,1.62,0.89,1.41,0.32,167
"2026-05-24T13:54:00.000Z",0.26,1.24,1.04,2.29,0.38,196
"2026-05-24T13:54:20.000Z",0.17,1.33,0.86,1.55,0.38,162
"2026-05-24T13:54:40.000Z",0.27,1.54,0.91,1.59,0.23,171
"2026-05-24T13:55:00.000Z",0.3,0.27,0.9,2.7,0.35,170
"2026-05-24T13:55:20.000Z",0.38,0.52,1.14,0.61,3.07,215
"2026-05-24T13:55:40.000Z",1.95,0.21,1.09,0.23,1.96,205
"2026-05-24T13:56:00.000Z",0.58,0.23,0.93,0.2,2.71,175
"2026-05-24T13:56:20.000Z",1.34,0.11,0.88,0.27,1.82,167
"2026-05-24T13:56:40.000Z",0.73,0.21,0.89,0.19,2.42,167
"2026-05-24T13:57:00.000Z",1.32,0.31,0.99,0.17,2.15,187
"2026-05-24T13:57:20.000Z",1.3,0.17,0.84,0.2,1.71,159
"2026-05-24T13:57:40.000Z",3.28,0.23,1.06,0.23,0.5,200
"2026-05-24T13:58:00.000Z",0.44,0.19,0.91,0.18,2.83,172
"2026-05-24T13:58:20.000Z",0.35,0.15,0.83,0.2,2.62,156
"2026-05-24T13:58:40.000Z",1.24,0.19,0.99,0.18,2.36,187
"2026-05-24T13:59:00.000Z",2.36,0.24,0.92,0.19,0.91,174
"2026-05-24T13:59:20.000Z",2.8,0.23,0.89,0.17,0.38,168
"2026-05-24T13:59:40.000Z",0.83,0.22,0.89,0.12,2.38,167
"2026-05-24T14:00:00.000Z",1.51,0.24,0.96,0.18,1.88,180
"2026-05-24T14:00:20.000Z",0.57,1.11,1.3,2.91,0.62,245
"2026-05-24T14:00:40.000Z",0.29,1.83,1.21,2.24,0.5,229
"2026-05-24T14:01:00.000Z",0.35,0.45,1.05,3.2,0.21,198
"2026-05-24T14:01:20.000Z",0.64,3.52,1.56,1.2,0.86,293
"2026-05-24T14:01:40.000Z",0.26,0.55,0.94,2.63,0.31,177
"2026-05-24T14:02:00.000Z",0.38,1.05,0.98,2.16,0.33,185
"2026-05-24T14:02:20.000Z",0.3,2.65,0.88,0.37,0.19,166
"2026-05-24T14:02:40.000Z",0.32,1.53,0.88,1.53,0.16,167
"2026-05-24T14:03:00.000Z",0.47,2.33,0.97,0.81,0.24,182
"2026-05-24T14:03:20.000Z",0.45,0.26,0.87,2.69,0.1,165
"2026-05-24T14:03:40.000Z",0.26,0.2,0.9,2.76,0.36,169
"2026-05-24T14:04:00.000Z",0.38,1.8,0.89,1.16,0.23,168
"2026-05-24T14:04:20.000Z",0.29,0.23,0.89,2.73,0.3,167
"2026-05-24T14:04:40.000Z",0.31,1.56,0.9,1.49,0.26,171
"2026-05-24T14:05:00.000Z",0.32,2.66,0.9,0.29,0.32,169
"2026-05-24T14:05:20.000Z",0.55,2.86,1.12,0.61,0.46,211
"2026-05-24T14:05:40.000Z",0.77,0.63,1.1,2.57,0.42,207
"2026-05-24T14:06:00.000Z",0.52,2.69,1.04,0.39,0.54,195
"2026-05-24T14:06:20.000Z",0.54,1.53,0.95,1.36,0.38,180
"2026-05-24T14:06:40.000Z",0.46,2.7,0.97,0.33,0.37,182
"2026-05-24T14:07:00.000Z",0.57,0.2,0.99,2.66,0.52,186
"2026-05-24T14:07:20.000Z",0.37,0.17,0.9,2.64,0.42,170
"2026-05-24T14:07:40.000Z",0.37,1.58,0.92,1.23,0.51,173
"2026-05-24T14:08:00.000Z",0.52,1.97,0.94,0.86,0.41,177
"2026-05-24T14:08:20.000Z",0.39,0.1,0.9,2.65,0.46,170
"2026-05-24T14:08:40.000Z",0.57,0.13,0.93,2.66,0.36,176
"2026-05-24T14:09:00.000Z",0.45,0.13,0.94,2.65,0.54,177
"2026-05-24T14:09:20.000Z",0.42,0.22,0.94,2.77,0.34,177
"2026-05-24T14:09:40.000Z",0.45,0.19,0.92,2.72,0.3,172
"2026-05-24T14:10:00.000Z",0.49,0.13,0.93,2.66,0.43,175
"2026-05-24T14:10:20.000Z",2.38,0.53,1.13,0.29,1.33,213
"2026-05-24T14:10:40.000Z",2.83,0.14,1.24,0.15,1.85,234
"2026-05-24T14:11:00.000Z",4.08,0.16,1.25,0.19,0.56,235
"2026-05-24T14:11:20.000Z",1.92,0.22,0.95,0.31,1.33,178
"2026-05-24T14:11:40.000Z",0.75,0.12,0.93,0.21,2.64,175
"2026-05-24T14:12:00.000Z",1.76,0.25,0.99,0.18,1.77,186
"2026-05-24T14:12:20.000Z",1.81,0.12,0.89,0.15,1.46,167
"2026-05-24T14:12:40.000Z",1.79,0.09,0.93,0.22,1.6,175
"2026-05-24T14:13:00.000Z",0.62,0.21,0.98,0.21,2.87,184
"2026-05-24T14:13:20.000Z",1.05,0.13,0.9,0.11,2.32,170
"2026-05-24T14:13:40.000Z",0.49,0.13,0.88,0.16,2.75,166
"2026-05-24T14:14:00.000Z",2.34,0.17,0.95,0.14,1.13,178
"2026-05-24T14:14:20.000Z",3.01,0.18,0.91,0.14,0.32,172
"2026-05-24T14:14:40.000Z",2.77,0.14,0.92,0.21,0.56,173
"2026-05-24T14:15:00.000Z",3.09,0.25,0.96,0.18,0.32,181
"2026-05-24T14:15:20.000Z",0.72,2.86,1.18,0.46,0.68,222
"2026-05-24T14:15:40.000Z",0.35,3.11,1.07,0.42,0.4,202
"2026-05-24T14:16:00.000Z",0.33,2.68,0.95,0.54,0.27,180
"2026-05-24T14:16:20.000Z",0.17,1.03,0.88,2.04,0.29,167
"2026-05-24T14:16:40.000Z",0.23,1.34,0.9,1.75,0.29,170
"2026-05-24T14:17:00.000Z",0.35,0.58,0.94,2.53,0.29,177
"2026-05-24T14:17:20.000Z",0.31,2.6,0.93,0.62,0.17,175
"2026-05-24T14:17:40.000Z",0.31,0.44,0.86,2.49,0.22,163
"2026-05-24T14:18:00.000Z",0.31,0.35,0.91,2.75,0.25,172
"2026-05-24T14:18:20.000Z",0.21,0.3,0.92,2.99,0.19,174
"2026-05-24T14:18:40.000Z",0.33,2.33,0.91,0.8,0.19,172
"2026-05-24T14:19:00.000Z",0.12,0.35,0.96,2.96,0.42,181
"2026-05-24T14:19:20.000Z",0.17,0.29,0.88,2.73,0.33,166
"2026-05-24T14:19:40.000Z",0.22,0.3,0.86,2.69,0.25,163
"2026-05-24T14:20:00.000Z",0.27,0.32,0.87,2.67,0.23,164
"2026-05-24T14:20:20.000Z",0.52,0.51,1.14,2.96,0.55,214
"2026-05-24T14:20:40.000Z",0.18,3.08,1.09,0.7,0.41,206
"2026-05-24T14:21:00.000Z",0.15,2.1,0.97,1.28,0.34,182
"2026-05-24T14:21:20.000Z",0.11,1.73,0.86,1.38,0.22,162
"2026-05-24T14:21:40.000Z",0.22,0.37,0.93,2.91,0.23,175
"2026-05-24T14:22:00.000Z",0.38,1.64,1,1.69,0.29,188
"2026-05-24T14:22:20.000Z",0.26,1.53,0.91,1.7,0.15,171
"2026-05-24T14:22:40.000Z",0.27,0.94,0.85,1.99,0.19,160
"2026-05-24T14:23:00.000Z",0.27,2.07,0.93,1.15,0.25,176
"2026-05-24T14:23:20.000Z",0.38,0.68,0.99,2.68,0.23,187
"2026-05-24T14:23:40.000Z",0.28,0.28,0.87,2.68,0.23,163
"2026-05-24T14:24:00.000Z",0.23,0.39,0.91,2.72,0.28,171
"2026-05-24T14:24:20.000Z",0.2,0.61,0.88,2.44,0.29,166
"2026-05-24T14:24:40.000Z",0.26,1.03,0.89,2.16,0.12,168
"2026-05-24T14:25:00.000Z",0.34,0.32,1.17,3.76,0.26,220
"2026-05-24T14:25:20.000Z",0.61,1.07,1.15,2.51,0.41,217
"2026-05-24T14:25:40.000Z",0.29,0.76,1.16,3,0.61,219
"2026-05-24T14:26:00.000Z",0.53,2.23,1.01,0.83,0.46,191
"2026-05-24T14:26:20.000Z",0.43,2.38,0.9,0.42,0.36,169
"2026-05-24T14:26:40.000Z",4.59,4.56,3.03,1.74,1.23,570
"2026-05-24T14:27:00.000Z",0.32,0.82,0.96,2.17,0.52,181
"2026-05-24T14:27:20.000Z",0.21,0.55,0.99,2.84,0.35,186
"2026-05-24T14:27:40.000Z",0.26,1.38,0.89,1.61,0.3,168
"2026-05-24T14:28:00.000Z",0.3,1.6,0.91,1.39,0.36,172
"2026-05-24T14:28:20.000Z",0.29,1.03,0.9,1.99,0.28,169
"2026-05-24T14:28:40.000Z",0.26,0.91,0.93,2.21,0.33,175
"2026-05-24T14:29:00.000Z",0.43,2.53,0.99,0.68,0.33,187
"2026-05-24T14:29:20.000Z",0.26,2.08,0.92,1.04,0.31,174
"2026-05-24T14:29:40.000Z",0.21,1.06,0.93,2.06,0.4,176
"2026-05-24T14:30:00.000Z",0.4,2.82,1.01,0.37,0.47,191
"2026-05-24T14:30:20.000Z",0.52,2.47,1.26,1.45,0.62,238
