"Time","Usage for esxilocal.hbmsolutions.mt"
"2026-05-20T16:47:20.000Z",15.07
"2026-05-20T16:47:40.000Z",19.9
"2026-05-20T16:48:00.000Z",15.48
"2026-05-20T16:48:20.000Z",16.62
"2026-05-20T16:48:40.000Z",15.22
"2026-05-20T16:49:00.000Z",14.18
"2026-05-20T16:49:20.000Z",18.93
"2026-05-20T16:49:40.000Z",13.5
"2026-05-20T16:50:00.000Z",13.09
"2026-05-20T16:50:20.000Z",17.34
"2026-05-20T16:50:40.000Z",14.3
"2026-05-20T16:51:00.000Z",13.88
"2026-05-20T16:51:20.000Z",17.71
"2026-05-20T16:51:40.000Z",13.26
"2026-05-20T16:52:00.000Z",15.86
"2026-05-20T16:52:20.000Z",16.54
"2026-05-20T16:52:40.000Z",13.92
"2026-05-20T16:53:00.000Z",17.33
"2026-05-20T16:53:20.000Z",16
"2026-05-20T16:53:40.000Z",14.73
"2026-05-20T16:54:00.000Z",12.88
"2026-05-20T16:54:20.000Z",16.24
"2026-05-20T16:54:40.000Z",19.69
"2026-05-20T16:55:00.000Z",17.5
"2026-05-20T16:55:20.000Z",14.63
"2026-05-20T16:55:40.000Z",14.12
"2026-05-20T16:56:00.000Z",18.14
"2026-05-20T16:56:20.000Z",17.54
"2026-05-20T16:56:40.000Z",19.35
"2026-05-20T16:57:00.000Z",15.12
"2026-05-20T16:57:20.000Z",17.91
"2026-05-20T16:57:40.000Z",16.29
"2026-05-20T16:58:00.000Z",16.21
"2026-05-20T16:58:20.000Z",20.61
"2026-05-20T16:58:40.000Z",19.62
"2026-05-20T16:59:00.000Z",17.7
"2026-05-20T16:59:20.000Z",22.57
"2026-05-20T16:59:40.000Z",15.62
"2026-05-20T17:00:00.000Z",14.8
"2026-05-20T17:00:20.000Z",17.56
"2026-05-20T17:00:40.000Z",15.26
"2026-05-20T17:01:00.000Z",14.72
"2026-05-20T17:01:20.000Z",20.89
"2026-05-20T17:01:40.000Z",21.08
"2026-05-20T17:02:00.000Z",17.33
"2026-05-20T17:02:20.000Z",18.04
"2026-05-20T17:02:40.000Z",21.36
"2026-05-20T17:03:00.000Z",14.64
"2026-05-20T17:03:20.000Z",20.02
"2026-05-20T17:03:40.000Z",16.22
"2026-05-20T17:04:00.000Z",14.79
