"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-22T17:24:00.000Z",3736516,2446036,8452932,52200,0,92.75,9725560
"2026-05-22T17:24:20.000Z",3736528,2445824,8455940,52000,0,92.79,9729032
"2026-05-22T17:24:40.000Z",3693516,2445600,8457464,52240,0,92.79,9729816
"2026-05-22T17:25:00.000Z",3680160,2445460,8458240,52272,0,92.8,9730788
"2026-05-22T17:25:20.000Z",3722088,2444824,8461368,52944,0,92.86,9736644
"2026-05-22T17:25:40.000Z",3679520,2446600,8459032,53420,0,92.78,9728132
"2026-05-22T17:26:00.000Z",3675500,2446392,8460100,53284,0,92.77,9727148
"2026-05-22T17:26:20.000Z",3674364,2445340,8462636,52920,0,92.8,9730240
"2026-05-22T17:26:40.000Z",3737436,2463420,8464052,53220,0,92.77,9726696
"2026-05-22T17:27:00.000Z",3718988,2468988,8438816,53256,0,92.55,9704156
"2026-05-22T17:27:20.000Z",3676120,2467644,8441580,53624,0,92.55,9704164
"2026-05-22T17:27:40.000Z",3487388,2466752,8443660,53148,0,92.59,9707944
"2026-05-22T17:28:00.000Z",3471072,2466192,8445368,53216,0,92.59,9708288
"2026-05-22T17:28:20.000Z",3492148,2465424,8448344,52972,0,92.61,9710908
"2026-05-22T17:28:40.000Z",3313396,2464132,8452672,53280,0,92.66,9715176
"2026-05-22T17:29:00.000Z",3290772,2463932,8454296,53132,0,92.67,9716900
"2026-05-22T17:29:20.000Z",3415164,2463616,8455440,53796,0,92.65,9714684
"2026-05-22T17:29:40.000Z",3404840,2461288,8459032,53572,0,92.68,9718180
"2026-05-22T17:30:00.000Z",3415132,2460080,8461352,53416,0,92.71,9720840
"2026-05-22T17:30:20.000Z",3394676,2458032,8465644,53544,0,92.8,9730224
"2026-05-22T17:30:40.000Z",3835892,2469880,8401420,53436,0,92.56,9705376
"2026-05-22T17:31:00.000Z",3816332,2475108,8355032,53312,0,92.19,9666760
"2026-05-22T17:31:20.000Z",3858372,2477912,8358880,53468,0,92.11,9658036
"2026-05-22T17:31:40.000Z",3825760,2476464,8360552,53368,0,92.13,9659580
"2026-05-22T17:32:00.000Z",3831376,2474788,8368188,53608,0,92.14,9661512
"2026-05-22T17:32:20.000Z",3809228,2474312,8370592,52904,0,92.17,9664252
"2026-05-22T17:32:40.000Z",3904488,2473404,8373024,52948,0,92.17,9664488
"2026-05-22T17:33:00.000Z",3899168,2472388,8376076,52844,0,92.2,9667300
"2026-05-22T17:33:20.000Z",3866396,2470800,8379808,53400,0,92.21,9668728
"2026-05-22T17:33:40.000Z",3823328,2470488,8380964,54180,0,92.21,9668456
"2026-05-22T17:34:00.000Z",3827004,2469988,8382620,54820,0,92.2,9667196
"2026-05-22T17:34:20.000Z",3816548,2469460,8383848,53988,0,92.22,9669368
"2026-05-22T17:34:40.000Z",3826024,2468984,8384668,53852,0,92.22,9669852
"2026-05-22T17:35:00.000Z",3511816,2468632,8385544,53648,0,92.24,9671500
"2026-05-22T17:35:20.000Z",3470004,2468432,8386136,53980,0,92.23,9670308
"2026-05-22T17:35:40.000Z",3428160,2468144,8388644,53988,0,92.3,9677940
"2026-05-22T17:36:00.000Z",3365396,2467916,8389596,53904,0,92.31,9678488
"2026-05-22T17:36:20.000Z",3315648,2467764,8307244,54268,0,91.65,9609444
"2026-05-22T17:36:40.000Z",3369952,2467516,8309156,54172,0,91.45,9588568
"2026-05-22T17:37:00.000Z",3496712,2466988,8310312,54112,0,91.45,9589284
"2026-05-22T17:37:20.000Z",3517856,2466276,8311580,54236,0,91.45,9588952
"2026-05-22T17:37:40.000Z",3517876,2462092,8316556,53936,0,91.52,9596244
"2026-05-22T17:38:00.000Z",3475472,2455392,8324248,53760,0,91.62,9606420
"2026-05-22T17:38:20.000Z",3444012,2451668,8330596,53356,0,91.67,9611504
"2026-05-22T17:38:40.000Z",3475476,2451108,8331628,53308,0,91.68,9612816
"2026-05-22T17:39:00.000Z",3978516,2454548,8299344,53328,0,91.51,9595548
"2026-05-22T17:39:20.000Z",4051928,2438236,8324800,53308,0,91.69,9613956
"2026-05-22T17:39:40.000Z",4083384,2437832,8326752,53560,0,91.69,9614268
"2026-05-22T17:40:00.000Z",3706092,2437544,8327896,53828,0,91.69,9614212
"2026-05-22T17:40:20.000Z",3831940,2437032,8329300,53680,0,91.72,9616812
"2026-05-22T17:40:40.000Z",3779700,2436592,8331272,53624,0,91.77,9621832
"2026-05-22T17:41:00.000Z",3591344,2436436,8331852,53532,0,91.77,9622576
"2026-05-22T17:41:20.000Z",3549500,2435944,8334288,53628,0,91.79,9624152
"2026-05-22T17:41:40.000Z",3570472,2433844,8340936,53536,0,91.83,9628744
