"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-23T08:23:20.000Z",0.32,2.6,1.08,1.2,0.18,203
"2026-05-23T08:23:40.000Z",0.24,1.84,1.07,2.01,0.18,201
"2026-05-23T08:24:00.000Z",0.25,0.95,0.94,2.28,0.3,178
"2026-05-23T08:24:20.000Z",0.21,1.97,0.9,1.27,0.15,170
"2026-05-23T08:24:40.000Z",0.23,2.52,0.91,0.73,0.15,171
"2026-05-23T08:25:00.000Z",0.32,1.24,0.97,2.05,0.28,183
"2026-05-23T08:25:20.000Z",0.35,1.26,1.1,2.27,0.52,207
"2026-05-23T08:25:40.000Z",0.26,1.03,1.24,3.32,0.33,233
"2026-05-23T08:26:00.000Z",0.29,0.73,1.04,2.77,0.35,195
"2026-05-23T08:26:20.000Z",0.17,2.94,0.93,0.4,0.2,175
"2026-05-23T08:26:40.000Z",0.2,2.29,0.94,0.89,0.36,176
"2026-05-23T08:27:00.000Z",0.27,1.29,0.96,1.91,0.36,181
"2026-05-23T08:27:20.000Z",0.19,1.94,0.93,1.36,0.23,176
"2026-05-23T08:27:40.000Z",0.21,0.84,1.01,2.65,0.37,191
"2026-05-23T08:28:00.000Z",0.26,1.98,0.94,1.23,0.3,178
"2026-05-23T08:28:20.000Z",0.2,1.33,0.92,1.94,0.2,173
"2026-05-23T08:28:40.000Z",0.3,0.44,0.96,2.92,0.2,181
"2026-05-23T08:29:00.000Z",0.24,2.28,1.06,1.38,0.33,199
"2026-05-23T08:29:20.000Z",0.2,2.91,0.96,0.41,0.3,180
"2026-05-23T08:29:40.000Z",0.22,1.67,0.96,1.7,0.24,181
"2026-05-23T08:30:00.000Z",0.24,2.16,1.1,1.62,0.37,207
"2026-05-23T08:30:20.000Z",0.29,1.79,1.14,1.98,0.49,214
"2026-05-23T08:30:40.000Z",0.26,1.3,1.13,2.57,0.39,213
"2026-05-23T08:31:00.000Z",0.38,0.76,0.95,2.08,0.56,179
"2026-05-23T08:31:20.000Z",0.29,1.58,0.92,1.5,0.31,174
"2026-05-23T08:31:40.000Z",0.3,2.36,0.89,0.52,0.39,168
"2026-05-23T08:32:00.000Z",0.41,0.82,0.97,2.26,0.38,182
"2026-05-23T08:32:20.000Z",0.22,1.89,0.86,0.95,0.37,162
"2026-05-23T08:32:40.000Z",0.2,2.58,0.88,0.38,0.36,165
"2026-05-23T08:33:00.000Z",0.42,0.57,0.93,2.39,0.35,176
"2026-05-23T08:33:20.000Z",0.34,0.35,0.88,2.51,0.32,166
"2026-05-23T08:33:40.000Z",0.15,0.68,0.86,2.21,0.38,161
"2026-05-23T08:34:00.000Z",0.25,3.15,1.06,0.43,0.42,200
"2026-05-23T08:34:20.000Z",0.18,2.19,0.99,1.35,0.24,187
"2026-05-23T08:34:40.000Z",0.16,2.5,0.96,0.91,0.25,180
"2026-05-23T08:35:00.000Z",0.33,2.19,0.95,0.98,0.32,180
"2026-05-23T08:35:20.000Z",0.56,0.72,1.08,2.45,0.58,203
"2026-05-23T08:35:40.000Z",0.27,2.35,1.06,1.33,0.3,201
