"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-23T08:22:20.000Z",18.03,22.23,20.34,7.97,21.58,3390
"2026-05-23T08:22:40.000Z",16.65,18.78,21.72,20.05,6.06,3131
"2026-05-23T08:23:00.000Z",23.01,19.85,38.56,22.15,11.47,4326
"2026-05-23T08:23:20.000Z",22.36,23.39,28.55,23.43,14.06,4204
"2026-05-23T08:23:40.000Z",17.19,23.64,8.75,22.32,14.06,3232
"2026-05-23T08:24:00.000Z",16.33,22.3,5.98,19.56,17.48,3070
"2026-05-23T08:24:20.000Z",18.29,24.84,9.8,22.85,15.68,3439
"2026-05-23T08:24:40.000Z",17.98,22.76,18.84,21.7,8.61,3380
"2026-05-23T08:25:00.000Z",16.8,21.48,21.59,19.72,4.41,3159
"2026-05-23T08:25:20.000Z",18.85,25.33,9.09,22.28,18.72,3545
"2026-05-23T08:25:40.000Z",22.15,22,30.06,22.36,14.16,4164
"2026-05-23T08:26:00.000Z",20.72,20.86,7.72,22.76,31.52,3895
"2026-05-23T08:26:20.000Z",20.36,24.02,13.73,21.52,22.16,3828
"2026-05-23T08:26:40.000Z",16.16,22.5,13.36,19.32,9.47,3038
"2026-05-23T08:27:00.000Z",20.96,21.61,33.49,19.67,9.09,3941
"2026-05-23T08:27:20.000Z",18.23,25.71,6.84,21.94,18.42,3428
"2026-05-23T08:27:40.000Z",18.96,24.2,8.64,23.42,19.58,3564
"2026-05-23T08:28:00.000Z",15.68,17.98,4.98,21.53,18.24,2949
"2026-05-23T08:28:20.000Z",17.05,20.21,21.74,18.28,7.96,3205
"2026-05-23T08:28:40.000Z",19.86,6.42,23.82,23.14,26.07,3734
"2026-05-23T08:29:00.000Z",19.05,17.99,20.43,20.16,17.61,3581
"2026-05-23T08:29:20.000Z",15.85,12.68,17.33,10.64,22.74,2980
"2026-05-23T08:29:40.000Z",20.48,21.97,22.14,18.31,19.49,3850
"2026-05-23T08:30:00.000Z",13.77,10.07,20.3,6.95,17.74,2588
"2026-05-23T08:30:20.000Z",17.87,19.73,20.37,9.74,21.64,3360
"2026-05-23T08:30:40.000Z",15.57,6.52,19.48,18.81,17.48,2928
"2026-05-23T08:31:00.000Z",18.99,19.17,20.22,21.38,15.2,3570
"2026-05-23T08:31:20.000Z",17.55,7.79,20.47,22.1,19.82,3299
"2026-05-23T08:31:40.000Z",17.55,7.79,21.64,19.87,20.89,3300
"2026-05-23T08:32:00.000Z",14.75,9.89,13.1,16.19,19.81,2773
"2026-05-23T08:32:20.000Z",17.75,18.11,12.93,20.86,19.12,3338
"2026-05-23T08:32:40.000Z",16.03,17.2,7.83,20.55,18.54,3014
"2026-05-23T08:33:00.000Z",16.24,14.82,11.23,21.1,17.81,3053
"2026-05-23T08:33:20.000Z",19.14,25.56,18.28,22.18,10.52,3598
"2026-05-23T08:33:40.000Z",26.05,27.26,12.66,28.54,35.76,4899
"2026-05-23T08:34:00.000Z",27.67,32.52,15.1,31.96,31.11,5203
"2026-05-23T08:34:20.000Z",21.07,19,19.73,22.55,23,3961
"2026-05-23T08:34:40.000Z",22.24,22.05,22.67,25.09,19.16,4182
"2026-05-23T08:35:00.000Z",19.99,24.73,11.75,26.09,17.4,3759
"2026-05-23T08:35:20.000Z",20.43,20.04,15.06,22.82,23.8,3841
"2026-05-23T08:35:40.000Z",18.31,25.03,11.82,24.59,11.8,3443
"2026-05-23T08:36:00.000Z",18.88,21.65,21.45,20.34,12.07,3549
"2026-05-23T08:36:20.000Z",15.8,21.06,12.19,23.23,6.71,2970
"2026-05-23T08:36:40.000Z",18.35,22.42,22.1,22.3,6.56,3450
"2026-05-23T08:37:00.000Z",21.25,20.37,32.49,24.14,7.99,3995
"2026-05-23T08:37:20.000Z",19.81,18.88,20.1,22.17,18.08,3724
"2026-05-23T08:37:40.000Z",17.48,10.24,20.3,17.47,21.91,3287
"2026-05-23T08:38:00.000Z",17.97,24.27,21.08,8.43,18.1,3379
"2026-05-23T08:38:20.000Z",20.55,17.34,25.16,15.85,23.85,3863
"2026-05-23T08:38:40.000Z",16.32,14.58,21.38,9.35,19.96,3068
"2026-05-23T08:39:00.000Z",16.96,8.09,18.53,20.37,20.87,3190
"2026-05-23T08:39:20.000Z",15.1,9.09,20.31,11.91,19.09,2840
"2026-05-23T08:39:40.000Z",15.52,10.04,18.48,14.16,19.41,2918
"2026-05-23T08:40:00.000Z",20.5,25.26,22.41,10.05,24.28,3855
"2026-05-23T08:40:20.000Z",16.55,14.49,18.72,10.3,22.69,3112
"2026-05-23T08:40:40.000Z",15.51,9.21,21.57,14.77,16.5,2917
"2026-05-23T08:41:00.000Z",15.33,13.88,17.33,11.05,19.08,2883
"2026-05-23T08:41:20.000Z",15.19,8.79,24.58,8.93,18.48,2857
"2026-05-23T08:41:40.000Z",18.2,13.47,20.38,14.53,24.44,3423
"2026-05-23T08:42:00.000Z",18.01,17.87,20.39,12.55,21.22,3386
"2026-05-23T08:42:20.000Z",21.99,11.77,21.05,32.17,22.95,4134
"2026-05-23T08:42:40.000Z",18.25,16.86,21.74,11.48,22.91,3431
"2026-05-23T08:43:00.000Z",17.84,21.16,18.32,8.63,23.24,3354
"2026-05-23T08:43:20.000Z",18.57,25.23,18.11,10.09,20.86,3492
"2026-05-23T08:43:40.000Z",18.4,13.78,20.63,18.2,20.98,3459
"2026-05-23T08:44:00.000Z",14.95,8.24,16.1,15.06,20.41,2811
"2026-05-23T08:44:20.000Z",15.22,6.87,20.01,14.56,19.45,2863
"2026-05-23T08:44:40.000Z",16.27,16.24,17.4,8.26,23.18,3059
"2026-05-23T08:45:00.000Z",18.71,6.59,21.42,24.05,22.78,3518
"2026-05-23T08:45:20.000Z",14.82,11.77,17.55,10.13,19.82,2786
"2026-05-23T08:45:40.000Z",18.04,16,14.9,24.6,16.67,3392
"2026-05-23T08:46:00.000Z",22.22,24.7,26.92,22.91,14.34,4177
"2026-05-23T08:46:20.000Z",18.52,21.47,18.19,16.43,17.99,3482
"2026-05-23T08:46:40.000Z",17.84,20.86,22.75,22.3,5.45,3355
"2026-05-23T08:47:00.000Z",18.58,26.6,12.73,25.17,9.81,3493
"2026-05-23T08:47:20.000Z",17.15,22.53,9.48,23.12,13.49,3225
"2026-05-23T08:47:40.000Z",16.77,23.89,7.46,24.28,11.45,3154
"2026-05-23T08:48:00.000Z",15.78,23.48,9.47,17.63,12.55,2967
"2026-05-23T08:48:20.000Z",19.57,25.69,23.83,22.59,6.17,3680
"2026-05-23T08:48:40.000Z",19.63,19.49,26.13,19.83,13.07,3691
"2026-05-23T08:49:00.000Z",21.07,20.26,13.11,20.82,30.11,3962
"2026-05-23T08:49:20.000Z",18.35,23.34,6.47,20.22,23.39,3451
"2026-05-23T08:49:40.000Z",14.92,18.99,11.11,22.41,7.17,2805
"2026-05-23T08:50:00.000Z",17.21,20.61,22.66,19.27,6.31,3236
"2026-05-23T08:50:20.000Z",19.53,20.54,16.19,19.05,22.36,3673
"2026-05-23T08:50:40.000Z",13.39,17.62,11.59,19.6,4.76,2518
"2026-05-23T08:51:00.000Z",19.36,19.79,17.87,18.5,21.3,3641
"2026-05-23T08:51:20.000Z",16.19,18.76,23.14,18.17,4.68,3043
"2026-05-23T08:51:40.000Z",16.6,12.76,18.3,23.17,12.16,3121
"2026-05-23T08:52:00.000Z",14.53,19.12,15.34,19.29,4.37,2732
"2026-05-23T08:52:20.000Z",15.84,22.26,14.15,19.05,7.89,2978
