"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-23T08:23:20.000Z",126468,0,451868,8,0,18.94,1986308
"2026-05-23T08:23:40.000Z",126608,0,452092,8,0,18.95,1986888
"2026-05-23T08:24:00.000Z",186608,0,452136,8,0,18.95,1987164
"2026-05-23T08:24:20.000Z",219684,0,452160,8,0,18.95,1987196
"2026-05-23T08:24:40.000Z",219696,0,452172,8,0,18.95,1987272
"2026-05-23T08:25:00.000Z",155728,0,452200,8,0,18.96,1988144
"2026-05-23T08:25:20.000Z",115428,0,452216,8,0,18.88,1979656
"2026-05-23T08:25:40.000Z",113852,0,452232,8,0,18.8,1971688
"2026-05-23T08:26:00.000Z",112484,0,452252,8,0,18.83,1974564
"2026-05-23T08:26:20.000Z",113292,0,452252,8,0,18.78,1969728
"2026-05-23T08:26:40.000Z",113324,0,452252,8,0,18.78,1969960
"2026-05-23T08:27:00.000Z",113740,0,452260,8,0,18.84,1975432
"2026-05-23T08:27:20.000Z",107816,0,452260,8,0,18.79,1970904
"2026-05-23T08:27:40.000Z",108372,0,452260,8,0,18.81,1972988
"2026-05-23T08:28:00.000Z",108372,0,452260,8,0,18.81,1973048
"2026-05-23T08:28:20.000Z",114144,0,452260,8,0,18.81,1973068
"2026-05-23T08:28:40.000Z",114144,0,452260,8,0,18.81,1973068
"2026-05-23T08:29:00.000Z",114144,0,452260,8,0,18.81,1973076
"2026-05-23T08:29:20.000Z",110696,0,452276,8,0,18.81,1973116
"2026-05-23T08:29:40.000Z",110696,0,452288,8,0,18.81,1973132
"2026-05-23T08:30:00.000Z",110712,0,452316,8,0,18.82,1973408
"2026-05-23T08:30:20.000Z",110832,0,452336,8,0,18.82,1973488
"2026-05-23T08:30:40.000Z",109440,0,452352,8,0,18.79,1970576
"2026-05-23T08:31:00.000Z",109736,0,452364,8,0,18.84,1976140
"2026-05-23T08:31:20.000Z",112144,0,452364,8,0,18.8,1971336
"2026-05-23T08:31:40.000Z",112144,0,452364,8,0,18.8,1971360
"2026-05-23T08:32:00.000Z",112144,0,452364,8,0,18.84,1976308
"2026-05-23T08:32:20.000Z",112756,0,452364,8,0,18.8,1971460
"2026-05-23T08:32:40.000Z",112328,0,452364,8,0,18.8,1971464
"2026-05-23T08:33:00.000Z",112328,0,452364,8,0,18.8,1971524
"2026-05-23T08:33:20.000Z",111740,0,452364,8,0,18.8,1971476
"2026-05-23T08:33:40.000Z",107440,0,452364,8,0,18.8,1971480
"2026-05-23T08:34:00.000Z",107448,0,452432,8,0,18.8,1971560
"2026-05-23T08:34:20.000Z",107716,0,452432,8,0,18.8,1971560
"2026-05-23T08:34:40.000Z",110008,0,452432,8,0,18.8,1971632
"2026-05-23T08:35:00.000Z",110008,0,452364,8,0,18.8,1971800
"2026-05-23T08:35:20.000Z",108432,0,452364,8,0,18.81,1972348
"2026-05-23T08:35:40.000Z",107272,0,452364,8,0,18.79,1970268
"2026-05-23T08:36:00.000Z",107484,0,452364,8,0,18.83,1975000
"2026-05-23T08:36:20.000Z",107468,0,452364,8,0,18.79,1970768
"2026-05-23T08:36:40.000Z",112300,0,452364,8,0,18.79,1970784
"2026-05-23T08:37:00.000Z",112392,0,452364,8,0,18.84,1975964
"2026-05-23T08:37:20.000Z",110884,0,452364,8,0,18.71,1962600
"2026-05-23T08:37:40.000Z",106516,0,452364,8,0,18.72,1962948
"2026-05-23T08:38:00.000Z",91800,0,369736,8,0,17.95,1882720
"2026-05-23T08:38:20.000Z",91200,0,369736,8,0,17.88,1875440
"2026-05-23T08:38:40.000Z",93268,0,369736,8,0,17.89,1875848
"2026-05-23T08:39:00.000Z",94480,0,369736,8,0,17.89,1876540
"2026-05-23T08:39:20.000Z",94480,0,369736,8,0,17.89,1876544
"2026-05-23T08:39:40.000Z",94044,0,369736,8,0,17.89,1876552
"2026-05-23T08:40:00.000Z",94056,0,369736,8,0,17.9,1877532
"2026-05-23T08:40:20.000Z",94064,0,369736,8,0,17.94,1881116
"2026-05-23T08:40:40.000Z",93248,0,369736,8,0,18,1887772
"2026-05-23T08:41:00.000Z",93332,0,369736,8,0,18.01,1888344
"2026-05-23T08:41:20.000Z",93484,0,369736,8,0,17.96,1883564
"2026-05-23T08:41:40.000Z",97872,0,369736,8,0,17.96,1883588
"2026-05-23T08:42:00.000Z",97872,0,369736,8,0,18,1887520
"2026-05-23T08:42:20.000Z",97904,0,369736,8,0,17.96,1883600
"2026-05-23T08:42:40.000Z",91856,0,369736,8,0,17.96,1883600
"2026-05-23T08:43:00.000Z",91876,0,369736,8,0,17.96,1883628
"2026-05-23T08:43:20.000Z",91876,0,369736,8,0,17.96,1883608
"2026-05-23T08:43:40.000Z",94840,0,369736,8,0,17.96,1883608
"2026-05-23T08:44:00.000Z",94840,0,369736,8,0,17.96,1883616
"2026-05-23T08:44:20.000Z",94840,0,369736,8,0,17.96,1883616
"2026-05-23T08:44:40.000Z",95876,0,369736,8,0,17.96,1883688
"2026-05-23T08:45:00.000Z",95888,0,369736,8,0,17.96,1883912
"2026-05-23T08:45:20.000Z",95896,0,369736,8,0,17.96,1883952
"2026-05-23T08:45:40.000Z",94052,0,369736,8,0,17.96,1883960
"2026-05-23T08:46:00.000Z",94052,0,369736,8,0,18.01,1888464
"2026-05-23T08:46:20.000Z",94052,0,369736,8,0,17.96,1883984
"2026-05-23T08:46:40.000Z",94684,0,369736,8,0,17.97,1884140
"2026-05-23T08:47:00.000Z",94684,0,369736,8,0,18.01,1888992
"2026-05-23T08:47:20.000Z",94684,0,369736,8,0,17.97,1884144
"2026-05-23T08:47:40.000Z",90240,0,369736,8,0,17.97,1884148
"2026-05-23T08:48:00.000Z",90240,0,369736,8,0,17.97,1884152
"2026-05-23T08:48:20.000Z",90240,0,369736,8,0,17.97,1884152
"2026-05-23T08:48:40.000Z",96072,0,369736,8,0,17.97,1884152
"2026-05-23T08:49:00.000Z",96072,0,369736,8,0,17.97,1884156
"2026-05-23T08:49:20.000Z",96072,0,369736,8,0,17.97,1884160
"2026-05-23T08:49:40.000Z",94424,0,369736,8,0,17.97,1884168
"2026-05-23T08:50:00.000Z",94424,0,369736,8,0,17.97,1884256
"2026-05-23T08:50:20.000Z",94288,0,369736,8,0,17.97,1884160
"2026-05-23T08:50:40.000Z",95136,0,369736,8,0,17.97,1884172
"2026-05-23T08:51:00.000Z",95136,0,369736,8,0,18.01,1888640
"2026-05-23T08:51:20.000Z",95136,0,369736,8,0,17.97,1884180
"2026-05-23T08:51:40.000Z",91400,0,369736,8,0,17.96,1883228
"2026-05-23T08:52:00.000Z",91400,0,369736,8,0,17.99,1886848
"2026-05-23T08:52:20.000Z",91400,0,369736,8,0,17.96,1883244
"2026-05-23T08:52:40.000Z",92628,0,369736,8,0,17.96,1883248
"2026-05-23T08:53:00.000Z",92628,0,369736,8,0,17.96,1883252
"2026-05-23T08:53:20.000Z",92628,0,369736,8,0,17.96,1883252
"2026-05-23T08:53:40.000Z",94048,0,369736,8,0,17.96,1883288
"2026-05-23T08:54:00.000Z",94048,0,369736,8,0,17.96,1883292
"2026-05-23T08:54:20.000Z",94144,0,369736,8,0,17.96,1883300
"2026-05-23T08:54:40.000Z",96492,0,369736,8,0,17.96,1883300
"2026-05-23T08:55:00.000Z",96492,0,369736,8,0,17.96,1883316
"2026-05-23T08:55:20.000Z",96500,0,369736,8,0,17.96,1883324
"2026-05-23T08:55:40.000Z",94908,0,369736,8,0,17.96,1883328
"2026-05-23T08:56:00.000Z",94744,0,369736,8,0,18,1887496
"2026-05-23T08:56:20.000Z",94744,0,369736,8,0,17.96,1883344
"2026-05-23T08:56:40.000Z",94728,0,369736,8,0,17.96,1883352
"2026-05-23T08:57:00.000Z",93516,0,369736,8,0,18,1888216
"2026-05-23T08:57:20.000Z",93880,0,369736,8,0,17.96,1883764
"2026-05-23T08:57:40.000Z",95688,0,369736,8,0,17.96,1883768
"2026-05-23T08:58:00.000Z",93452,0,369736,8,0,17.96,1883776
"2026-05-23T08:58:20.000Z",93452,0,369736,8,0,17.96,1883776
"2026-05-23T08:58:40.000Z",93468,0,369736,8,0,17.96,1883776
"2026-05-23T08:59:00.000Z",94852,0,369736,8,0,17.96,1883784
"2026-05-23T08:59:20.000Z",94852,0,369736,8,0,17.96,1883784
"2026-05-23T08:59:40.000Z",94428,0,369736,8,0,17.96,1883784
"2026-05-23T09:00:00.000Z",93876,0,369736,8,0,17.96,1883788
"2026-05-23T09:00:20.000Z",93884,0,369736,8,0,17.96,1883792
"2026-05-23T09:00:40.000Z",93884,0,369736,8,0,17.96,1883808
"2026-05-23T09:01:00.000Z",93848,0,369736,8,0,18,1888240
"2026-05-23T09:01:20.000Z",93096,0,369736,8,0,18,1888140
"2026-05-23T09:01:40.000Z",93096,0,369736,8,0,18,1888156
"2026-05-23T09:02:00.000Z",93464,0,369736,8,0,18.05,1893016
"2026-05-23T09:02:20.000Z",93464,0,369736,8,0,18,1888168
"2026-05-23T09:02:40.000Z",93464,0,369736,8,0,18,1888168
"2026-05-23T09:03:00.000Z",94044,0,369736,8,0,18,1888180
"2026-05-23T09:03:20.000Z",94044,0,369736,8,0,18,1888180
"2026-05-23T09:03:40.000Z",94044,0,369736,8,0,18,1888180
"2026-05-23T09:04:00.000Z",95312,0,369736,8,0,18,1888184
"2026-05-23T09:04:20.000Z",95312,0,369736,8,0,18,1888184
"2026-05-23T09:04:40.000Z",95312,0,369736,8,0,18,1888232
"2026-05-23T09:05:00.000Z",91768,0,369736,8,0,18.01,1888500
"2026-05-23T09:05:20.000Z",89812,0,369736,8,0,17.96,1883672
"2026-05-23T09:05:40.000Z",91068,0,369736,8,0,17.96,1883756
"2026-05-23T09:06:00.000Z",94100,0,369736,8,0,18.01,1889152
"2026-05-23T09:06:20.000Z",94160,0,369736,8,0,17.97,1884368
"2026-05-23T09:06:40.000Z",94612,0,369736,8,0,17.98,1886144
"2026-05-23T09:07:00.000Z",90164,0,369736,8,0,18.03,1890500
"2026-05-23T09:07:20.000Z",90296,0,369736,8,0,17.97,1884296
"2026-05-23T09:07:40.000Z",90296,0,369736,8,0,17.97,1884304
"2026-05-23T09:08:00.000Z",95824,0,369736,8,0,17.97,1884308
"2026-05-23T09:08:20.000Z",95824,0,369736,8,0,17.97,1884308
"2026-05-23T09:08:40.000Z",95824,0,369736,8,0,17.97,1884308
"2026-05-23T09:09:00.000Z",90612,0,369736,8,0,17.97,1884316
"2026-05-23T09:09:20.000Z",90612,0,369736,8,0,17.97,1884324
"2026-05-23T09:09:40.000Z",90612,0,369736,8,0,17.97,1884324
"2026-05-23T09:10:00.000Z",95160,0,369736,8,0,17.97,1884944
"2026-05-23T09:10:20.000Z",95164,0,369736,8,0,17.98,1885764
"2026-05-23T09:10:40.000Z",94180,0,369736,8,0,17.93,1880504
"2026-05-23T09:11:00.000Z",96632,0,369736,8,0,18,1887904
"2026-05-23T09:11:20.000Z",95332,0,369736,8,0,17.88,1875108
"2026-05-23T09:11:40.000Z",95556,0,369736,8,0,17.88,1875688
"2026-05-23T09:12:00.000Z",93472,0,369736,8,0,17.93,1880744
"2026-05-23T09:12:20.000Z",93472,0,369736,8,0,17.89,1875896
"2026-05-23T09:12:40.000Z",93472,0,369736,8,0,17.89,1875900
"2026-05-23T09:13:00.000Z",89572,0,369736,8,0,17.89,1876504
"2026-05-23T09:13:20.000Z",89572,0,369736,8,0,17.89,1876504
"2026-05-23T09:13:40.000Z",89572,0,369736,8,0,17.89,1876504
"2026-05-23T09:14:00.000Z",92464,0,369736,8,0,17.89,1876512
"2026-05-23T09:14:20.000Z",92464,0,369736,8,0,17.89,1876512
"2026-05-23T09:14:40.000Z",92464,0,369736,8,0,17.89,1876572
"2026-05-23T09:15:00.000Z",92476,0,369736,8,0,17.9,1876816
"2026-05-23T09:15:20.000Z",91284,0,369736,8,0,17.9,1876968
"2026-05-23T09:15:40.000Z",91112,0,369736,8,0,17.88,1875444
"2026-05-23T09:16:00.000Z",90856,0,369736,8,0,17.91,1877964
"2026-05-23T09:16:20.000Z",97752,0,369736,8,0,17.88,1874708
"2026-05-23T09:16:40.000Z",98360,0,369736,8,0,17.88,1874964
"2026-05-23T09:17:00.000Z",99508,0,369736,8,0,17.93,1880488
"2026-05-23T09:17:20.000Z",91044,0,369736,8,0,17.88,1875640
"2026-05-23T09:17:40.000Z",91044,0,369736,8,0,17.88,1875648
"2026-05-23T09:18:00.000Z",91052,0,369736,8,0,17.88,1875652
"2026-05-23T09:18:20.000Z",91948,0,369736,8,0,17.88,1875660
"2026-05-23T09:18:40.000Z",91948,0,369736,8,0,17.88,1875660
"2026-05-23T09:19:00.000Z",91948,0,369736,8,0,17.88,1875672
"2026-05-23T09:19:20.000Z",90060,0,369736,8,0,17.88,1875672
"2026-05-23T09:19:40.000Z",90576,0,369736,8,0,17.89,1875752
"2026-05-23T09:20:00.000Z",90604,0,369736,8,0,17.89,1876008
"2026-05-23T09:20:20.000Z",94560,0,369736,8,0,17.89,1876600
"2026-05-23T09:20:40.000Z",93180,0,369736,8,0,17.98,1885272
"2026-05-23T09:21:00.000Z",3060760,0,2843908,8,0,42.36,4441376
"2026-05-23T09:21:20.000Z",3068108,0,2868484,8,0,42.4,4446020
"2026-05-23T09:21:40.000Z",3068796,0,2872580,8,0,42.3,4435876
"2026-05-23T09:22:00.000Z",3086968,0,2880772,8,0,42.48,4453948
"2026-05-23T09:22:20.000Z",3088064,0,2931972,8,0,42.89,4497024
"2026-05-23T09:22:40.000Z",3088064,0,2931972,8,0,42.89,4497024
"2026-05-23T09:23:00.000Z",2523912,0,3083524,8,0,44.45,4660560
