"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-17T19:53:20.000Z",2.94,2.59,2.61,2.29,2.6,490
"2026-05-17T19:53:40.000Z",3.13,3.27,2.57,1.73,2.13,483
"2026-05-17T19:54:00.000Z",2.95,3.1,2.36,1.53,1.87,444
"2026-05-17T19:54:20.000Z",2.66,2.42,2.35,2.4,1.91,442
"2026-05-17T19:54:40.000Z",3.47,2.13,2.72,2.76,2.54,512
"2026-05-17T19:55:00.000Z",2.69,3.37,2.77,1.93,3.09,521
"2026-05-17T19:55:20.000Z",2.8,3.92,2.92,1.96,3.02,550
"2026-05-17T19:55:40.000Z",3.04,1.84,2.38,2.23,2.4,447
"2026-05-17T19:56:00.000Z",3.55,2.6,2.7,1.95,2.69,508
"2026-05-17T19:56:20.000Z",3.07,2.49,2.67,2.54,2.56,502
"2026-05-17T19:56:40.000Z",3.74,1.99,2.81,2.59,2.93,530
"2026-05-17T19:57:00.000Z",4.07,2.86,3.18,2.46,3.34,599
"2026-05-17T19:57:20.000Z",2.99,2.4,2.63,2.54,2.61,496
"2026-05-17T19:57:40.000Z",2.55,2.76,2.34,1.51,2.53,440
"2026-05-17T19:58:00.000Z",3.34,2.92,2.74,1.91,2.77,515
"2026-05-17T19:58:20.000Z",3.17,2.96,2.79,1.99,3.02,524
"2026-05-17T19:58:40.000Z",2.99,2.29,2.5,2.47,2.26,471
"2026-05-17T19:59:00.000Z",3.2,2.16,2.4,2.16,2.09,452
"2026-05-17T19:59:20.000Z",3.51,1.8,2.66,2.73,2.59,500
"2026-05-17T19:59:40.000Z",3.9,2.26,3.28,3.48,3.5,618
"2026-05-17T20:00:00.000Z",2.52,2.41,2.32,2.28,2.06,437
"2026-05-17T20:00:20.000Z",2.41,2.75,2.88,2.77,3.6,542
"2026-05-17T20:00:40.000Z",1.82,2.96,2.45,2.54,2.45,460
"2026-05-17T20:01:00.000Z",2.32,3.7,2.58,2.77,1.53,485
"2026-05-17T20:01:20.000Z",5.2,3.78,3.62,2.96,2.55,682
"2026-05-17T20:01:40.000Z",3.72,3.26,2.72,2.97,0.93,512
"2026-05-17T20:02:00.000Z",3.61,4.59,3.28,3.74,1.19,618
"2026-05-17T20:02:20.000Z",2.88,3.58,3.23,3.37,3.1,608
"2026-05-17T20:02:40.000Z",0.78,2.79,2.49,2.98,3.4,468
"2026-05-17T20:03:00.000Z",1.85,3.71,2.65,2.64,2.39,499
"2026-05-17T20:03:20.000Z",3.54,2.16,3.04,2.4,4.05,572
"2026-05-17T20:03:40.000Z",4.27,1.09,2.57,0.88,4.04,483
"2026-05-17T20:04:00.000Z",4.04,1.22,2.53,1.29,3.59,477
"2026-05-17T20:04:20.000Z",3.4,2.64,2.9,2.61,2.94,545
"2026-05-17T20:04:40.000Z",3.06,3.66,2.97,3.54,1.61,559
"2026-05-17T20:05:00.000Z",2.02,3.09,2.54,3,2.05,478
"2026-05-17T20:05:20.000Z",2.62,3.05,2.97,3.68,2.53,558
