"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-17T19:53:20.000Z",95040,0,369836,8,0,17.96,1883772
"2026-05-17T19:53:40.000Z",95040,0,369836,8,0,17.95,1882924
"2026-05-17T19:54:00.000Z",94904,0,369836,8,0,17.98,1885220
"2026-05-17T19:54:20.000Z",95328,0,369836,8,0,17.98,1885984
"2026-05-17T19:54:40.000Z",95328,0,369836,8,0,18.01,1888852
"2026-05-17T19:55:00.000Z",99480,0,369836,8,0,17.97,1884408
"2026-05-17T19:55:20.000Z",99568,0,369836,8,0,17.96,1883720
"2026-05-17T19:55:40.000Z",99568,0,369836,8,0,17.96,1883716
"2026-05-17T19:56:00.000Z",99568,0,369836,8,0,17.97,1884584
"2026-05-17T19:56:20.000Z",96000,0,369836,8,0,17.95,1883044
"2026-05-17T19:56:40.000Z",96000,0,369836,8,0,17.98,1885472
"2026-05-17T19:57:00.000Z",94432,0,369836,8,0,18,1887448
"2026-05-17T19:57:20.000Z",97212,0,369836,8,0,17.96,1883528
"2026-05-17T19:57:40.000Z",97212,0,369836,8,0,17.97,1884428
"2026-05-17T19:58:00.000Z",93512,0,369836,8,0,18,1887860
"2026-05-17T19:58:20.000Z",91744,0,369836,8,0,17.98,1885644
"2026-05-17T19:58:40.000Z",92092,0,369836,8,0,17.99,1886216
"2026-05-17T19:59:00.000Z",92092,0,369836,8,0,17.96,1884100
"2026-05-17T19:59:20.000Z",97304,0,369836,8,0,18,1887252
"2026-05-17T19:59:40.000Z",97304,0,369836,8,0,18.03,1891152
"2026-05-17T20:00:00.000Z",97304,0,369836,8,0,17.97,1884600
"2026-05-17T20:00:20.000Z",96120,0,369836,8,0,17.98,1885932
"2026-05-17T20:00:40.000Z",95956,0,369836,8,0,17.94,1881860
"2026-05-17T20:01:00.000Z",96024,0,369836,8,0,17.98,1885840
"2026-05-17T20:01:20.000Z",99848,0,369836,8,0,18.05,1892920
"2026-05-17T20:01:40.000Z",100336,0,369836,8,0,18.09,1897084
"2026-05-17T20:02:00.000Z",99380,0,369836,8,0,18.08,1896424
"2026-05-17T20:02:20.000Z",95696,0,369836,8,0,18.1,1898520
"2026-05-17T20:02:40.000Z",95696,0,369836,8,0,18.09,1897648
"2026-05-17T20:03:00.000Z",95696,0,369836,8,0,18.05,1893416
"2026-05-17T20:03:20.000Z",96760,0,369836,8,0,18.06,1894196
"2026-05-17T20:03:40.000Z",96760,0,369836,8,0,18.06,1894112
"2026-05-17T20:04:00.000Z",97208,0,369836,8,0,18.08,1895916
"2026-05-17T20:04:20.000Z",93576,0,369836,8,0,18.08,1896268
"2026-05-17T20:04:40.000Z",93576,0,369836,8,0,18.12,1900596
"2026-05-17T20:05:00.000Z",93688,0,369836,8,0,18.09,1897320
"2026-05-17T20:05:20.000Z",101404,0,369836,8,0,18.09,1897508
"2026-05-17T20:05:40.000Z",128404,0,450944,8,0,19.12,2004764
"2026-05-17T20:06:00.000Z",129360,0,452200,8,0,19.06,1998596
"2026-05-17T20:06:20.000Z",143764,0,452336,8,0,18.96,1988928
"2026-05-17T20:06:40.000Z",144272,0,452372,8,0,18.99,1991448
"2026-05-17T20:07:00.000Z",202964,0,452388,8,0,18.91,1983188
"2026-05-17T20:07:20.000Z",201928,0,452396,8,0,18.92,1984268
"2026-05-17T20:07:40.000Z",201960,0,452428,8,0,18.92,1983980
"2026-05-17T20:08:00.000Z",136988,0,452440,8,0,18.95,1987188
"2026-05-17T20:08:20.000Z",113776,0,452448,8,0,18.95,1987532
"2026-05-17T20:08:40.000Z",113780,0,452488,8,0,18.99,1991628
"2026-05-17T20:09:00.000Z",112640,0,452488,8,0,18.93,1985616
"2026-05-17T20:09:20.000Z",115092,0,452488,8,0,18.94,1986328
"2026-05-17T20:09:40.000Z",115092,0,452488,8,0,19.01,1994184
"2026-05-17T20:10:00.000Z",115060,0,452488,8,0,18.95,1987568
"2026-05-17T20:10:20.000Z",110896,0,452488,8,0,18.92,1983984
"2026-05-17T20:10:40.000Z",111240,0,452488,8,0,18.93,1985160
"2026-05-17T20:11:00.000Z",111204,0,452488,8,0,18.93,1985036
"2026-05-17T20:11:20.000Z",116148,0,452488,8,0,19,1992296
"2026-05-17T20:11:40.000Z",115772,0,452496,8,0,18.95,1987524
"2026-05-17T20:12:00.000Z",113580,0,452508,8,0,18.93,1985464
"2026-05-17T20:12:20.000Z",113128,0,452516,8,0,18.93,1985744
"2026-05-17T20:12:40.000Z",113188,0,452552,8,0,18.93,1984768
"2026-05-17T20:13:00.000Z",109964,0,452564,8,0,18.82,1973876
"2026-05-17T20:13:20.000Z",115112,0,452580,8,0,18.8,1971648
"2026-05-17T20:13:40.000Z",115196,0,452684,8,0,18.8,1971816
"2026-05-17T20:14:00.000Z",115012,0,452684,8,0,18.8,1972148
"2026-05-17T20:14:20.000Z",115436,0,452684,8,0,18.81,1973096
"2026-05-17T20:14:40.000Z",111008,0,452596,8,0,18.82,1974052
"2026-05-17T20:15:00.000Z",111836,0,452596,8,0,18.8,1972076
"2026-05-17T20:15:20.000Z",111356,0,452596,8,0,18.83,1974956
"2026-05-17T20:15:40.000Z",114476,0,452596,8,0,18.84,1975416
"2026-05-17T20:16:00.000Z",113308,0,452596,8,0,18.8,1971320
"2026-05-17T20:16:20.000Z",113496,0,452596,8,0,18.78,1969668
"2026-05-17T20:16:40.000Z",112648,0,452596,8,0,18.8,1971568
"2026-05-17T20:17:00.000Z",113028,0,452596,8,0,18.83,1975272
"2026-05-17T20:17:20.000Z",113132,0,452596,8,0,18.82,1973524
"2026-05-17T20:17:40.000Z",115480,0,452596,8,0,18.82,1974032
"2026-05-17T20:18:00.000Z",113800,0,452596,8,0,18.85,1976492
"2026-05-17T20:18:20.000Z",114224,0,452596,8,0,18.81,1973088
"2026-05-17T20:18:40.000Z",111468,0,452596,8,0,18.87,1978968
"2026-05-17T20:19:00.000Z",111472,0,452596,8,0,18.85,1976944
"2026-05-17T20:19:20.000Z",111472,0,452596,8,0,18.87,1978820
"2026-05-17T20:19:40.000Z",110616,0,452596,8,0,18.82,1973976
"2026-05-17T20:20:00.000Z",110584,0,452596,8,0,18.86,1977728
"2026-05-17T20:20:20.000Z",109616,0,450532,8,0,18.79,1970668
"2026-05-17T20:20:40.000Z",94896,0,367940,8,0,18.24,1913348
"2026-05-17T20:21:00.000Z",95808,0,367940,8,0,18.23,1912168
"2026-05-17T20:21:20.000Z",94204,0,367940,8,0,18.1,1898196
"2026-05-17T20:21:40.000Z",106912,0,367940,8,0,18.09,1897384
"2026-05-17T20:22:00.000Z",106104,0,367940,8,0,18.03,1891164
"2026-05-17T20:22:20.000Z",107192,0,367940,8,0,18.04,1892252
"2026-05-17T20:22:40.000Z",100844,0,367940,8,0,18.03,1890724
"2026-05-17T20:23:00.000Z",99952,0,367940,8,0,18.01,1888776
"2026-05-17T20:23:20.000Z",100688,0,367940,8,0,18.02,1889692
"2026-05-17T20:23:40.000Z",93016,0,367940,8,0,18.03,1891048
"2026-05-17T20:24:00.000Z",93016,0,367940,8,0,18.02,1889684
"2026-05-17T20:24:20.000Z",93512,0,367940,8,0,18.04,1891532
"2026-05-17T20:24:40.000Z",89908,0,367940,8,0,18.02,1889812
"2026-05-17T20:25:00.000Z",89908,0,367940,8,0,18.01,1889300
"2026-05-17T20:25:20.000Z",89928,0,367940,8,0,18.01,1888624
"2026-05-17T20:25:40.000Z",95028,0,367940,8,0,18.02,1889700
"2026-05-17T20:26:00.000Z",95028,0,367940,8,0,18.05,1893220
"2026-05-17T20:26:20.000Z",94952,0,367940,8,0,18.02,1890264
"2026-05-17T20:26:40.000Z",97164,0,367940,8,0,18.02,1890264
"2026-05-17T20:27:00.000Z",97552,0,367940,8,0,18.04,1892024
"2026-05-17T20:27:20.000Z",97164,0,367940,8,0,18.05,1893172
"2026-05-17T20:27:40.000Z",95172,0,367940,8,0,18.03,1890792
"2026-05-17T20:28:00.000Z",95172,0,367940,8,0,18.05,1892680
"2026-05-17T20:28:20.000Z",95172,0,367940,8,0,18.02,1889964
"2026-05-17T20:28:40.000Z",90348,0,367940,8,0,18.03,1891168
"2026-05-17T20:29:00.000Z",90348,0,367940,8,0,18.03,1890652
"2026-05-17T20:29:20.000Z",90348,0,367940,8,0,18.04,1891512
"2026-05-17T20:29:40.000Z",94464,0,367940,8,0,18.03,1890740
"2026-05-17T20:30:00.000Z",94692,0,367940,8,0,18.05,1893180
"2026-05-17T20:30:20.000Z",94724,0,367940,8,0,18.04,1892448
"2026-05-17T20:30:40.000Z",93164,0,367940,8,0,18.1,1898000
"2026-05-17T20:31:00.000Z",93280,0,367940,8,0,18.05,1893216
"2026-05-17T20:31:20.000Z",93132,0,367940,8,0,18.03,1890800
"2026-05-17T20:31:40.000Z",90928,0,367940,8,0,17.98,1885212
"2026-05-17T20:32:00.000Z",96384,0,367940,8,0,17.98,1885940
"2026-05-17T20:32:20.000Z",98156,0,367940,8,0,17.99,1886900
"2026-05-17T20:32:40.000Z",98156,0,367940,8,0,17.99,1886396
"2026-05-17T20:33:00.000Z",89148,0,367940,8,0,17.98,1885784
"2026-05-17T20:33:20.000Z",90408,0,367940,8,0,17.98,1886028
"2026-05-17T20:33:40.000Z",90408,0,367940,8,0,17.98,1885840
"2026-05-17T20:34:00.000Z",94448,0,367940,8,0,17.97,1884484
"2026-05-17T20:34:20.000Z",94916,0,367940,8,0,17.97,1884548
"2026-05-17T20:34:40.000Z",94916,0,367940,8,0,17.97,1885060
"2026-05-17T20:35:00.000Z",94820,0,367940,8,0,17.99,1886600
"2026-05-17T20:35:20.000Z",94372,0,365876,8,0,17.9,1877692
"2026-05-17T20:35:40.000Z",94100,0,365876,8,0,18.03,1890964
"2026-05-17T20:36:00.000Z",92464,0,365876,8,0,17.94,1881384
"2026-05-17T20:36:20.000Z",89120,0,365876,8,0,17.88,1875444
"2026-05-17T20:36:40.000Z",92508,0,365876,8,0,17.94,1880968
"2026-05-17T20:37:00.000Z",100524,0,365876,8,0,17.94,1881056
"2026-05-17T20:37:20.000Z",99548,0,365900,8,0,17.94,1881684
"2026-05-17T20:37:40.000Z",99208,0,365900,8,0,17.86,1872944
"2026-05-17T20:38:00.000Z",106772,0,365900,8,0,17.84,1871172
"2026-05-17T20:38:20.000Z",109128,0,367964,8,0,18.09,1896984
"2026-05-17T20:38:40.000Z",108352,0,365900,8,0,17.77,1863252
"2026-05-17T20:39:00.000Z",102740,0,367964,8,0,17.93,1880020
"2026-05-17T20:39:20.000Z",103176,0,365900,8,0,17.75,1861052
"2026-05-17T20:39:40.000Z",103176,0,365900,8,0,17.79,1866132
"2026-05-17T20:40:00.000Z",106228,0,365968,8,0,17.75,1861180
"2026-05-17T20:40:20.000Z",106676,0,365968,8,0,17.77,1863752
"2026-05-17T20:40:40.000Z",106532,0,365988,8,0,17.76,1862640
"2026-05-17T20:41:00.000Z",99976,0,365988,8,0,17.77,1863232
