"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-18T17:16:40.000Z",26.16,36.52,26.9,18.44,22.77,4918
"2026-05-18T17:17:00.000Z",21.6,9.77,28.85,19.01,28.79,4062
"2026-05-18T17:17:20.000Z",24.94,14.17,26.59,34.8,24.22,4690
"2026-05-18T17:17:40.000Z",27.52,30.3,29.05,24.64,26.1,5175
"2026-05-18T17:18:00.000Z",22.69,23.21,25.67,20.84,21.02,4265
"2026-05-18T17:18:20.000Z",19.78,21.5,16.64,19.57,21.42,3720
"2026-05-18T17:18:40.000Z",22.01,25.02,20.82,17.12,25.07,4138
"2026-05-18T17:19:00.000Z",21.51,13.68,23.42,10.17,38.77,4044
"2026-05-18T17:19:20.000Z",24.41,13.99,24.46,24.32,34.88,4590
"2026-05-18T17:19:40.000Z",26.34,26.75,26.38,21.32,30.93,4953
"2026-05-18T17:20:00.000Z",19.6,16.53,20.22,23.35,18.32,3686
"2026-05-18T17:20:20.000Z",24.18,22.69,28.89,19.14,26.01,4547
"2026-05-18T17:20:40.000Z",28.05,27.95,25.71,29.33,29.23,5275
"2026-05-18T17:21:00.000Z",23.85,23.69,19.35,25.5,26.86,4484
"2026-05-18T17:21:20.000Z",29.81,21.32,36.12,23.74,38.08,5606
"2026-05-18T17:21:40.000Z",27.87,26.7,33.18,30.39,21.22,5240
"2026-05-18T17:22:00.000Z",23.81,29.6,18.37,30.67,16.59,4476
"2026-05-18T17:22:20.000Z",24.75,27.1,21.25,29.51,21.16,4654
"2026-05-18T17:22:40.000Z",28.24,20.95,29.06,37.42,25.52,5309
"2026-05-18T17:23:00.000Z",25.69,21.13,34.86,21.38,25.4,4830
"2026-05-18T17:23:20.000Z",26.22,28.37,19,30.42,27.08,4930
"2026-05-18T17:23:40.000Z",26.39,22.02,22.96,33.73,26.85,4962
"2026-05-18T17:24:00.000Z",24.74,24.48,22.02,22.83,29.62,4651
"2026-05-18T17:24:20.000Z",25,20.36,21.05,22.71,35.9,4701
"2026-05-18T17:24:40.000Z",25.04,17.94,28.44,27.6,26.16,4707
"2026-05-18T17:25:00.000Z",27.35,18.97,24.25,40.55,25.61,5141
"2026-05-18T17:25:20.000Z",25.36,23.23,17.34,35.89,24.98,4768
"2026-05-18T17:25:40.000Z",23.93,25.73,20.66,29.89,19.44,4500
"2026-05-18T17:26:00.000Z",21.05,23.24,17.35,23.99,19.63,3958
"2026-05-18T17:26:20.000Z",23.95,18.19,26.31,24.61,26.7,4503
"2026-05-18T17:26:40.000Z",30.08,32.56,24.17,33.93,29.67,5656
"2026-05-18T17:27:00.000Z",27.19,24.71,24.62,38.43,20.99,5112
"2026-05-18T17:27:20.000Z",24.39,29.66,18.72,25.28,23.91,4586
"2026-05-18T17:27:40.000Z",24.46,26.9,19.01,24.22,27.72,4599
"2026-05-18T17:28:00.000Z",26.23,28.29,24.92,24.88,26.81,4931
"2026-05-18T17:28:20.000Z",23.35,26.1,19.86,26.34,21.1,4390
