"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-18T17:16:40.000Z",5239992,1770464,7905968,33504,0,92.44,9692744
"2026-05-18T17:17:00.000Z",5241684,1771384,7931392,33744,0,92.58,9707544
"2026-05-18T17:17:20.000Z",5148868,1768376,7938080,34808,0,92.56,9705256
"2026-05-18T17:17:40.000Z",5065520,1838788,7860980,35760,0,91.89,9634840
"2026-05-18T17:18:00.000Z",4908348,1814188,7894076,35856,0,92.09,9656344
"2026-05-18T17:18:20.000Z",4863408,1808708,7899584,35840,0,92.06,9652688
"2026-05-18T17:18:40.000Z",4758940,1897456,7812436,36092,0,91.28,9571332
"2026-05-18T17:19:00.000Z",4715960,1896408,7818700,36004,0,91.34,9577500
"2026-05-18T17:19:20.000Z",4726872,1893336,7826824,36656,0,91.34,9576800
"2026-05-18T17:19:40.000Z",4642992,1978212,7748716,37288,0,90.55,9494720
"2026-05-18T17:20:00.000Z",4502084,1974768,7761112,37512,0,90.63,9502896
"2026-05-18T17:20:20.000Z",4468320,1966068,7782264,37772,0,90.79,9519300
"2026-05-18T17:20:40.000Z",4405416,2017288,7761980,39036,0,90.55,9494204
"2026-05-18T17:21:00.000Z",4467620,2021508,7758464,38980,0,90.49,9488188
"2026-05-18T17:21:20.000Z",4718808,2056028,7749016,38916,0,90.36,9474008
"2026-05-18T17:21:40.000Z",4698020,2077120,7727232,39448,0,90.17,9454168
"2026-05-18T17:22:00.000Z",4761020,2075964,7737076,39384,0,90.09,9445912
"2026-05-18T17:22:20.000Z",5001644,2098488,7736312,39020,0,90.09,9445812
"2026-05-18T17:22:40.000Z",4958696,2157492,7687964,39488,0,89.6,9394580
"2026-05-18T17:23:00.000Z",5063596,2155868,7693704,39436,0,89.65,9400244
"2026-05-18T17:23:20.000Z",4826000,2152592,7622588,39452,0,88.92,9323840
"2026-05-18T17:23:40.000Z",4804536,2150452,7657568,39292,0,89.08,9340784
"2026-05-18T17:24:00.000Z",4730600,2148200,7662628,39524,0,89.12,9344616
"2026-05-18T17:24:20.000Z",4670448,2144332,7670536,39720,0,89.16,9349092
"2026-05-18T17:24:40.000Z",4649868,2266568,7661108,39512,0,88.75,9305524
"2026-05-18T17:25:00.000Z",4614928,2263324,7669740,40844,0,88.68,9298716
"2026-05-18T17:25:20.000Z",4627476,2261288,7679268,41056,0,88.81,9311596
