Time,Usage for esxilocal.hbmsolutions.mt,Usage for 0,Usage for 2,Usage for 1,Usage for 3,Usage in MHz for esxilocal.hbmsolutions.mt
2026-05-18T19:22:20.000Z,20.77,21.29,23.28,22.03,16.5,3906
2026-05-18T19:22:40.000Z,27.65,29.95,18.76,28.04,33.87,5200
2026-05-18T19:23:00.000Z,28.52,30.79,15.52,30.73,37.05,5362
2026-05-18T19:23:20.000Z,18.59,20.57,17.64,20.88,15.26,3495
2026-05-18T19:23:40.000Z,24.7,28.44,22.48,22.2,25.67,4643
2026-05-18T19:24:00.000Z,18.58,14.19,18.45,14.45,27.23,3493
2026-05-18T19:24:20.000Z,20.77,18.22,24.27,12.88,27.73,3906
2026-05-18T19:24:40.000Z,21.38,17.47,19.12,29.83,19.09,4019
2026-05-18T19:25:00.000Z,23.28,23.88,21.2,31.33,16.7,4376
2026-05-18T19:25:20.000Z,23.66,23.02,21.47,22.82,27.32,4448
2026-05-18T19:25:40.000Z,24.53,28.32,22.68,21.3,25.83,4612
2026-05-18T19:26:00.000Z,24.14,29.2,20.66,20.38,26.32,4539
2026-05-18T19:26:20.000Z,23.95,24.93,25.41,24.96,20.48,4502
2026-05-18T19:26:40.000Z,22.07,20.6,21.63,25.59,20.45,4150
2026-05-18T19:27:00.000Z,23.43,31.13,12.85,22.48,27.27,4406
2026-05-18T19:27:20.000Z,22.96,18.46,17.21,30.93,25.24,4317
2026-05-18T19:27:40.000Z,19.87,13.68,23.69,23.79,18.31,3735
2026-05-18T19:28:00.000Z,24.42,21.72,20.86,33.73,21.37,4591
2026-05-18T19:28:20.000Z,18.82,17.15,22.9,18.07,17.14,3538
2026-05-18T19:28:40.000Z,24.99,32.17,20.74,20.68,26.38,4699
2026-05-18T19:29:00.000Z,20.56,21.65,17.06,21.88,21.67,3867
2026-05-18T19:29:20.000Z,19.89,17.09,20,21.82,20.64,3739
2026-05-18T19:29:40.000Z,21.22,23.29,23.28,24.2,14.11,3990
2026-05-18T19:30:00.000Z,17.45,19.17,15.64,20.89,14.1,3280
2026-05-18T19:30:20.000Z,21.9,28.08,19.03,20.67,19.82,4117
2026-05-18T19:30:40.000Z,18.74,20.81,17.46,23.35,13.34,3523
2026-05-18T19:31:00.000Z,20.62,13.49,28.16,20.89,19.96,3877
2026-05-18T19:31:20.000Z,20.98,25.31,16.26,23.6,18.73,3944
2026-05-18T19:31:40.000Z,21.83,19.21,21.61,18.4,28.11,4105
2026-05-18T19:32:00.000Z,19.35,21.01,20.59,17.13,18.67,3638
2026-05-18T19:32:20.000Z,23.56,37.39,20.18,17.11,19.54,4429
2026-05-18T19:32:40.000Z,19.86,18.76,18.84,27.32,14.54,3734
2026-05-18T19:33:00.000Z,20.71,16.87,17.78,17.4,30.78,3894
2026-05-18T19:33:20.000Z,27.85,30.35,22.64,40.11,18.31,5237
2026-05-18T19:33:40.000Z,18.72,14.84,23.39,18.59,18.05,3520
2026-05-18T19:34:00.000Z,18.47,18.19,15.75,24.07,15.85,3472
2026-05-18T19:34:20.000Z,20.54,22.99,16.09,28.76,14.29,3861
2026-05-18T19:34:40.000Z,19.8,16.85,20.88,19.4,22.05,3722
2026-05-18T19:35:00.000Z,22.27,20.11,27.14,18.31,23.52,4188
2026-05-18T19:35:20.000Z,24.23,13.09,26.58,26.82,30.41,4555
2026-05-18T19:35:40.000Z,32.97,23.61,37.06,25.46,45.77,6199
2026-05-18T19:36:00.000Z,24.89,20.32,31.86,19.94,27.46,4680
2026-05-18T19:36:20.000Z,24.44,23.63,27.18,19.99,26.98,4596
2026-05-18T19:36:40.000Z,26.98,25.72,25.48,32.89,23.83,5072
2026-05-18T19:37:00.000Z,22.06,23.08,19.26,25.24,20.66,4147
2026-05-18T19:37:20.000Z,24.44,24.48,17.26,33.67,22.35,4595
2026-05-18T19:37:40.000Z,21.94,24.06,17.63,29.85,16.23,4126
2026-05-18T19:38:00.000Z,28.6,20.94,27.72,37.48,28.25,5377
2026-05-18T19:38:20.000Z,21.74,22.29,17.15,20.99,26.52,4087
2026-05-18T19:38:40.000Z,24.72,23.82,24.74,20.58,29.72,4647
2026-05-18T19:39:00.000Z,24.5,22.3,19.18,23.27,33.25,4607
2026-05-18T19:39:20.000Z,23.75,18.55,30.06,20.54,25.85,4466
2026-05-18T19:39:40.000Z,24.27,18.5,22.87,29.87,25.85,4564
2026-05-18T19:40:00.000Z,23.97,22.7,23.49,22.15,27.52,4506
2026-05-18T19:40:20.000Z,20.16,19.51,16.74,22.3,22.1,3791
2026-05-18T19:40:40.000Z,26.25,21.43,21.29,27.25,35.03,4935
2026-05-18T19:41:00.000Z,24.45,20.09,29.85,19.46,28.41,4597
2026-05-18T19:41:20.000Z,27.91,29.24,29.76,29.45,23.18,5247
2026-05-18T19:41:40.000Z,20.5,21.23,18.25,23.42,19.09,3854
2026-05-18T19:42:00.000Z,25.1,26.35,18.97,24.87,30.21,4719
2026-05-18T19:42:20.000Z,22.88,21.1,28.53,18.83,23.07,4302
2026-05-18T19:42:40.000Z,28.18,25.38,35.65,17.6,34.09,5298
2026-05-18T19:43:00.000Z,25.83,26.1,20.92,28.48,27.82,4857
2026-05-18T19:43:20.000Z,28.46,25.48,20.42,25.19,42.73,5350
2026-05-18T19:43:40.000Z,23.61,27.37,21.49,21.48,24.09,4439
2026-05-18T19:44:00.000Z,25.94,25.41,21.39,27.67,29.28,4877
2026-05-18T19:44:20.000Z,24.97,27.51,14.68,24.11,33.58,4694
2026-05-18T19:44:40.000Z,25.71,26.73,12.82,25.99,37.29,4833
2026-05-18T19:45:00.000Z,25.07,24.24,18.86,21.56,35.6,4713
2026-05-18T19:45:20.000Z,22.77,20.93,21.25,18.15,30.75,4281
2026-05-18T19:45:40.000Z,29.9,35.55,17.28,32.71,34.05,5621
2026-05-18T19:46:00.000Z,24.59,19.53,28.66,19.88,30.3,4624
2026-05-18T19:46:20.000Z,25.11,30.97,20.24,23.31,25.92,4721
2026-05-18T19:46:40.000Z,24.13,18.41,24.02,30.67,23.44,4538
2026-05-18T19:47:00.000Z,24.1,21.93,23.2,20.65,30.6,4531
2026-05-18T19:47:20.000Z,27.72,26.51,22.93,32.85,28.6,5212
2026-05-18T19:47:40.000Z,24.48,32.81,23.16,19.48,22.46,4602
2026-05-18T19:48:00.000Z,25.01,31.29,27.76,16.57,24.41,4701
2026-05-18T19:48:20.000Z,24.28,22.53,20.41,30.78,23.39,4565
2026-05-18T19:48:40.000Z,24.93,17.75,24.31,26.69,30.97,4687
2026-05-18T19:49:00.000Z,23.87,32.27,20.83,23.23,19.14,4488
2026-05-18T19:49:20.000Z,23.08,26.54,20.78,23.96,21.06,4340
2026-05-18T19:49:40.000Z,27.18,24.58,20.36,24.7,39.1,5111
2026-05-18T19:50:00.000Z,26.9,30.24,17.24,31.24,28.87,5057
2026-05-18T19:50:20.000Z,24.15,18.3,25.76,24.46,28.1,4541
2026-05-18T19:50:40.000Z,21.76,20.19,23.45,14.65,28.74,4091
2026-05-18T19:51:00.000Z,22.21,20.45,16.31,19.67,32.42,4176
2026-05-18T19:51:20.000Z,23.08,32.26,20.36,19.42,20.29,4340
2026-05-18T19:51:40.000Z,18.26,18.39,17.95,16.21,20.51,3434
2026-05-18T19:52:00.000Z,20.62,19.46,18.44,17.75,26.85,3878
2026-05-18T19:52:20.000Z,19.46,20.06,18.33,24.25,15.21,3659
2026-05-18T19:52:40.000Z,19.78,19.2,16.81,18.81,24.32,3720
2026-05-18T19:53:00.000Z,23.92,16.08,23.71,25.78,30.08,4497
2026-05-18T19:53:20.000Z,19.44,13.66,31.49,14.22,18.4,3656
2026-05-18T19:53:40.000Z,24.91,7.3,35.06,20.98,36.3,4683
2026-05-18T19:54:00.000Z,23.08,10.27,27.77,23.43,30.82,4339
