"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-16T14:02:00.000Z",2.13,0.36,0.92,0.27,0.91,173
"2026-05-16T14:02:20.000Z",2.03,0.43,0.99,0.33,1.19,187
"2026-05-16T14:02:40.000Z",2.79,0.29,0.96,0.28,0.49,182
"2026-05-16T14:03:00.000Z",0.9,0.41,0.94,0.22,2.24,177
"2026-05-16T14:03:20.000Z",1.44,0.46,1.17,0.34,2.46,221
"2026-05-16T14:03:40.000Z",3.55,0.34,1.12,0.25,0.34,211
"2026-05-16T14:04:00.000Z",2.83,0.32,0.93,0.22,0.34,175
"2026-05-16T14:04:20.000Z",2.3,0.33,1.03,0.36,1.12,194
"2026-05-16T14:04:40.000Z",1.68,0.27,1.02,0.27,1.84,192
"2026-05-16T14:05:00.000Z",3.18,0.24,1.27,0.4,1.24,238
"2026-05-16T14:05:20.000Z",0.68,0.54,1.29,0.53,3.42,243
"2026-05-16T14:05:40.000Z",2.16,0.37,0.91,0.36,0.76,172
"2026-05-16T14:06:00.000Z",2.68,0.37,0.96,0.41,0.38,181
"2026-05-16T14:06:20.000Z",2.3,0.83,1.28,0.48,1.51,241
"2026-05-16T14:06:40.000Z",2.86,0.27,0.97,0.43,0.31,182
"2026-05-16T14:07:00.000Z",3.06,0.43,1.06,0.33,0.41,199
"2026-05-16T14:07:20.000Z",1.96,0.37,0.99,0.31,1.3,186
"2026-05-16T14:07:40.000Z",0.87,0.35,0.93,0.22,2.28,175
"2026-05-16T14:08:00.000Z",1.3,0.2,1,0.32,2.19,189
"2026-05-16T14:08:20.000Z",1.25,0.33,1.14,0.41,2.59,215
"2026-05-16T14:08:40.000Z",0.27,0.23,0.9,0.29,2.82,171
"2026-05-16T14:09:00.000Z",0.56,0.25,0.96,0.26,2.77,181
"2026-05-16T14:09:20.000Z",2.31,0.36,1.03,0.31,1.14,194
"2026-05-16T14:09:40.000Z",1.72,0.31,0.88,0.21,1.29,166
"2026-05-16T14:10:00.000Z",1.19,0.31,0.96,0.3,2.05,182
"2026-05-16T14:10:20.000Z",1.52,0.42,1.2,0.72,2.15,226
"2026-05-16T14:10:40.000Z",2.33,0.2,0.96,0.22,1.11,182
"2026-05-16T14:11:00.000Z",2.25,0.25,1,0.32,1.19,189
"2026-05-16T14:11:20.000Z",3.23,0.38,1.4,0.34,1.63,263
"2026-05-16T14:11:40.000Z",2.27,0.17,0.94,0.23,1.07,176
"2026-05-16T14:12:00.000Z",0.33,0.3,0.96,0.36,2.86,181
"2026-05-16T14:12:20.000Z",1.18,0.51,1.02,0.35,2.05,193
"2026-05-16T14:12:40.000Z",2.37,0.4,0.87,0.2,0.53,164
"2026-05-16T14:13:00.000Z",2.79,0.39,0.94,0.2,0.36,176
"2026-05-16T14:13:20.000Z",1.15,0.48,0.94,0.31,1.82,177
"2026-05-16T14:13:40.000Z",2.74,0.39,0.95,0.34,0.31,178
"2026-05-16T14:14:00.000Z",2.72,0.29,0.88,0.26,0.27,167
"2026-05-16T14:14:20.000Z",2.48,0.6,1.4,1.43,1.08,263
"2026-05-16T14:14:40.000Z",2.66,0.35,0.84,0.23,0.11,158
"2026-05-16T14:15:00.000Z",1.13,0.38,0.85,0.16,1.72,160
"2026-05-16T14:15:20.000Z",0.72,0.51,1.26,0.69,3.12,237
"2026-05-16T14:15:40.000Z",0.51,0.25,0.92,0.23,2.7,174
"2026-05-16T14:16:00.000Z",2.67,0.32,0.89,0.24,0.34,168
"2026-05-16T14:16:20.000Z",2.51,0.41,1.18,0.45,1.36,223
