"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-16T14:00:00.000Z",18.8,24.49,13.78,23.7,13.22,3534
"2026-05-16T14:00:20.000Z",18.78,20.54,16.44,21.83,16.3,3531
"2026-05-16T14:00:40.000Z",12.75,19.2,6.25,16.95,8.6,2398
"2026-05-16T14:01:00.000Z",18.48,23.02,19.48,18.35,13.07,3474
"2026-05-16T14:01:20.000Z",23.15,27.49,18.69,26.25,20.18,4353
"2026-05-16T14:01:40.000Z",15.2,22.43,13,20.15,5.23,2858
"2026-05-16T14:02:00.000Z",16.42,18.19,20.48,20.47,6.54,3087
"2026-05-16T14:02:20.000Z",14.6,16.08,12.62,18.52,11.17,2745
"2026-05-16T14:02:40.000Z",18.49,20.73,17.31,18.05,17.87,3477
"2026-05-16T14:03:00.000Z",22.07,23.01,32.92,24.98,7.37,4149
"2026-05-16T14:03:20.000Z",13.72,18.04,6.41,20.79,9.66,2581
"2026-05-16T14:03:40.000Z",14.71,18.22,7.46,15.43,17.71,2765
"2026-05-16T14:04:00.000Z",30.18,37.93,14.26,36.08,32.47,5675
"2026-05-16T14:04:20.000Z",53.69,36.16,73.55,45.62,59.44,10094
"2026-05-16T14:04:40.000Z",46.6,56.71,31.22,54.99,43.48,8761
"2026-05-16T14:05:00.000Z",40.09,48.52,42.45,35.56,33.82,7537
"2026-05-16T14:05:20.000Z",39.88,39.12,40.32,45.4,34.66,7497
"2026-05-16T14:05:40.000Z",18.39,17.49,15.3,17.08,23.7,3458
"2026-05-16T14:06:00.000Z",18.14,17.4,14.87,20.2,20.09,3411
"2026-05-16T14:06:20.000Z",32.3,34.62,23.24,36.95,34.38,6072
"2026-05-16T14:06:40.000Z",33.67,35.11,46.64,31.84,21.07,6329
"2026-05-16T14:07:00.000Z",32.1,42.83,27.57,31.51,26.48,6034
"2026-05-16T14:07:20.000Z",20.28,16.04,18.26,28.17,18.67,3814
"2026-05-16T14:07:40.000Z",23.17,24.39,18.67,23.38,26.23,4356
"2026-05-16T14:08:00.000Z",18.25,19.07,24.78,22.15,6.99,3431
"2026-05-16T14:08:20.000Z",19.24,17.47,29.53,17.69,12.26,3617
"2026-05-16T14:08:40.000Z",17.54,14.41,28.35,16.09,11.33,3299
"2026-05-16T14:09:00.000Z",20.65,18.38,20.48,24.17,19.55,3882
"2026-05-16T14:09:20.000Z",17.91,17.3,16.45,20.88,17.01,3367
"2026-05-16T14:09:40.000Z",22.38,36.64,18.32,14.96,19.61,4209
"2026-05-16T14:10:00.000Z",19.98,21.19,20.45,23.41,14.85,3756
"2026-05-16T14:10:20.000Z",17.92,21.25,14.46,22.91,13.06,3369
"2026-05-16T14:10:40.000Z",22.75,19.29,31.62,17.57,22.5,4277
"2026-05-16T14:11:00.000Z",19.69,19.28,21.05,22.14,16.31,3703
"2026-05-16T14:11:20.000Z",22.17,18.42,37.2,19.48,13.55,4168
"2026-05-16T14:11:40.000Z",19.86,21.64,14.73,20.82,22.26,3735
"2026-05-16T14:12:00.000Z",21.08,17.43,18.58,18.99,29.32,3963
"2026-05-16T14:12:20.000Z",18.29,21.54,10.58,22.84,18.22,3440
"2026-05-16T14:12:40.000Z",31.84,32.96,30.41,35.66,28.33,5986
"2026-05-16T14:13:00.000Z",23.81,11.52,27.12,15.25,41.33,4476
"2026-05-16T14:13:20.000Z",19.53,17.58,17.02,30.25,13.29,3673
"2026-05-16T14:13:40.000Z",24.88,32.54,19.52,26.45,21.01,4678
"2026-05-16T14:14:00.000Z",18.3,21.5,19.63,22.68,9.37,3440
"2026-05-16T14:14:20.000Z",19.94,18.03,26.49,18.85,16.38,3749
"2026-05-16T14:14:40.000Z",14.83,21.41,6.11,24.42,7.39,2789
"2026-05-16T14:15:00.000Z",15.37,21.32,12.53,19.98,7.65,2890
"2026-05-16T14:15:20.000Z",19.5,23.89,21.93,25.42,6.77,3667
"2026-05-16T14:15:40.000Z",21.42,24.79,23.42,26.42,11.06,4027
"2026-05-16T14:16:00.000Z",16.71,20.69,4.68,17.46,24.02,3142
"2026-05-16T14:16:20.000Z",29.26,24.57,36.45,35.67,20.34,5501
"2026-05-16T14:16:40.000Z",28.84,17.2,40.03,22.26,35.88,5423
"2026-05-16T14:17:00.000Z",41.44,51.88,32.61,54.36,26.93,7792
"2026-05-16T14:17:20.000Z",22.33,28.96,15.67,27.77,16.92,4198
"2026-05-16T14:17:40.000Z",15.19,24.46,6.6,21.91,7.8,2857
"2026-05-16T14:18:00.000Z",12.46,19.34,6.46,18.8,5.25,2344
"2026-05-16T14:18:20.000Z",11.84,18.18,6.21,17.63,5.36,2227
"2026-05-16T14:18:40.000Z",17.27,23.97,12.01,23.78,9.3,3246
"2026-05-16T14:19:00.000Z",13.2,20.41,5.29,21.35,5.77,2483
"2026-05-16T14:19:20.000Z",12.84,16.91,6.43,22.56,5.46,2415
"2026-05-16T14:19:40.000Z",13.21,18.07,6.81,22.11,5.84,2483
"2026-05-16T14:20:00.000Z",17.68,23.32,15.47,21.51,10.43,3325
"2026-05-16T14:20:20.000Z",14.49,20.7,7.05,24.41,5.81,2725
"2026-05-16T14:20:40.000Z",18.53,28.84,8,29.64,7.62,3483
"2026-05-16T14:21:00.000Z",23.36,17.66,27.89,25.44,22.44,4391
"2026-05-16T14:21:20.000Z",27.18,15.01,31.18,31.63,30.88,5110
"2026-05-16T14:21:40.000Z",20.91,20.15,29.77,7.59,26.11,3931
"2026-05-16T14:22:00.000Z",18.06,24.16,20.74,9.03,18.31,3395
"2026-05-16T14:22:20.000Z",17.66,19.82,24.26,8.84,17.7,3320
"2026-05-16T14:22:40.000Z",22.55,24.24,20.94,19.7,25.35,4241
"2026-05-16T14:23:00.000Z",20.47,5.88,31.77,12.06,32.16,3849
"2026-05-16T14:23:20.000Z",32.88,31.63,32.17,33.22,34.49,6182
"2026-05-16T14:23:40.000Z",35.7,35.12,51.18,9.83,46.66,6712
"2026-05-16T14:24:00.000Z",29.66,22.92,43.77,8.61,43.36,5577
"2026-05-16T14:24:20.000Z",45.53,54.51,42.34,38.84,46.42,8560
"2026-05-16T14:24:40.000Z",27.36,32.72,11.39,37.91,27.4,5143
"2026-05-16T14:25:00.000Z",25.45,30.38,7.18,27.75,36.49,4785
"2026-05-16T14:25:20.000Z",22.26,28.54,10.99,27.92,21.58,4185
"2026-05-16T14:25:40.000Z",26.62,36.85,14.93,36.46,18.25,5006
"2026-05-16T14:26:00.000Z",31.21,27.89,37.83,23.31,35.81,5868
"2026-05-16T14:26:20.000Z",26.83,28.28,29.44,22.22,27.4,5045
"2026-05-16T14:26:40.000Z",28.6,17.46,33.2,32.28,31.48,5378
"2026-05-16T14:27:00.000Z",27.1,22.58,26.37,21.48,37.96,5095
"2026-05-16T14:27:20.000Z",25.62,12.18,34.98,23.6,31.73,4817
"2026-05-16T14:27:40.000Z",25.22,11.67,34.37,23.81,31.02,4741
"2026-05-16T14:28:00.000Z",22.36,31.33,16.71,20.78,20.59,4203
"2026-05-16T14:28:20.000Z",23.08,24.36,19,26.79,22.16,4339
"2026-05-16T14:28:40.000Z",25.64,33.71,24.83,18.68,25.36,4822
"2026-05-16T14:29:00.000Z",24.86,21.24,27.12,23.5,27.57,4674
"2026-05-16T14:29:20.000Z",27.09,25.44,30.93,21.24,30.77,5094
"2026-05-16T14:29:40.000Z",24.2,27.84,24.5,24.83,19.64,4550
"2026-05-16T14:30:00.000Z",24.48,24.11,28.9,20.04,24.88,4603
"2026-05-16T14:30:20.000Z",23.99,23.13,25.42,22.96,24.47,4511
"2026-05-16T14:30:40.000Z",23.48,24.35,18.62,31.24,19.72,4415
"2026-05-16T14:31:00.000Z",22.32,14.68,26.18,15.23,33.21,4197
"2026-05-16T14:31:20.000Z",25.27,26.14,27.66,21.56,25.75,4752
"2026-05-16T14:31:40.000Z",23.56,25.51,19.51,24.35,24.86,4429
"2026-05-16T14:32:00.000Z",23.47,28.91,21.73,24.41,18.82,4413
"2026-05-16T14:32:20.000Z",25.89,24.92,22.29,38.29,18.05,4867
"2026-05-16T14:32:40.000Z",24.54,27.37,20.99,23.98,25.83,4614
"2026-05-16T14:33:00.000Z",26.45,23.12,26.74,30.39,25.54,4973
"2026-05-16T14:33:20.000Z",23.21,23.69,20.01,27.65,21.48,4363
"2026-05-16T14:33:40.000Z",21.75,20.07,16.21,33,17.72,4089
"2026-05-16T14:34:00.000Z",27.71,28.76,18.1,30.22,33.75,5209
"2026-05-16T14:34:20.000Z",26.87,29.81,23.08,33.25,21.33,5052
"2026-05-16T14:34:40.000Z",30.63,33.43,28.36,31.75,28.99,5759
"2026-05-16T14:35:00.000Z",25.76,21.44,31.99,20.35,29.25,4843
"2026-05-16T14:35:20.000Z",25.56,30.55,21.28,20.73,29.68,4806
"2026-05-16T14:35:40.000Z",23.49,24.05,25.54,17.26,27.1,4416
"2026-05-16T14:36:00.000Z",20.71,19.52,22.91,15.55,24.87,3894
"2026-05-16T14:36:20.000Z",26.37,27.39,17.36,37.47,23.27,4959
"2026-05-16T14:36:40.000Z",27.77,32.75,21.66,41.4,15.26,5221
"2026-05-16T14:37:00.000Z",24.01,33.29,11.4,35.64,15.71,4514
"2026-05-16T14:37:20.000Z",25.38,25.36,28.69,22.51,24.98,4773
"2026-05-16T14:37:40.000Z",26.48,26.08,25.52,34.65,19.67,4978
"2026-05-16T14:38:00.000Z",25.34,23.87,26.77,26.19,24.51,4764
"2026-05-16T14:38:20.000Z",26.02,28.98,25.69,24.49,24.9,4891
"2026-05-16T14:38:40.000Z",26.2,21.66,26.35,28.88,27.92,4926
"2026-05-16T14:39:00.000Z",22.72,20.29,24.65,22.64,23.3,4271
"2026-05-16T14:39:20.000Z",25.98,37.9,11.18,34.27,20.54,4884
"2026-05-16T14:39:40.000Z",20.39,28.69,10.14,31.48,11.24,3834
"2026-05-16T14:40:00.000Z",21.27,25.61,11.35,26.33,21.79,3999
"2026-05-16T14:40:20.000Z",21.84,28.9,16.35,25.41,16.69,4107
"2026-05-16T14:40:40.000Z",19.65,25.18,19.96,15.56,17.89,3694
"2026-05-16T14:41:00.000Z",18.33,20.49,14.05,16.74,22.04,3446
"2026-05-16T14:41:20.000Z",21.04,27.67,16.23,30.26,10,3955
"2026-05-16T14:41:40.000Z",23.39,25.74,8.84,24.63,34.36,4398
"2026-05-16T14:42:00.000Z",18.04,19.15,18.26,19.64,15.09,3391
"2026-05-16T14:42:20.000Z",24.68,32.64,27.32,30.19,8.55,4639
"2026-05-16T14:42:40.000Z",27.91,37.6,14.4,39.17,20.46,5247
"2026-05-16T14:43:00.000Z",39.95,63.09,28.44,61.27,7.01,7511
"2026-05-16T14:43:20.000Z",33.73,47.29,23.38,45.62,18.62,6341
"2026-05-16T14:43:40.000Z",31.21,44.11,30.46,42.95,7.31,5868
"2026-05-16T14:44:00.000Z",26.33,36.81,11.53,46.39,10.57,4950
"2026-05-16T14:44:20.000Z",26.49,36.12,24.59,34.92,10.34,4981
"2026-05-16T14:44:40.000Z",28.77,36.46,24.29,40.47,13.86,5409
"2026-05-16T14:45:00.000Z",31.36,43.51,13.87,44.81,23.26,5897
"2026-05-16T14:45:20.000Z",25.81,41.57,8.84,40.44,12.38,4852
"2026-05-16T14:45:40.000Z",36.7,55.58,26.17,38.75,26.3,6900
"2026-05-16T14:46:00.000Z",35.29,19.35,56.38,9.55,55.88,6635
"2026-05-16T14:46:20.000Z",33.4,9.87,54.97,15.88,52.89,6280
"2026-05-16T14:46:40.000Z",39.99,16.18,66.07,16.66,61.04,7518
"2026-05-16T14:47:00.000Z",42.77,28.21,55.62,23.33,63.94,8042
"2026-05-16T14:47:20.000Z",40.06,30.58,51.3,33.43,44.92,7531
"2026-05-16T14:47:40.000Z",21.5,6.37,30.07,22.24,27.31,4042
"2026-05-16T14:48:00.000Z",24.78,10.7,38.87,11.46,38.11,4660
"2026-05-16T14:48:20.000Z",33.28,24.67,40.99,32.28,35.19,6258
"2026-05-16T14:48:40.000Z",33.54,42.34,30.17,41.95,19.71,6306
"2026-05-16T14:49:00.000Z",24.91,34.69,14.88,40.87,9.2,4684
"2026-05-16T14:49:20.000Z",30.64,39.41,9.43,38.05,35.66,5760
"2026-05-16T14:49:40.000Z",21.8,24.71,29.05,25.52,7.92,4099
"2026-05-16T14:50:00.000Z",28.19,40.45,5.78,43.81,22.7,5299
"2026-05-16T14:50:20.000Z",43.88,77.63,10.56,74.96,12.36,8249
"2026-05-16T14:50:40.000Z",27.95,33.23,26.16,42.35,10.06,5255
"2026-05-16T14:51:00.000Z",26.82,33.98,9.17,30,34.14,5043
"2026-05-16T14:51:20.000Z",22.3,19.09,17.88,30.16,22.08,4193
"2026-05-16T14:51:40.000Z",22.72,10.27,39.61,8.78,32.21,4272
"2026-05-16T14:52:00.000Z",18.94,9.83,28.66,8.69,28.59,3561
"2026-05-16T14:52:20.000Z",25.3,14.2,28.69,28.36,29.96,4758
"2026-05-16T14:52:40.000Z",20.5,5.32,27.89,23.81,24.97,3854
"2026-05-16T14:53:00.000Z",18.3,8.96,31.55,5.57,27.11,3440
"2026-05-16T14:53:20.000Z",25,8.85,42.69,10.25,38.23,4701
"2026-05-16T14:53:40.000Z",33.51,6.07,51.95,25.26,50.78,6301
"2026-05-16T14:54:00.000Z",42.47,24.24,54.78,36.64,54.21,7984
"2026-05-16T14:54:20.000Z",57.5,56.45,61.77,55.11,56.68,10811
"2026-05-16T14:54:40.000Z",42.21,47.93,43.38,44.66,32.87,7936
"2026-05-16T14:55:00.000Z",22.92,28.46,10.88,29.4,22.93,4309
"2026-05-16T14:55:20.000Z",28.14,39.27,19.84,41.24,12.22,5291
"2026-05-16T14:55:40.000Z",29.35,33.95,28.89,35.19,19.37,5518
"2026-05-16T14:56:00.000Z",26.05,30.73,16.13,30.94,26.41,4898
"2026-05-16T14:56:20.000Z",26.15,34.92,19.26,34.67,15.76,4917
"2026-05-16T14:56:40.000Z",36.67,40.89,33.09,40.8,31.92,6895
"2026-05-16T14:57:00.000Z",39.9,28.89,47.59,31.61,51.51,7502
"2026-05-16T14:57:20.000Z",35.61,14.3,54.32,16.75,57.09,6696
"2026-05-16T14:57:40.000Z",27.77,25.08,38.75,23.04,24.21,5220
"2026-05-16T14:58:00.000Z",21.2,20.05,20.82,18.66,25.26,3986
"2026-05-16T14:58:20.000Z",37.47,22.12,49.31,29.01,49.43,7044
"2026-05-16T14:58:40.000Z",38.24,22.12,52.01,27,51.83,7190
"2026-05-16T14:59:00.000Z",23.71,18.69,23.2,26.73,26.23,4458
"2026-05-16T14:59:20.000Z",21.03,23.22,19.38,23.49,18.02,3954
"2026-05-16T14:59:40.000Z",22.45,24.02,27.81,23.93,14.06,4222
