"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-16T14:02:20.000Z",184432,0,448404,8,0,18.69,1959820
"2026-05-16T14:02:40.000Z",148288,0,448404,8,0,18.67,1958044
"2026-05-16T14:03:00.000Z",124240,0,448404,8,0,18.6,1951168
"2026-05-16T14:03:20.000Z",120180,0,448424,8,0,18.62,1952584
"2026-05-16T14:03:40.000Z",113856,0,448432,8,0,18.62,1953236
"2026-05-16T14:04:00.000Z",110260,0,448452,8,0,18.62,1953276
"2026-05-16T14:04:20.000Z",110988,0,448492,8,0,18.63,1953392
"2026-05-16T14:04:40.000Z",111412,0,448500,8,0,18.63,1953400
"2026-05-16T14:05:00.000Z",112740,0,448524,8,0,18.68,1959416
"2026-05-16T14:05:20.000Z",110064,0,448536,8,0,18.6,1951064
"2026-05-16T14:05:40.000Z",109752,0,448560,8,0,18.61,1952036
"2026-05-16T14:06:00.000Z",107696,0,448576,8,0,18.6,1950324
"2026-05-16T14:06:20.000Z",108680,0,448596,8,0,18.6,1951032
"2026-05-16T14:06:40.000Z",108992,0,448604,8,0,18.61,1951268
"2026-05-16T14:07:00.000Z",109524,0,448604,8,0,18.6,1950288
"2026-05-16T14:07:20.000Z",109280,0,448676,8,0,18.59,1950060
"2026-05-16T14:07:40.000Z",111964,0,448676,8,0,18.6,1950720
"2026-05-16T14:08:00.000Z",102996,0,448676,8,0,18.61,1951636
"2026-05-16T14:08:20.000Z",103836,0,448676,8,0,18.61,1951712
"2026-05-16T14:08:40.000Z",103828,0,448676,8,0,18.61,1951552
"2026-05-16T14:09:00.000Z",109796,0,448676,8,0,18.61,1951564
"2026-05-16T14:09:20.000Z",109848,0,448684,8,0,18.61,1951660
"2026-05-16T14:09:40.000Z",110008,0,448684,8,0,18.61,1951948
"2026-05-16T14:10:00.000Z",108048,0,449200,8,0,18.64,1954640
"2026-05-16T14:10:20.000Z",108048,0,449072,8,0,18.64,1955196
"2026-05-16T14:10:40.000Z",107320,0,449072,8,0,18.61,1952180
"2026-05-16T14:11:00.000Z",114772,0,449072,8,0,18.62,1952444
"2026-05-16T14:11:20.000Z",114512,0,449008,8,0,18.68,1958700
"2026-05-16T14:11:40.000Z",112372,0,449008,8,0,18.65,1955556
"2026-05-16T14:12:00.000Z",108268,0,449008,8,0,18.62,1953036
"2026-05-16T14:12:20.000Z",111872,0,449008,8,0,18.64,1954700
"2026-05-16T14:12:40.000Z",111916,0,449008,8,0,18.64,1954744
"2026-05-16T14:13:00.000Z",106104,0,449008,8,0,18.63,1953684
"2026-05-16T14:13:20.000Z",109232,0,449008,8,0,18.63,1954204
"2026-05-16T14:13:40.000Z",109372,0,449008,8,0,18.65,1956040
"2026-05-16T14:14:00.000Z",106188,0,449012,8,0,18.63,1953332
"2026-05-16T14:14:20.000Z",90476,0,365424,8,0,17.8,1866840
