"Time","Usage for esxidr.hbmsolutions.mt"
"2026-05-16T15:20:40.000Z",0.94
"2026-05-16T15:21:00.000Z",0.89
"2026-05-16T15:21:20.000Z",1.16
"2026-05-16T15:21:40.000Z",0.88
"2026-05-16T15:22:00.000Z",0.88
"2026-05-16T15:22:20.000Z",0.95
"2026-05-16T15:22:40.000Z",0.86
"2026-05-16T15:23:00.000Z",1.07
"2026-05-16T15:23:20.000Z",0.95
"2026-05-16T15:23:40.000Z",1.17
"2026-05-16T15:24:00.000Z",0.87
"2026-05-16T15:24:20.000Z",0.97
"2026-05-16T15:24:40.000Z",0.89
"2026-05-16T15:25:00.000Z",0.88
"2026-05-16T15:25:20.000Z",1.18
"2026-05-16T15:25:40.000Z",1.09
"2026-05-16T15:26:00.000Z",37.55
"2026-05-16T15:26:20.000Z",16.84
"2026-05-16T15:26:40.000Z",4.29
"2026-05-16T15:27:00.000Z",6.01
"2026-05-16T15:27:20.000Z",5.42
"2026-05-16T15:27:40.000Z",2.25
"2026-05-16T15:28:00.000Z",5.51
"2026-05-16T15:28:20.000Z",10.72
"2026-05-16T15:28:40.000Z",2.15
"2026-05-16T15:29:00.000Z",2.74
"2026-05-16T15:29:20.000Z",3.06
"2026-05-16T15:29:40.000Z",2.05
"2026-05-16T15:30:00.000Z",3.52
"2026-05-16T15:30:20.000Z",4.03
"2026-05-16T15:30:40.000Z",2.06
"2026-05-16T15:31:00.000Z",3.28
"2026-05-16T15:31:20.000Z",2.81
"2026-05-16T15:31:40.000Z",1.8
"2026-05-16T15:32:00.000Z",1.94
"2026-05-16T15:32:20.000Z",1.95
"2026-05-16T15:32:40.000Z",1.89
"2026-05-16T15:33:00.000Z",1.75
"2026-05-16T15:33:20.000Z",1.91
"2026-05-16T15:33:40.000Z",1.74
"2026-05-16T15:34:00.000Z",2.03
"2026-05-16T15:34:20.000Z",3.1
"2026-05-16T15:34:40.000Z",4.5
"2026-05-16T15:35:00.000Z",1.75
"2026-05-16T15:35:20.000Z",1.16
"2026-05-16T15:35:40.000Z",1.67
"2026-05-16T15:36:00.000Z",0.93
"2026-05-16T15:36:20.000Z",1.2
"2026-05-16T15:36:40.000Z",0.84
"2026-05-16T15:37:00.000Z",0.95
"2026-05-16T15:37:20.000Z",1.03
"2026-05-16T15:37:40.000Z",0.9
"2026-05-16T15:38:00.000Z",0.89
"2026-05-16T15:38:20.000Z",0.91
"2026-05-16T15:38:40.000Z",0.85
"2026-05-16T15:39:00.000Z",0.92
"2026-05-16T15:39:20.000Z",1.03
"2026-05-16T15:39:40.000Z",0.94
"2026-05-16T15:40:00.000Z",2.88
"2026-05-16T15:40:20.000Z",2.66
"2026-05-16T15:40:40.000Z",0.84
"2026-05-16T15:41:00.000Z",1.29
