"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-16T16:28:00.000Z",89544,0,366484,8,0,17.84,1870580
"2026-05-16T16:28:20.000Z",93776,0,366484,8,0,17.84,1870592
"2026-05-16T16:28:40.000Z",93776,0,366484,8,0,17.84,1870592
"2026-05-16T16:29:00.000Z",93776,0,366484,8,0,17.84,1870592
"2026-05-16T16:29:20.000Z",94684,0,366484,8,0,17.84,1870732
"2026-05-16T16:29:40.000Z",94684,0,366484,8,0,17.84,1870732
"2026-05-16T16:30:00.000Z",94684,0,366484,8,0,17.84,1870736
"2026-05-16T16:30:20.000Z",92860,0,366484,8,0,17.83,1870232
"2026-05-16T16:30:40.000Z",92860,0,366484,8,0,17.83,1870272
"2026-05-16T16:31:00.000Z",92860,0,366484,8,0,17.83,1870272
"2026-05-16T16:31:20.000Z",91388,0,366484,8,0,17.83,1869540
"2026-05-16T16:31:40.000Z",91388,0,366484,8,0,17.83,1869548
"2026-05-16T16:32:00.000Z",90564,0,366484,8,0,17.82,1868552
"2026-05-16T16:32:20.000Z",90676,0,366484,8,0,17.79,1866236
"2026-05-16T16:32:40.000Z",88072,0,366484,8,0,17.79,1866252
"2026-05-16T16:33:00.000Z",88384,0,366484,8,0,17.82,1868684
"2026-05-16T16:33:20.000Z",88532,0,366484,8,0,17.82,1868804
"2026-05-16T16:33:40.000Z",94092,0,366484,8,0,17.82,1868804
"2026-05-16T16:34:00.000Z",94648,0,366484,8,0,17.82,1869404
"2026-05-16T16:34:20.000Z",94648,0,366484,8,0,17.82,1869412
"2026-05-16T16:34:40.000Z",93864,0,366516,8,0,17.91,1878020
"2026-05-16T16:35:00.000Z",3060572,0,2854412,8,0,42.32,4437864
"2026-05-16T16:35:20.000Z",3061396,0,2862604,8,0,42.26,4431152
"2026-05-16T16:35:40.000Z",3069144,0,2862604,8,0,42.26,4430900
"2026-05-16T16:36:00.000Z",3086876,0,2868748,8,0,42.44,4450124
"2026-05-16T16:36:20.000Z",3082724,0,2913804,8,0,42.62,4469056
"2026-05-16T16:36:40.000Z",3085576,0,2913804,8,0,42.62,4469212
"2026-05-16T16:37:00.000Z",2500044,0,3057068,8,0,44.17,4631712
"2026-05-16T16:37:20.000Z",2500952,0,3057068,8,0,44.01,4614408
"2026-05-16T16:37:40.000Z",2492076,0,3057068,8,0,44.01,4614404
"2026-05-16T16:38:00.000Z",2491360,0,3059144,8,0,44.04,4617664
"2026-05-16T16:38:20.000Z",2491360,0,3059144,8,0,44.04,4617680
"2026-05-16T16:38:40.000Z",2494032,0,3059144,8,0,44.04,4617664
"2026-05-16T16:39:00.000Z",3060264,0,3093968,8,0,44.38,4653208
"2026-05-16T16:39:20.000Z",3060264,0,3096016,8,0,44.39,4654984
"2026-05-16T16:39:40.000Z",3055620,0,3096020,8,0,44.4,4655324
"2026-05-16T16:40:00.000Z",2500004,0,3106260,8,0,44.61,4677632
"2026-05-16T16:40:20.000Z",2500024,0,3106264,8,0,44.5,4666692
"2026-05-16T16:40:40.000Z",2499272,0,3106264,8,0,44.51,4667004
"2026-05-16T16:41:00.000Z",2279356,0,3106264,8,0,44.51,4667204
"2026-05-16T16:41:20.000Z",2279252,0,3106264,8,0,44.5,4666132
"2026-05-16T16:41:40.000Z",2284504,0,3106264,8,0,44.5,4666144
