"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-16T16:26:20.000Z",4346584,2406388,8208520,32100,0,91.73,9618480
"2026-05-16T16:26:40.000Z",4345680,2405492,8210184,32528,0,91.72,9616728
"2026-05-16T16:27:00.000Z",4261932,2404556,8212280,32572,0,91.74,9619716
"2026-05-16T16:27:20.000Z",4188360,2404196,8214492,33524,0,91.73,9617688
"2026-05-16T16:27:40.000Z",4270668,2403972,8215376,34116,0,91.67,9612256
"2026-05-16T16:28:00.000Z",4271284,2403152,8217288,34836,0,91.67,9612040
"2026-05-16T16:28:20.000Z",4021812,2402644,8218452,34800,0,91.69,9613976
"2026-05-16T16:28:40.000Z",4021500,2402248,8219376,35556,0,91.65,9609352
"2026-05-16T16:29:00.000Z",3979564,2396116,8226416,35944,0,91.74,9619148
"2026-05-16T16:29:20.000Z",3798508,2389016,8239508,35340,0,91.92,9637564
"2026-05-16T16:29:40.000Z",3798516,2388620,8240728,35744,0,91.91,9637200
"2026-05-16T16:30:00.000Z",3798516,2388272,8241428,36152,0,91.88,9634196
"2026-05-16T16:30:20.000Z",3778304,2384904,8248832,35260,0,92.15,9662324
"2026-05-16T16:30:40.000Z",3776780,2380912,8252836,29364,0,92.16,9663188
"2026-05-16T16:31:00.000Z",3839832,2379920,8256224,29744,0,92.14,9661460
"2026-05-16T16:31:20.000Z",3745036,2379512,8259512,30000,0,92.18,9664840
"2026-05-16T16:31:40.000Z",3744492,2378232,8262136,30624,0,92.19,9666680
"2026-05-16T16:32:00.000Z",3641704,2377556,8266312,31120,0,92.18,9664848
"2026-05-16T16:32:20.000Z",3561312,2376828,8267912,31048,0,92.2,9667532
"2026-05-16T16:32:40.000Z",3560620,2376284,8269916,31272,0,92.18,9665788
"2026-05-16T16:33:00.000Z",3560296,2375700,8271168,31752,0,92.18,9665328
"2026-05-16T16:33:20.000Z",4094564,2374932,8272408,32004,0,92.19,9666636
"2026-05-16T16:33:40.000Z",4114076,2368992,8281728,28824,0,92.4,9688792
"2026-05-16T16:34:00.000Z",4177048,2334804,8398108,26792,0,93.55,9808812
"2026-05-16T16:34:20.000Z",4800012,2450484,8444332,25732,0,93.41,9794648
"2026-05-16T16:34:40.000Z",5492048,2460788,8411800,25256,0,93.21,9773368
"2026-05-16T16:35:00.000Z",5471292,2459428,8419440,24916,0,93.25,9778040
"2026-05-16T16:35:20.000Z",5530620,2457776,8425736,24680,0,93.34,9786828
"2026-05-16T16:35:40.000Z",6096356,2452896,8436516,24900,0,93.47,9800900
"2026-05-16T16:36:00.000Z",6125416,2481720,8358840,23456,0,92.74,9724408
"2026-05-16T16:36:20.000Z",6176372,2480504,8372272,23240,0,92.81,9731348
"2026-05-16T16:36:40.000Z",6154492,2478616,8379648,23224,0,92.88,9738832
"2026-05-16T16:37:00.000Z",6259820,2476100,8389380,23800,0,92.88,9738840
"2026-05-16T16:37:20.000Z",6231136,2481792,8375056,24088,0,92.98,9749712
"2026-05-16T16:37:40.000Z",6156696,2481640,8377580,24412,0,92.87,9738008
"2026-05-16T16:38:00.000Z",6196380,2480460,8382292,25208,0,92.83,9733612
"2026-05-16T16:38:20.000Z",6215832,2477076,8388200,25356,0,92.82,9732712
"2026-05-16T16:38:40.000Z",5460248,2469064,8402228,25456,0,92.95,9745696
"2026-05-16T16:39:00.000Z",5334432,2465244,8411596,25864,0,92.99,9750648
"2026-05-16T16:39:20.000Z",5328852,2463652,8408716,26224,0,93.06,9757600
"2026-05-16T16:39:40.000Z",5360436,2457808,8413004,26844,0,93.05,9756556
"2026-05-16T16:40:00.000Z",5402380,2455400,8419968,27084,0,93.04,9755932
"2026-05-16T16:40:20.000Z",5390764,2454692,8414212,27612,0,93.04,9755828
"2026-05-16T16:40:40.000Z",5055044,2453112,8419608,28880,0,93.13,9765328
"2026-05-16T16:41:00.000Z",5013108,2452060,8410012,28496,0,93.05,9756656
"2026-05-16T16:41:20.000Z",5102876,2447024,8379348,25468,0,93.12,9763728
"2026-05-16T16:41:40.000Z",5145052,2445724,8388104,26688,0,93.03,9754812
"2026-05-16T16:42:00.000Z",5396752,2436352,8365284,22300,0,93.05,9756424
"2026-05-16T16:42:20.000Z",5304344,2433712,8368432,22544,0,93.07,9758660
"2026-05-16T16:42:40.000Z",5294776,2432076,8383192,22720,0,93.21,9773088
"2026-05-16T16:43:00.000Z",5504880,2426160,8399608,21940,0,93.27,9779392
"2026-05-16T16:43:20.000Z",5515364,2424804,8408056,21312,0,93.31,9784000
"2026-05-16T16:43:40.000Z",5511004,2423968,8410372,21440,0,93.4,9793420
"2026-05-16T16:44:00.000Z",5658380,2408112,8417608,21388,0,93.47,9800684
"2026-05-16T16:44:20.000Z",5668296,2403376,8415164,21720,0,93.54,9808132
"2026-05-16T16:44:40.000Z",5728492,2402576,8406080,21692,0,93.41,9793824
"2026-05-16T16:45:00.000Z",5873460,2400320,8401020,21236,0,93.4,9792876
"2026-05-16T16:45:20.000Z",5874348,2395992,8399760,20824,0,93.64,9818244
"2026-05-16T16:45:40.000Z",5879400,2383620,8336304,20984,0,93.19,9771076
"2026-05-16T16:46:00.000Z",5830600,2324776,8397852,20308,0,93.7,9825200
"2026-05-16T16:46:20.000Z",5829188,2314376,8389592,20332,0,93.77,9832488
"2026-05-16T16:46:40.000Z",5920272,2313316,8346212,20312,0,93.55,9808512
"2026-05-16T16:47:00.000Z",5868840,2232252,8392964,19752,0,94.16,9872704
