"Time","Host consumed % for esxidr.hbmsolutions.mt"
"2026-05-22T17:20:00.000Z",17.86
"2026-05-22T17:25:00.000Z",18.56
"2026-05-22T17:30:00.000Z",18.72
"2026-05-22T17:35:00.000Z",18.69
"2026-05-22T17:40:00.000Z",18.09
"2026-05-22T17:45:00.000Z",17.91
"2026-05-22T17:50:00.000Z",17.89
"2026-05-22T17:55:00.000Z",17.86
"2026-05-22T18:00:00.000Z",17.86
"2026-05-22T18:05:00.000Z",17.91
"2026-05-22T18:10:00.000Z",17.88
"2026-05-22T18:15:00.000Z",17.87
"2026-05-22T18:20:00.000Z",17.86
"2026-05-22T18:25:00.000Z",29.61
"2026-05-22T18:30:00.000Z",45.2
"2026-05-22T18:35:00.000Z",22.33
"2026-05-22T18:40:00.000Z",18.18
"2026-05-22T18:45:00.000Z",17.95
"2026-05-22T18:50:00.000Z",17.97
"2026-05-22T18:55:00.000Z",17.98
"2026-05-22T19:00:00.000Z",17.9
"2026-05-22T19:05:00.000Z",17.88
"2026-05-22T19:10:00.000Z",17.93
"2026-05-22T19:15:00.000Z",17.94
"2026-05-22T19:20:00.000Z",17.96
"2026-05-22T19:25:00.000Z",18.52
"2026-05-22T19:30:00.000Z",18.78
"2026-05-22T19:35:00.000Z",18.75
"2026-05-22T19:40:00.000Z",18.18
"2026-05-22T19:45:00.000Z",17.95
"2026-05-22T19:50:00.000Z",17.96
"2026-05-22T19:55:00.000Z",17.91
"2026-05-22T20:00:00.000Z",17.89
"2026-05-22T20:05:00.000Z",17.9
"2026-05-22T20:10:00.000Z",17.9
"2026-05-22T20:15:00.000Z",17.88
"2026-05-22T20:20:00.000Z",17.88
"2026-05-22T20:25:00.000Z",18.46
"2026-05-22T20:30:00.000Z",18.71
"2026-05-22T20:35:00.000Z",18.69
"2026-05-22T20:40:00.000Z",18.26
"2026-05-22T20:45:00.000Z",18
"2026-05-22T20:50:00.000Z",18.04
"2026-05-22T20:55:00.000Z",17.98
"2026-05-22T21:00:00.000Z",17.99
"2026-05-22T21:05:00.000Z",18.05
"2026-05-22T21:10:00.000Z",18.1
"2026-05-22T21:15:00.000Z",18.04
"2026-05-22T21:20:00.000Z",18.03
"2026-05-22T21:25:00.000Z",18.61
"2026-05-22T21:30:00.000Z",18.93
"2026-05-22T21:35:00.000Z",18.88
"2026-05-22T21:40:00.000Z",18.39
"2026-05-22T21:45:00.000Z",18.08
"2026-05-22T21:50:00.000Z",17.98
"2026-05-22T21:55:00.000Z",18.02
"2026-05-22T22:00:00.000Z",17.86
"2026-05-22T22:05:00.000Z",17.9
"2026-05-22T22:10:00.000Z",17.82
"2026-05-22T22:15:00.000Z",17.81
"2026-05-22T22:20:00.000Z",17.82
"2026-05-22T22:25:00.000Z",18.42
"2026-05-22T22:30:00.000Z",18.66
"2026-05-22T22:35:00.000Z",18.64
"2026-05-22T22:40:00.000Z",18.15
"2026-05-22T22:45:00.000Z",17.83
"2026-05-22T22:50:00.000Z",17.82
"2026-05-22T22:55:00.000Z",17.82
"2026-05-22T23:00:00.000Z",17.83
"2026-05-22T23:05:00.000Z",17.83
"2026-05-22T23:10:00.000Z",17.85
"2026-05-22T23:15:00.000Z",17.85
"2026-05-22T23:20:00.000Z",17.85
"2026-05-22T23:25:00.000Z",18.35
"2026-05-22T23:30:00.000Z",18.67
"2026-05-22T23:35:00.000Z",18.66
"2026-05-22T23:40:00.000Z",18.16
"2026-05-22T23:45:00.000Z",17.86
"2026-05-22T23:50:00.000Z",17.89
"2026-05-22T23:55:00.000Z",17.9
"2026-05-23T00:00:00.000Z",17.86
"2026-05-23T00:05:00.000Z",17.84
"2026-05-23T00:10:00.000Z",17.86
"2026-05-23T00:15:00.000Z",17.88
"2026-05-23T00:20:00.000Z",17.84
"2026-05-23T00:25:00.000Z",18.35
"2026-05-23T00:30:00.000Z",18.71
"2026-05-23T00:35:00.000Z",18.67
"2026-05-23T00:40:00.000Z",18.22
"2026-05-23T00:45:00.000Z",17.84
"2026-05-23T00:50:00.000Z",17.83
"2026-05-23T00:55:00.000Z",17.83
"2026-05-23T01:00:00.000Z",17.83
"2026-05-23T01:05:00.000Z",17.88
"2026-05-23T01:10:00.000Z",17.92
"2026-05-23T01:15:00.000Z",17.88
"2026-05-23T01:20:00.000Z",17.86
"2026-05-23T01:25:00.000Z",18.31
"2026-05-23T01:30:00.000Z",18.67
"2026-05-23T01:35:00.000Z",18.64
"2026-05-23T01:40:00.000Z",18.2
"2026-05-23T01:45:00.000Z",17.85
"2026-05-23T01:50:00.000Z",17.82
"2026-05-23T01:55:00.000Z",17.83
"2026-05-23T02:00:00.000Z",17.84
"2026-05-23T02:05:00.000Z",17.84
"2026-05-23T02:10:00.000Z",17.83
"2026-05-23T02:15:00.000Z",17.84
"2026-05-23T02:20:00.000Z",17.83
"2026-05-23T02:25:00.000Z",18.4
"2026-05-23T02:30:00.000Z",18.76
"2026-05-23T02:35:00.000Z",18.7
"2026-05-23T02:40:00.000Z",18.26
"2026-05-23T02:45:00.000Z",17.86
"2026-05-23T02:50:00.000Z",17.85
"2026-05-23T02:55:00.000Z",17.85
"2026-05-23T03:00:00.000Z",17.84
"2026-05-23T03:05:00.000Z",17.88
"2026-05-23T03:10:00.000Z",17.86
"2026-05-23T03:15:00.000Z",17.84
"2026-05-23T03:20:00.000Z",17.85
"2026-05-23T03:25:00.000Z",18.35
"2026-05-23T03:30:00.000Z",18.83
"2026-05-23T03:35:00.000Z",18.72
"2026-05-23T03:40:00.000Z",18.31
"2026-05-23T03:45:00.000Z",17.92
"2026-05-23T03:50:00.000Z",17.91
"2026-05-23T03:55:00.000Z",17.9
"2026-05-23T04:00:00.000Z",17.88
"2026-05-23T04:05:00.000Z",17.88
"2026-05-23T04:10:00.000Z",17.89
"2026-05-23T04:15:00.000Z",17.86
"2026-05-23T04:20:00.000Z",17.86
"2026-05-23T04:25:00.000Z",18.29
"2026-05-23T04:30:00.000Z",18.73
"2026-05-23T04:35:00.000Z",18.73
"2026-05-23T04:40:00.000Z",18.31
"2026-05-23T04:45:00.000Z",17.92
"2026-05-23T04:50:00.000Z",17.96
