"Time","Host consumed % for esxilocal.hbmsolutions.mt"
"2026-05-22T17:15:00.000Z",92.69
"2026-05-22T17:20:00.000Z",92.71
"2026-05-22T17:25:00.000Z",92.72
"2026-05-22T17:30:00.000Z",92.68
"2026-05-22T17:35:00.000Z",92.28
"2026-05-22T17:40:00.000Z",91.76
"2026-05-22T17:45:00.000Z",91.82
"2026-05-22T17:50:00.000Z",91.89
"2026-05-22T17:55:00.000Z",91.99
"2026-05-22T18:00:00.000Z",92.48
"2026-05-22T18:05:00.000Z",92.8
"2026-05-22T18:10:00.000Z",92.62
"2026-05-22T18:15:00.000Z",92.63
"2026-05-22T18:20:00.000Z",92.58
"2026-05-22T18:25:00.000Z",92.78
"2026-05-22T18:30:00.000Z",91.99
"2026-05-22T18:35:00.000Z",93.35
"2026-05-22T18:40:00.000Z",92.52
"2026-05-22T18:45:00.000Z",92.52
"2026-05-22T18:50:00.000Z",91.9
"2026-05-22T18:55:00.000Z",92.04
"2026-05-22T19:00:00.000Z",91.96
"2026-05-22T19:05:00.000Z",92.62
"2026-05-22T19:10:00.000Z",92.79
"2026-05-22T19:15:00.000Z",92.43
"2026-05-22T19:20:00.000Z",91.74
"2026-05-22T19:25:00.000Z",91.62
"2026-05-22T19:30:00.000Z",91.44
"2026-05-22T19:35:00.000Z",90.56
"2026-05-22T19:40:00.000Z",89.64
"2026-05-22T19:45:00.000Z",89.57
"2026-05-22T19:50:00.000Z",89.26
"2026-05-22T19:55:00.000Z",89.87
"2026-05-22T20:00:00.000Z",90.4
"2026-05-22T20:05:00.000Z",92.01
"2026-05-22T20:10:00.000Z",92.28
"2026-05-22T20:15:00.000Z",92.46
"2026-05-22T20:20:00.000Z",92.52
"2026-05-22T20:25:00.000Z",92.83
"2026-05-22T20:30:00.000Z",92.14
"2026-05-22T20:35:00.000Z",92.25
"2026-05-22T20:40:00.000Z",92.68
"2026-05-22T20:45:00.000Z",92.58
"2026-05-22T20:50:00.000Z",92.75
"2026-05-22T20:55:00.000Z",92.44
"2026-05-22T21:00:00.000Z",91.97
"2026-05-22T21:05:00.000Z",91.76
"2026-05-22T21:10:00.000Z",92.6
"2026-05-22T21:15:00.000Z",92.58
"2026-05-22T21:20:00.000Z",92.49
"2026-05-22T21:25:00.000Z",92.82
"2026-05-22T21:30:00.000Z",92.8
"2026-05-22T21:35:00.000Z",92.84
"2026-05-22T21:40:00.000Z",92.52
"2026-05-22T21:45:00.000Z",92.68
"2026-05-22T21:50:00.000Z",92.9
"2026-05-22T21:55:00.000Z",93.17
"2026-05-22T22:00:00.000Z",93.04
"2026-05-22T22:05:00.000Z",93.21
"2026-05-22T22:10:00.000Z",92.95
"2026-05-22T22:15:00.000Z",92.97
"2026-05-22T22:20:00.000Z",92.8
"2026-05-22T22:25:00.000Z",92.83
"2026-05-22T22:30:00.000Z",92.95
"2026-05-22T22:35:00.000Z",92.47
"2026-05-22T22:40:00.000Z",91.57
"2026-05-22T22:45:00.000Z",92.05
"2026-05-22T22:50:00.000Z",92.58
"2026-05-22T22:55:00.000Z",92.66
"2026-05-22T23:00:00.000Z",92.91
"2026-05-22T23:05:00.000Z",92.88
"2026-05-22T23:10:00.000Z",92.8
"2026-05-22T23:15:00.000Z",92.71
"2026-05-22T23:20:00.000Z",92.68
"2026-05-22T23:25:00.000Z",92.63
"2026-05-22T23:30:00.000Z",92.58
"2026-05-22T23:35:00.000Z",92.35
"2026-05-22T23:40:00.000Z",91.71
"2026-05-22T23:45:00.000Z",91.78
"2026-05-22T23:50:00.000Z",92.06
"2026-05-22T23:55:00.000Z",92.22
"2026-05-23T00:00:00.000Z",92.48
"2026-05-23T00:05:00.000Z",92.76
"2026-05-23T00:10:00.000Z",92.74
"2026-05-23T00:15:00.000Z",92.73
"2026-05-23T00:20:00.000Z",92.71
"2026-05-23T00:25:00.000Z",92.7
"2026-05-23T00:30:00.000Z",92.48
"2026-05-23T00:35:00.000Z",92.48
"2026-05-23T00:40:00.000Z",90.25
"2026-05-23T00:45:00.000Z",88.84
"2026-05-23T00:50:00.000Z",88.72
"2026-05-23T00:55:00.000Z",88.54
"2026-05-23T01:00:00.000Z",88.56
"2026-05-23T01:05:00.000Z",88.65
"2026-05-23T01:10:00.000Z",89.87
"2026-05-23T01:15:00.000Z",90.77
"2026-05-23T01:20:00.000Z",91.37
"2026-05-23T01:25:00.000Z",91.87
"2026-05-23T01:30:00.000Z",92.05
"2026-05-23T01:35:00.000Z",91.56
"2026-05-23T01:40:00.000Z",90.89
"2026-05-23T01:45:00.000Z",89.42
"2026-05-23T01:50:00.000Z",88.54
"2026-05-23T01:55:00.000Z",88.75
"2026-05-23T02:00:00.000Z",88.48
"2026-05-23T02:05:00.000Z",89.06
"2026-05-23T02:10:00.000Z",89.69
"2026-05-23T02:15:00.000Z",90.26
"2026-05-23T02:20:00.000Z",90.21
"2026-05-23T02:25:00.000Z",90.52
"2026-05-23T02:30:00.000Z",91.63
"2026-05-23T02:35:00.000Z",92.09
"2026-05-23T02:40:00.000Z",92.04
"2026-05-23T02:45:00.000Z",92.31
"2026-05-23T02:50:00.000Z",92.34
"2026-05-23T02:55:00.000Z",92.39
"2026-05-23T03:00:00.000Z",92.34
"2026-05-23T03:05:00.000Z",92.66
"2026-05-23T03:10:00.000Z",92.66
"2026-05-23T03:15:00.000Z",92.59
"2026-05-23T03:20:00.000Z",92.53
"2026-05-23T03:25:00.000Z",91.76
"2026-05-23T03:30:00.000Z",91.87
"2026-05-23T03:35:00.000Z",91.39
"2026-05-23T03:40:00.000Z",91.18
"2026-05-23T03:45:00.000Z",92.1
"2026-05-23T03:50:00.000Z",92.34
"2026-05-23T03:55:00.000Z",92.25
"2026-05-23T04:00:00.000Z",92.32
"2026-05-23T04:05:00.000Z",92.53
"2026-05-23T04:10:00.000Z",92.6
"2026-05-23T04:15:00.000Z",92.6
"2026-05-23T04:20:00.000Z",92.61
"2026-05-23T04:25:00.000Z",92.49
"2026-05-23T04:30:00.000Z",92.32
"2026-05-23T04:35:00.000Z",92.23
"2026-05-23T04:40:00.000Z",91.81
"2026-05-23T04:45:00.000Z",92.08
"2026-05-23T04:50:00.000Z",92.51
"2026-05-23T04:55:00.000Z",92.61
"2026-05-23T05:00:00.000Z",92.81
"2026-05-23T05:05:00.000Z",92.62
"2026-05-23T05:10:00.000Z",92.63
"2026-05-23T05:15:00.000Z",92.65
"2026-05-23T05:20:00.000Z",92.62
"2026-05-23T05:25:00.000Z",92.78
"2026-05-23T05:30:00.000Z",92.37
"2026-05-23T05:35:00.000Z",92.52
"2026-05-23T05:40:00.000Z",91.81
"2026-05-23T05:45:00.000Z",91.54
"2026-05-23T05:50:00.000Z",91.21
"2026-05-23T05:55:00.000Z",91.36
"2026-05-23T06:00:00.000Z",91.48
"2026-05-23T06:05:00.000Z",91.92
"2026-05-23T06:10:00.000Z",92.31
"2026-05-23T06:15:00.000Z",92.41
"2026-05-23T06:20:00.000Z",92.43
"2026-05-23T06:25:00.000Z",92.57
"2026-05-23T06:30:00.000Z",92.38
"2026-05-23T06:35:00.000Z",91.8
"2026-05-23T06:40:00.000Z",91.23
"2026-05-23T06:45:00.000Z",90.99
"2026-05-23T06:50:00.000Z",91.24
"2026-05-23T06:55:00.000Z",91.48
"2026-05-23T07:00:00.000Z",91.64
"2026-05-23T07:05:00.000Z",92.01
"2026-05-23T07:10:00.000Z",91.97
"2026-05-23T07:15:00.000Z",92.24
"2026-05-23T07:20:00.000Z",92.43
"2026-05-23T07:25:00.000Z",92.61
"2026-05-23T07:30:00.000Z",92.68
"2026-05-23T07:35:00.000Z",92.68
"2026-05-23T07:40:00.000Z",92.37
"2026-05-23T07:45:00.000Z",91.99
"2026-05-23T07:50:00.000Z",91.92
"2026-05-23T07:55:00.000Z",92.05
"2026-05-23T08:00:00.000Z",92.3
"2026-05-23T08:05:00.000Z",91.8
"2026-05-23T08:10:00.000Z",92.5
"2026-05-23T08:15:00.000Z",92.8
"2026-05-23T08:20:00.000Z",92.77
"2026-05-23T08:25:00.000Z",92.82
"2026-05-23T08:30:00.000Z",92.7
"2026-05-23T08:35:00.000Z",92.7
"2026-05-23T08:40:00.000Z",92.55
"2026-05-23T08:45:00.000Z",92.36
"2026-05-23T08:50:00.000Z",92.46
"2026-05-23T08:55:00.000Z",92.39
"2026-05-23T09:00:00.000Z",92.26
"2026-05-23T09:05:00.000Z",92.33
"2026-05-23T09:10:00.000Z",92.51
"2026-05-23T09:15:00.000Z",92.59
"2026-05-23T09:20:00.000Z",92.68
"2026-05-23T09:25:00.000Z",92.62
"2026-05-23T09:30:00.000Z",92.87
"2026-05-23T09:35:00.000Z",93.14
"2026-05-23T09:40:00.000Z",93.08
"2026-05-23T09:45:00.000Z",93.11
"2026-05-23T09:50:00.000Z",92.97
"2026-05-23T09:55:00.000Z",92.94
"2026-05-23T10:00:00.000Z",93.04
"2026-05-23T10:05:00.000Z",93.06
"2026-05-23T10:10:00.000Z",92.89
"2026-05-23T10:15:00.000Z",92.82
"2026-05-23T10:20:00.000Z",92.78
"2026-05-23T10:25:00.000Z",92.71
"2026-05-23T10:30:00.000Z",92.41
"2026-05-23T10:35:00.000Z",92.72
"2026-05-23T10:40:00.000Z",91.73
"2026-05-23T10:45:00.000Z",91.46
"2026-05-23T10:50:00.000Z",91.78
"2026-05-23T10:55:00.000Z",92.15
"2026-05-23T11:00:00.000Z",92.38
"2026-05-23T11:05:00.000Z",92.84
"2026-05-23T11:10:00.000Z",92.77
"2026-05-23T11:15:00.000Z",92.76
"2026-05-23T11:20:00.000Z",92.77
"2026-05-23T11:25:00.000Z",92.81
"2026-05-23T11:30:00.000Z",92.53
"2026-05-23T11:35:00.000Z",92.39
