"Time","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-23T14:25:00.000Z",0,18.12,1900855
"2026-05-23T14:30:00.000Z",0,18.73,1964661
"2026-05-23T14:35:00.000Z",0,18.69,1960548
"2026-05-23T14:40:00.000Z",0,18.52,1942543
"2026-05-23T14:45:00.000Z",0,17.85,1872228
"2026-05-23T14:50:00.000Z",0,17.83,1870364
"2026-05-23T14:55:00.000Z",0,17.81,1868646
"2026-05-23T15:00:00.000Z",0,17.81,1868815
"2026-05-23T15:05:00.000Z",0,17.85,1872525
"2026-05-23T15:10:00.000Z",0,17.89,1876603
"2026-05-23T15:15:00.000Z",0,17.92,1879563
"2026-05-23T15:20:00.000Z",0,17.92,1879958
"2026-05-23T15:25:00.000Z",0,18.11,1899707
"2026-05-23T15:30:00.000Z",0,18.71,1962946
"2026-05-23T15:35:00.000Z",0,18.71,1962596
"2026-05-23T15:40:00.000Z",0,18.49,1939829
"2026-05-23T15:45:00.000Z",0,17.91,1879428
"2026-05-23T15:50:00.000Z",0,17.92,1880111
"2026-05-23T15:55:00.000Z",0,17.92,1880346
"2026-05-23T16:00:00.000Z",0,17.92,1880429
"2026-05-23T16:05:00.000Z",0,17.94,1881499
"2026-05-23T16:10:00.000Z",0,17.92,1879863
"2026-05-23T16:15:00.000Z",0,17.88,1876257
"2026-05-23T16:20:00.000Z",0,17.87,1875296
"2026-05-23T16:25:00.000Z",0,18.05,1893847
"2026-05-23T16:30:00.000Z",0,18.73,1965009
"2026-05-23T16:35:00.000Z",0,18.71,1962923
"2026-05-23T16:40:00.000Z",0,18.52,1943028
"2026-05-23T16:45:00.000Z",0,17.86,1873171
"2026-05-23T16:50:00.000Z",0,17.84,1872122
"2026-05-23T16:55:00.000Z",0,17.86,1873393
"2026-05-23T17:00:00.000Z",0,17.86,1873608
"2026-05-23T17:05:00.000Z",0,17.87,1874160
"2026-05-23T17:10:00.000Z",0,17.92,1879590
"2026-05-23T17:15:00.000Z",0,17.91,1878754
"2026-05-23T17:20:00.000Z",0,17.88,1875458
"2026-05-23T17:25:00.000Z",0,18.04,1892469
"2026-05-23T17:30:00.000Z",0,40.96,4295295
"2026-05-23T17:35:00.000Z",0,45.13,4732381
"2026-05-23T17:40:00.000Z",0,18.62,1953709
"2026-05-23T17:45:00.000Z",0,17.9,1877587
"2026-05-23T17:50:00.000Z",0,18,1887926
"2026-05-23T17:55:00.000Z",0,18.02,1890057
"2026-05-23T18:00:00.000Z",0,18,1888309
"2026-05-23T18:05:00.000Z",0,17.97,1885401
"2026-05-23T18:10:00.000Z",0,17.99,1886748
"2026-05-23T18:15:00.000Z",0,18.02,1890462
"2026-05-23T18:20:00.000Z",0,18.03,1891683
"2026-05-23T18:25:00.000Z",0,18.14,1902808
"2026-05-23T18:30:00.000Z",0,18.89,1982110
"2026-05-23T18:35:00.000Z",0,18.81,1973239
"2026-05-23T18:40:00.000Z",0,18.7,1961397
"2026-05-23T18:45:00.000Z",0,18.04,1892137
"2026-05-23T18:50:00.000Z",0,18,1888631
"2026-05-23T18:55:00.000Z",0,17.99,1886868
