"Time","Usage for esxidr.hbmsolutions.mt","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-23T19:00:00.000Z",2.06,388
"2026-05-23T19:05:00.000Z",2.26,426
"2026-05-23T19:10:00.000Z",2.16,408
"2026-05-23T19:15:00.000Z",2.29,431
"2026-05-23T19:20:00.000Z",2.24,421
"2026-05-23T19:25:00.000Z",2.34,440
"2026-05-23T19:30:00.000Z",2.27,428
"2026-05-23T19:35:00.000Z",2.25,424
"2026-05-23T19:40:00.000Z",2.25,423
"2026-05-23T19:45:00.000Z",2.23,421
"2026-05-23T19:50:00.000Z",2.17,408
"2026-05-23T19:55:00.000Z",2.24,422
"2026-05-23T20:00:00.000Z",2.16,406
"2026-05-23T20:05:00.000Z",2.19,413
"2026-05-23T20:10:00.000Z",2.24,421
"2026-05-23T20:15:00.000Z",2.2,414
"2026-05-23T20:20:00.000Z",1.71,322
"2026-05-23T20:25:00.000Z",1.59,300
"2026-05-23T20:30:00.000Z",1.59,299
"2026-05-23T20:35:00.000Z",1.46,276
"2026-05-23T20:40:00.000Z",1.45,274
"2026-05-23T20:45:00.000Z",1.5,283
"2026-05-23T20:50:00.000Z",1.47,278
"2026-05-23T20:55:00.000Z",0.99,186
"2026-05-23T21:00:00.000Z",0.98,186
"2026-05-23T21:05:00.000Z",1.03,194
"2026-05-23T21:10:00.000Z",0.95,180
"2026-05-23T21:15:00.000Z",0.95,179
"2026-05-23T21:20:00.000Z",0.94,177
"2026-05-23T21:25:00.000Z",1.09,206
"2026-05-23T21:30:00.000Z",1,189
"2026-05-23T21:35:00.000Z",1,189
"2026-05-23T21:40:00.000Z",1.02,192
"2026-05-23T21:45:00.000Z",0.98,185
"2026-05-23T21:50:00.000Z",0.95,180
"2026-05-23T21:55:00.000Z",0.99,186
"2026-05-23T22:00:00.000Z",0.95,179
"2026-05-23T22:05:00.000Z",1,188
"2026-05-23T22:10:00.000Z",0.94,177
"2026-05-23T22:15:00.000Z",0.94,178
"2026-05-23T22:20:00.000Z",0.93,176
"2026-05-23T22:25:00.000Z",1.09,205
"2026-05-23T22:30:00.000Z",0.98,186
"2026-05-23T22:35:00.000Z",0.97,182
"2026-05-23T22:40:00.000Z",0.98,185
"2026-05-23T22:45:00.000Z",0.96,181
"2026-05-23T22:50:00.000Z",0.97,183
"2026-05-23T22:55:00.000Z",0.93,176
"2026-05-23T23:00:00.000Z",0.95,180
"2026-05-23T23:05:00.000Z",1.02,193
"2026-05-23T23:10:00.000Z",0.97,184
"2026-05-23T23:15:00.000Z",0.94,177
"2026-05-23T23:20:00.000Z",0.92,174
"2026-05-23T23:25:00.000Z",0.95,180
"2026-05-23T23:30:00.000Z",1.11,210
"2026-05-23T23:35:00.000Z",0.98,184
"2026-05-23T23:40:00.000Z",0.98,185
"2026-05-23T23:45:00.000Z",0.99,187
"2026-05-23T23:50:00.000Z",0.96,181
"2026-05-23T23:55:00.000Z",0.94,177
"2026-05-24T00:00:00.000Z",0.94,178
"2026-05-24T00:05:00.000Z",1.41,265
"2026-05-24T00:10:00.000Z",0.95,180
"2026-05-24T00:15:00.000Z",0.92,174
"2026-05-24T00:20:00.000Z",0.94,178
"2026-05-24T00:25:00.000Z",0.94,178
"2026-05-24T00:30:00.000Z",1.11,209
"2026-05-24T00:35:00.000Z",0.95,180
"2026-05-24T00:40:00.000Z",0.94,178
"2026-05-24T00:45:00.000Z",0.97,183
"2026-05-24T00:50:00.000Z",0.97,182
"2026-05-24T00:55:00.000Z",0.94,178
"2026-05-24T01:00:00.000Z",0.96,181
"2026-05-24T01:05:00.000Z",1.07,202
"2026-05-24T01:10:00.000Z",0.92,173
"2026-05-24T01:15:00.000Z",0.96,181
"2026-05-24T01:20:00.000Z",0.95,180
"2026-05-24T01:25:00.000Z",0.98,184
"2026-05-24T01:30:00.000Z",1.09,206
"2026-05-24T01:35:00.000Z",0.97,183
"2026-05-24T01:40:00.000Z",0.95,180
"2026-05-24T01:45:00.000Z",0.96,182
"2026-05-24T01:50:00.000Z",0.93,176
"2026-05-24T01:55:00.000Z",0.93,176
"2026-05-24T02:00:00.000Z",0.95,180
"2026-05-24T02:05:00.000Z",1.02,193
"2026-05-24T02:10:00.000Z",0.95,179
"2026-05-24T02:15:00.000Z",0.95,179
"2026-05-24T02:20:00.000Z",0.94,179
"2026-05-24T02:25:00.000Z",0.96,181
"2026-05-24T02:30:00.000Z",1.12,212
"2026-05-24T02:35:00.000Z",0.97,183
"2026-05-24T02:40:00.000Z",0.98,184
"2026-05-24T02:45:00.000Z",0.98,185
"2026-05-24T02:50:00.000Z",0.95,179
"2026-05-24T02:55:00.000Z",0.93,175
