"Time","Usage for esxilocal.hbmsolutions.mt","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-23T18:55:00.000Z",20.19,3797
"2026-05-23T19:00:00.000Z",24.02,4517
"2026-05-23T19:05:00.000Z",22.52,4234
"2026-05-23T19:10:00.000Z",22.75,4278
"2026-05-23T19:15:00.000Z",21.09,3965
"2026-05-23T19:20:00.000Z",20.36,3829
"2026-05-23T19:25:00.000Z",20.91,3931
"2026-05-23T19:30:00.000Z",20.45,3846
"2026-05-23T19:35:00.000Z",20.65,3882
"2026-05-23T19:40:00.000Z",20.25,3808
"2026-05-23T19:45:00.000Z",21.48,4039
"2026-05-23T19:50:00.000Z",21.21,3988
"2026-05-23T19:55:00.000Z",20.84,3918
"2026-05-23T20:00:00.000Z",19.4,3649
"2026-05-23T20:05:00.000Z",22.43,4218
"2026-05-23T20:10:00.000Z",21.62,4065
"2026-05-23T20:15:00.000Z",23,4325
"2026-05-23T20:20:00.000Z",22.34,4201
"2026-05-23T20:25:00.000Z",21.3,4006
"2026-05-23T20:30:00.000Z",26.05,4898
"2026-05-23T20:35:00.000Z",19.81,3726
"2026-05-23T20:40:00.000Z",24.08,4527
"2026-05-23T20:45:00.000Z",24.71,4646
"2026-05-23T20:50:00.000Z",24.7,4644
"2026-05-23T20:55:00.000Z",18.21,3424
"2026-05-23T21:00:00.000Z",17.61,3311
"2026-05-23T21:05:00.000Z",17.59,3307
"2026-05-23T21:10:00.000Z",19.42,3652
"2026-05-23T21:15:00.000Z",19.93,3749
"2026-05-23T21:20:00.000Z",19.45,3658
"2026-05-23T21:25:00.000Z",17.67,3322
"2026-05-23T21:30:00.000Z",18.06,3396
"2026-05-23T21:35:00.000Z",16.43,3089
"2026-05-23T21:40:00.000Z",18.11,3405
"2026-05-23T21:45:00.000Z",17.76,3339
"2026-05-23T21:50:00.000Z",16.63,3128
"2026-05-23T21:55:00.000Z",17.61,3312
"2026-05-23T22:00:00.000Z",15.68,2948
"2026-05-23T22:05:00.000Z",18.28,3437
"2026-05-23T22:10:00.000Z",18.78,3532
"2026-05-23T22:15:00.000Z",18.53,3485
"2026-05-23T22:20:00.000Z",17.75,3337
"2026-05-23T22:25:00.000Z",17.97,3380
"2026-05-23T22:30:00.000Z",20.3,3817
