"Time","Usage for esxilocal.hbmsolutions.mt"
"2026-05-19T18:05:00.000Z",14.36
"2026-05-19T18:10:00.000Z",14.3
"2026-05-19T18:15:00.000Z",14.82
"2026-05-19T18:20:00.000Z",12.92
"2026-05-19T18:25:00.000Z",14.04
"2026-05-19T18:30:00.000Z",13.39
"2026-05-19T18:35:00.000Z",13.55
"2026-05-19T18:40:00.000Z",13.38
"2026-05-19T18:45:00.000Z",14.81
"2026-05-19T18:50:00.000Z",13.5
"2026-05-19T18:55:00.000Z",19.46
"2026-05-19T19:00:00.000Z",21.73
"2026-05-19T19:05:00.000Z",15.64
"2026-05-19T19:10:00.000Z",22.39
"2026-05-19T19:15:00.000Z",17.85
"2026-05-19T19:20:00.000Z",15.87
"2026-05-19T19:25:00.000Z",21.78
"2026-05-19T19:30:00.000Z",16.09
"2026-05-19T19:35:00.000Z",16.17
"2026-05-19T19:40:00.000Z",24.24
"2026-05-19T19:45:00.000Z",25.08
"2026-05-19T19:50:00.000Z",20.89
"2026-05-19T19:55:00.000Z",22.01
"2026-05-19T20:00:00.000Z",21.48
"2026-05-19T20:05:00.000Z",26.46
"2026-05-19T20:10:00.000Z",22.69
"2026-05-19T20:15:00.000Z",22.3
"2026-05-19T20:20:00.000Z",21.84
"2026-05-19T20:25:00.000Z",21.96
"2026-05-19T20:30:00.000Z",19.19
"2026-05-19T20:35:00.000Z",19.41
"2026-05-19T20:40:00.000Z",17.73
"2026-05-19T20:45:00.000Z",18.46
"2026-05-19T20:50:00.000Z",19.31
"2026-05-19T20:55:00.000Z",24.46
"2026-05-19T21:00:00.000Z",34.65
"2026-05-19T21:05:00.000Z",23.05
"2026-05-19T21:10:00.000Z",19.32
"2026-05-19T21:15:00.000Z",20.32
"2026-05-19T21:20:00.000Z",17.8
"2026-05-19T21:25:00.000Z",19.09
"2026-05-19T21:30:00.000Z",19.35
"2026-05-19T21:35:00.000Z",18.98
"2026-05-19T21:40:00.000Z",16.06
"2026-05-19T21:45:00.000Z",22.84
"2026-05-19T21:50:00.000Z",19.21
"2026-05-19T21:55:00.000Z",21.8
"2026-05-19T22:00:00.000Z",19.99
"2026-05-19T22:05:00.000Z",18.25
"2026-05-19T22:10:00.000Z",16.91
"2026-05-19T22:15:00.000Z",16.71
"2026-05-19T22:20:00.000Z",16
"2026-05-19T22:25:00.000Z",15.71
"2026-05-19T22:30:00.000Z",15.76
"2026-05-19T22:35:00.000Z",15.98
"2026-05-19T22:40:00.000Z",16.61
"2026-05-19T22:45:00.000Z",17.01
"2026-05-19T22:50:00.000Z",17.32
"2026-05-19T22:55:00.000Z",16.2
"2026-05-19T23:00:00.000Z",16.53
"2026-05-19T23:05:00.000Z",17.63
"2026-05-19T23:10:00.000Z",19.12
"2026-05-19T23:15:00.000Z",18.11
"2026-05-19T23:20:00.000Z",16.58
"2026-05-19T23:25:00.000Z",15.03
"2026-05-19T23:30:00.000Z",15.89
"2026-05-19T23:35:00.000Z",15.5
"2026-05-19T23:40:00.000Z",15.5
"2026-05-19T23:45:00.000Z",15.63
"2026-05-19T23:50:00.000Z",15.19
"2026-05-19T23:55:00.000Z",15.43
"2026-05-20T00:00:00.000Z",16.87
"2026-05-20T00:05:00.000Z",16.7
"2026-05-20T00:10:00.000Z",16.88
"2026-05-20T00:15:00.000Z",17.93
"2026-05-20T00:20:00.000Z",15.65
"2026-05-20T00:25:00.000Z",14.87
"2026-05-20T00:30:00.000Z",14.46
"2026-05-20T00:35:00.000Z",15.73
"2026-05-20T00:40:00.000Z",15.77
"2026-05-20T00:45:00.000Z",15.37
"2026-05-20T00:50:00.000Z",15.31
"2026-05-20T00:55:00.000Z",15.31
"2026-05-20T01:00:00.000Z",33.51
"2026-05-20T01:05:00.000Z",40.55
"2026-05-20T01:10:00.000Z",20.02
"2026-05-20T01:15:00.000Z",17.97
"2026-05-20T01:20:00.000Z",16.38
"2026-05-20T01:25:00.000Z",15.97
"2026-05-20T01:30:00.000Z",14.78
"2026-05-20T01:35:00.000Z",15.04
"2026-05-20T01:40:00.000Z",15.98
"2026-05-20T01:45:00.000Z",15.34
"2026-05-20T01:50:00.000Z",16.04
"2026-05-20T01:55:00.000Z",16.25
"2026-05-20T02:00:00.000Z",16.93
"2026-05-20T02:05:00.000Z",16.85
"2026-05-20T02:10:00.000Z",20.75
"2026-05-20T02:15:00.000Z",17.6
"2026-05-20T02:20:00.000Z",15.61
"2026-05-20T02:25:00.000Z",16.26
"2026-05-20T02:30:00.000Z",14.07
"2026-05-20T02:35:00.000Z",19.66
"2026-05-20T02:40:00.000Z",16.14
"2026-05-20T02:45:00.000Z",14.81
"2026-05-20T02:50:00.000Z",14.9
"2026-05-20T02:55:00.000Z",15.27
"2026-05-20T03:00:00.000Z",15.8
"2026-05-20T03:05:00.000Z",16.91
"2026-05-20T03:10:00.000Z",20.24
