"Time","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-19T18:05:00.000Z",0,17.88,1875844
"2026-05-19T18:10:00.000Z",0,17.87,1875018
"2026-05-19T18:15:00.000Z",0,18.68,1959003
"2026-05-19T18:20:00.000Z",0,18.78,1970388
"2026-05-19T18:25:00.000Z",0,18.75,1966773
"2026-05-19T18:30:00.000Z",0,18.04,1892993
"2026-05-19T18:35:00.000Z",0,17.91,1878490
"2026-05-19T18:40:00.000Z",0,17.9,1877668
"2026-05-19T18:45:00.000Z",0,17.91,1879113
"2026-05-19T18:50:00.000Z",0,17.9,1877832
"2026-05-19T18:55:00.000Z",0,17.91,1878526
"2026-05-19T19:00:00.000Z",0,17.9,1877825
"2026-05-19T19:05:00.000Z",0,17.93,1881061
"2026-05-19T19:10:00.000Z",0,17.96,1884605
"2026-05-19T19:15:00.000Z",0,18.66,1957361
"2026-05-19T19:20:00.000Z",0,18.74,1965959
"2026-05-19T19:25:00.000Z",0,32.54,3412382
"2026-05-19T19:30:00.000Z",0,48.41,5076979
"2026-05-19T19:35:00.000Z",0,46.8,4908310
"2026-05-19T19:40:00.000Z",0,18.02,1890315
"2026-05-19T19:45:00.000Z",0,18.02,1889912
"2026-05-19T19:50:00.000Z",0,18.08,1897090
"2026-05-19T19:55:00.000Z",0,18.08,1897150
"2026-05-19T20:00:00.000Z",0,18.07,1895748
"2026-05-19T20:05:00.000Z",0,18.11,1899197
"2026-05-19T20:10:00.000Z",0,18.12,1900702
"2026-05-19T20:15:00.000Z",0,18.83,1975815
"2026-05-19T20:20:00.000Z",0,18.95,1987635
"2026-05-19T20:25:00.000Z",0,18.91,1984093
"2026-05-19T20:30:00.000Z",0,18.28,1917034
"2026-05-19T20:35:00.000Z",0,18.12,1900387
"2026-05-19T20:40:00.000Z",0,18.13,1901697
"2026-05-19T20:45:00.000Z",0,18.07,1896087
"2026-05-19T20:50:00.000Z",0,18.03,1891607
"2026-05-19T20:55:00.000Z",0,18.02,1890607
"2026-05-19T21:00:00.000Z",0,17.9,1877621
"2026-05-19T21:05:00.000Z",0,17.87,1875083
"2026-05-19T21:10:00.000Z",0,18.03,1891031
"2026-05-19T21:15:00.000Z",0,18.89,1981485
"2026-05-19T21:20:00.000Z",0,19.02,1995210
"2026-05-19T21:25:00.000Z",0,19,1993237
"2026-05-19T21:30:00.000Z",0,18.32,1922009
"2026-05-19T21:35:00.000Z",0,18.2,1909272
"2026-05-19T21:40:00.000Z",0,18.22,1911209
"2026-05-19T21:45:00.000Z",0,18.05,1893989
"2026-05-19T21:50:00.000Z",0,18.21,1910524
"2026-05-19T21:55:00.000Z",0,17.9,1878368
"2026-05-19T22:00:00.000Z",0,17.84,1871381
"2026-05-19T22:05:00.000Z",0,17.84,1871317
"2026-05-19T22:10:00.000Z",0,17.83,1870899
"2026-05-19T22:15:00.000Z",0,18.51,1942187
"2026-05-19T22:20:00.000Z",0,18.71,1962257
"2026-05-19T22:25:00.000Z",0,18.71,1962372
"2026-05-19T22:30:00.000Z",0,18.11,1900238
"2026-05-19T22:35:00.000Z",0,17.91,1879371
"2026-05-19T22:40:00.000Z",0,17.91,1878545
"2026-05-19T22:45:00.000Z",0,17.91,1878483
"2026-05-19T22:50:00.000Z",0,17.9,1877292
"2026-05-19T22:55:00.000Z",0,17.88,1876061
"2026-05-19T23:00:00.000Z",0,17.83,1870772
"2026-05-19T23:05:00.000Z",0,17.85,1872116
"2026-05-19T23:10:00.000Z",0,17.88,1876284
"2026-05-19T23:15:00.000Z",0,18.51,1941304
"2026-05-19T23:20:00.000Z",0,18.69,1960886
"2026-05-19T23:25:00.000Z",0,18.65,1956808
"2026-05-19T23:30:00.000Z",0,18.07,1895199
"2026-05-19T23:35:00.000Z",0,17.87,1874100
