"Time","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-19T18:05:00.000Z",0,92.19,9667316
"2026-05-19T18:10:00.000Z",0,92.42,9690799
"2026-05-19T18:15:00.000Z",0,92.48,9697735
"2026-05-19T18:20:00.000Z",0,92.38,9686412
"2026-05-19T18:25:00.000Z",0,92.08,9655309
"2026-05-19T18:30:00.000Z",0,91.28,9571624
"2026-05-19T18:35:00.000Z",0,91.22,9565640
"2026-05-19T18:40:00.000Z",0,91.65,9610465
"2026-05-19T18:45:00.000Z",0,91.87,9633350
"2026-05-19T18:50:00.000Z",0,91.95,9642181
"2026-05-19T18:55:00.000Z",0,92.07,9654700
"2026-05-19T19:00:00.000Z",0,92.56,9705413
"2026-05-19T19:05:00.000Z",0,92.34,9683088
"2026-05-19T19:10:00.000Z",0,93.37,9791054
"2026-05-19T19:15:00.000Z",0,93.32,9785188
"2026-05-19T19:20:00.000Z",0,93.12,9764249
"2026-05-19T19:25:00.000Z",0,93.06,9758407
"2026-05-19T19:30:00.000Z",0,92.04,9651552
"2026-05-19T19:35:00.000Z",0,92.1,9657837
"2026-05-19T19:40:00.000Z",0,93.33,9786805
"2026-05-19T19:45:00.000Z",0,92.86,9737553
"2026-05-19T19:50:00.000Z",0,93.46,9799801
"2026-05-19T19:55:00.000Z",0,93.05,9757446
"2026-05-19T20:00:00.000Z",0,93.03,9754911
"2026-05-19T20:05:00.000Z",0,93.07,9759284
"2026-05-19T20:10:00.000Z",0,92.77,9727713
"2026-05-19T20:15:00.000Z",0,93.12,9764069
"2026-05-19T20:20:00.000Z",0,92.56,9706072
"2026-05-19T20:25:00.000Z",0,91.34,9577241
"2026-05-19T20:30:00.000Z",0,91.62,9607256
"2026-05-19T20:35:00.000Z",0,90.92,9533690
"2026-05-19T20:40:00.000Z",0,91.19,9562068
"2026-05-19T20:45:00.000Z",0,91.63,9608045
"2026-05-19T20:50:00.000Z",0,91.54,9598962
"2026-05-19T20:55:00.000Z",0,91.86,9632640
"2026-05-19T21:00:00.000Z",0,93.01,9753070
"2026-05-19T21:05:00.000Z",0,93.11,9763249
"2026-05-19T21:10:00.000Z",0,93.56,9810404
"2026-05-19T21:15:00.000Z",0,93.21,9774058
"2026-05-19T21:20:00.000Z",0,92.68,9718149
"2026-05-19T21:25:00.000Z",0,92.74,9724444
"2026-05-19T21:30:00.000Z",0,92.26,9673642
"2026-05-19T21:35:00.000Z",0,91.7,9615775
"2026-05-19T21:40:00.000Z",0,91.65,9610003
"2026-05-19T21:45:00.000Z",0,92.66,9716679
"2026-05-19T21:50:00.000Z",0,92.18,9665465
"2026-05-19T21:55:00.000Z",0,92.28,9676194
"2026-05-19T22:00:00.000Z",0,92.6,9709910
"2026-05-19T22:05:00.000Z",0,92.89,9739922
"2026-05-19T22:10:00.000Z",0,92.77,9727212
"2026-05-19T22:15:00.000Z",0,92.71,9721003
"2026-05-19T22:20:00.000Z",0,92.6,9709356
"2026-05-19T22:25:00.000Z",0,92.14,9662194
"2026-05-19T22:30:00.000Z",0,91.73,9618364
"2026-05-19T22:35:00.000Z",0,91,9542109
"2026-05-19T22:40:00.000Z",0,92.08,9655760
"2026-05-19T22:45:00.000Z",0,92.39,9688038
"2026-05-19T22:50:00.000Z",0,92.5,9699262
"2026-05-19T22:55:00.000Z",0,92.56,9705824
"2026-05-19T23:00:00.000Z",0,92.76,9727042
"2026-05-19T23:05:00.000Z",0,92.73,9723632
"2026-05-19T23:10:00.000Z",0,92.8,9730760
"2026-05-19T23:15:00.000Z",0,92.75,9725781
"2026-05-19T23:20:00.000Z",0,92.63,9713348
"2026-05-19T23:25:00.000Z",0,92.49,9698744
"2026-05-19T23:30:00.000Z",0,91.47,9590999
"2026-05-19T23:35:00.000Z",0,90.49,9488796
"2026-05-19T23:40:00.000Z",0,90.68,9508441
"2026-05-19T23:45:00.000Z",0,91.03,9545661
"2026-05-19T23:50:00.000Z",0,91.37,9580470
"2026-05-19T23:55:00.000Z",0,91.49,9593678
"2026-05-20T00:00:00.000Z",0,92.06,9652672
"2026-05-20T00:05:00.000Z",0,92.26,9674214
"2026-05-20T00:10:00.000Z",0,92.17,9665093
"2026-05-20T00:15:00.000Z",0,92.58,9707841
"2026-05-20T00:20:00.000Z",0,92.65,9715157
"2026-05-20T00:25:00.000Z",0,92.28,9676626
"2026-05-20T00:30:00.000Z",0,91.88,9634842
"2026-05-20T00:35:00.000Z",0,91.71,9617029
"2026-05-20T00:40:00.000Z",0,91.2,9563235
"2026-05-20T00:45:00.000Z",0,91.33,9577104
"2026-05-20T00:50:00.000Z",0,91.46,9589946
"2026-05-20T00:55:00.000Z",0,91.41,9585130
"2026-05-20T01:00:00.000Z",0,92.29,9677313
"2026-05-20T01:05:00.000Z",0,92.29,9677137
"2026-05-20T01:10:00.000Z",0,92.13,9660483
"2026-05-20T01:15:00.000Z",0,93.03,9754856
"2026-05-20T01:20:00.000Z",0,90.79,9520629
"2026-05-20T01:25:00.000Z",0,89.11,9343585
"2026-05-20T01:30:00.000Z",0,88.43,9273221
"2026-05-20T01:35:00.000Z",0,88.62,9292952
"2026-05-20T01:40:00.000Z",0,88.01,9228339
"2026-05-20T01:45:00.000Z",0,88.38,9266978
"2026-05-20T01:50:00.000Z",0,89.02,9334352
"2026-05-20T01:55:00.000Z",0,89.59,9394151
"2026-05-20T02:00:00.000Z",0,90.1,9447452
"2026-05-20T02:05:00.000Z",0,91.42,9586131
"2026-05-20T02:10:00.000Z",0,91.44,9588718
"2026-05-20T02:15:00.000Z",0,92.03,9650419
"2026-05-20T02:20:00.000Z",0,92.09,9655861
"2026-05-20T02:25:00.000Z",0,90.8,9521478
"2026-05-20T02:30:00.000Z",0,89.67,9402692
"2026-05-20T02:35:00.000Z",0,91.96,9642829
"2026-05-20T02:40:00.000Z",0,91.8,9625863
"2026-05-20T02:45:00.000Z",0,89.25,9358473
"2026-05-20T02:50:00.000Z",0,88.97,9329833
"2026-05-20T02:55:00.000Z",0,88.8,9311582
"2026-05-20T03:00:00.000Z",0,88.96,9328027
"2026-05-20T03:05:00.000Z",0,90.34,9473256
"2026-05-20T03:10:00.000Z",0,91.52,9596596
"2026-05-20T03:15:00.000Z",0,92.06,9653692
"2026-05-20T03:20:00.000Z",0,92.75,9725929
"2026-05-20T03:25:00.000Z",0,92.43,9692586
"2026-05-20T03:30:00.000Z",0,91.36,9579516
"2026-05-20T03:35:00.000Z",0,90.72,9512721
"2026-05-20T03:40:00.000Z",0,91.15,9558038
"2026-05-20T03:45:00.000Z",0,92.44,9693080
"2026-05-20T03:50:00.000Z",0,92.07,9654778
"2026-05-20T03:55:00.000Z",0,91.7,9615043
"2026-05-20T04:00:00.000Z",0,91.88,9634518
"2026-05-20T04:05:00.000Z",0,92.63,9712877
"2026-05-20T04:10:00.000Z",0,92.53,9702814
"2026-05-20T04:15:00.000Z",0,92.67,9717395
"2026-05-20T04:20:00.000Z",0,92.6,9710341
"2026-05-20T04:25:00.000Z",0,92.55,9705166
"2026-05-20T04:30:00.000Z",0,91.9,9636843
"2026-05-20T04:35:00.000Z",0,91.25,9567964
"2026-05-20T04:40:00.000Z",0,91.33,9576274
"2026-05-20T04:45:00.000Z",0,91.08,9550307
"2026-05-20T04:50:00.000Z",0,91.05,9547830
"2026-05-20T04:55:00.000Z",0,91.26,9569005
"2026-05-20T05:00:00.000Z",0,91.76,9622418
"2026-05-20T05:05:00.000Z",0,92.5,9699445
"2026-05-20T05:10:00.000Z",0,92.5,9699617
"2026-05-20T05:15:00.000Z",0,92.51,9700551
"2026-05-20T05:20:00.000Z",0,92.54,9703573
"2026-05-20T05:25:00.000Z",0,91.93,9639350
"2026-05-20T05:30:00.000Z",0,90.1,9447965
"2026-05-20T05:35:00.000Z",0,90.01,9438124
"2026-05-20T05:40:00.000Z",0,90.31,9469679
"2026-05-20T05:45:00.000Z",0,90.34,9472770
"2026-05-20T05:50:00.000Z",0,90.18,9456125
"2026-05-20T05:55:00.000Z",0,90.4,9479277
"2026-05-20T06:00:00.000Z",0,91.1,9552395
"2026-05-20T06:05:00.000Z",0,92.09,9656228
"2026-05-20T06:10:00.000Z",0,92.37,9685892
"2026-05-20T06:15:00.000Z",0,92.53,9702514
"2026-05-20T06:20:00.000Z",0,92.46,9695124
"2026-05-20T06:25:00.000Z",0,92.11,9658543
"2026-05-20T06:30:00.000Z",0,91.14,9556442
"2026-05-20T06:35:00.000Z",0,90.61,9500842
"2026-05-20T06:40:00.000Z",0,90.62,9502568
"2026-05-20T06:45:00.000Z",0,90.34,9472757
"2026-05-20T06:50:00.000Z",0,90.11,9449023
"2026-05-20T06:55:00.000Z",0,90.31,9469380
"2026-05-20T07:00:00.000Z",0,91.35,9578348
"2026-05-20T07:05:00.000Z",0,92.51,9700857
"2026-05-20T07:10:00.000Z",0,92.55,9704590
"2026-05-20T07:15:00.000Z",0,92.61,9710944
"2026-05-20T07:20:00.000Z",0,92.37,9685525
"2026-05-20T07:25:00.000Z",0,92.02,9649676
"2026-05-20T07:30:00.000Z",0,91.41,9585644
"2026-05-20T07:35:00.000Z",0,91.04,9546648
"2026-05-20T07:40:00.000Z",0,90.54,9494114
"2026-05-20T07:45:00.000Z",0,90.51,9490788
"2026-05-20T07:50:00.000Z",0,90.61,9501380
"2026-05-20T07:55:00.000Z",0,90.6,9500406
"2026-05-20T08:00:00.000Z",0,91.36,9579884
"2026-05-20T08:05:00.000Z",0,92.78,9728276
"2026-05-20T08:10:00.000Z",0,92.76,9726711
"2026-05-20T08:15:00.000Z",0,92.81,9732479
"2026-05-20T08:20:00.000Z",0,92.1,9657742
"2026-05-20T08:25:00.000Z",0,91.34,9577280
"2026-05-20T08:30:00.000Z",0,91.06,9548858
"2026-05-20T08:35:00.000Z",0,90.81,9522122
"2026-05-20T08:40:00.000Z",0,91.32,9575934
"2026-05-20T08:45:00.000Z",0,91.48,9592080
"2026-05-20T08:50:00.000Z",0,91.9,9636230
