"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-22T07:23:00.000Z",16.68,20.3,15.24,21.91,9.25,3136
"2026-05-22T07:23:20.000Z",21.45,26.64,19.08,24,16.08,4033
"2026-05-22T07:23:40.000Z",16.74,25.97,7.07,24.79,9.13,3148
"2026-05-22T07:24:00.000Z",15.68,21.23,10.16,21.01,10.32,2948
"2026-05-22T07:24:20.000Z",19.41,24.34,6.64,23.09,23.57,3650
"2026-05-22T07:24:40.000Z",19.37,24.64,19,24.4,9.43,3642
"2026-05-22T07:25:00.000Z",18.71,22.77,23.76,17.92,10.38,3517
"2026-05-22T07:25:20.000Z",18.33,19.71,24.41,17.06,12.13,3446
"2026-05-22T07:25:40.000Z",15.54,21.63,9.68,24.72,6.12,2922
"2026-05-22T07:26:00.000Z",18.93,21.62,9.52,20.19,24.38,3559
"2026-05-22T07:26:20.000Z",20.17,22.86,23.51,23.52,10.79,3792
"2026-05-22T07:26:40.000Z",21.04,22.32,7.16,21.33,33.34,3955
"2026-05-22T07:27:00.000Z",22.7,24.15,8,25.59,33.06,4268
"2026-05-22T07:27:20.000Z",19.86,22.31,10.01,23.41,23.7,3734
"2026-05-22T07:27:40.000Z",16.51,22.38,8.73,20.64,14.3,3105
"2026-05-22T07:28:00.000Z",16.21,20.35,8.97,22.27,13.26,3048
"2026-05-22T07:28:20.000Z",15.72,21.41,12.93,21.73,6.81,2956
"2026-05-22T07:28:40.000Z",17.72,23.96,9.3,24.11,13.5,3332
"2026-05-22T07:29:00.000Z",18.08,20.06,19.53,23.14,9.57,3399
"2026-05-22T07:29:20.000Z",22,22.74,8.03,21.18,36.05,4136
"2026-05-22T07:29:40.000Z",18.45,21.9,16.49,19.86,15.56,3469
"2026-05-22T07:30:00.000Z",17.34,26.58,10.82,23.2,8.77,3261
"2026-05-22T07:30:20.000Z",22.31,24.09,35.84,22.63,6.67,4194
"2026-05-22T07:30:40.000Z",21.26,22.93,33.62,21.94,6.56,3998
"2026-05-22T07:31:00.000Z",18.07,23.46,9.77,21.94,17.13,3399
"2026-05-22T07:31:20.000Z",18.08,19.95,13.3,21,18.05,3399
"2026-05-22T07:31:40.000Z",22.31,22.53,32.6,22.7,11.41,4194
"2026-05-22T07:32:00.000Z",19.13,22.68,8.13,24.43,21.3,3597
"2026-05-22T07:32:20.000Z",18.14,20.56,23.12,19.77,9.11,3411
"2026-05-22T07:32:40.000Z",20.62,10.6,29.9,25.12,16.85,3876
"2026-05-22T07:33:00.000Z",22.09,25.15,7.84,20.42,34.94,4153
"2026-05-22T07:33:20.000Z",21.46,26.82,8.71,26.14,24.18,4036
"2026-05-22T07:33:40.000Z",22.81,26.14,7.56,26.02,31.52,4289
"2026-05-22T07:34:00.000Z",18.61,23.24,9.77,21.47,19.94,3498
"2026-05-22T07:34:20.000Z",19.38,21.43,21.52,21.75,12.84,3645
"2026-05-22T07:34:40.000Z",22.27,23.85,7.54,23.43,34.26,4187
"2026-05-22T07:35:00.000Z",18.33,22.43,6.38,20.74,23.75,3446
"2026-05-22T07:35:20.000Z",22.47,22.15,11.01,21.84,34.89,4225
"2026-05-22T07:35:40.000Z",18.04,21.59,11.93,20.36,18.28,3392
"2026-05-22T07:36:00.000Z",18.67,20.69,7.52,20.82,25.67,3511
"2026-05-22T07:36:20.000Z",17.63,21.07,19.76,19.18,10.51,3315
"2026-05-22T07:36:40.000Z",18.41,22.78,6.67,21.48,22.7,3461
"2026-05-22T07:37:00.000Z",19.98,24.6,6.91,25.4,23,3756
"2026-05-22T07:37:20.000Z",15.43,24.2,9.95,21.79,5.77,2901
"2026-05-22T07:37:40.000Z",18.6,21.24,20,20.45,12.7,3496
"2026-05-22T07:38:00.000Z",15.44,28.76,4.83,23.03,5.12,2903
"2026-05-22T07:38:20.000Z",20.69,27.96,6.2,22.73,25.89,3891
"2026-05-22T07:38:40.000Z",15.98,22.61,5.03,23.2,13.09,3005
"2026-05-22T07:39:00.000Z",19.61,22.63,10.11,21.52,24.19,3687
"2026-05-22T07:39:20.000Z",19.58,23.28,6.37,21.57,27.1,3682
"2026-05-22T07:39:40.000Z",17.56,22.34,6.83,17.73,23.34,3302
"2026-05-22T07:40:00.000Z",18.49,21.05,25.96,18.99,7.97,3477
"2026-05-22T07:40:20.000Z",15.28,22.97,5.56,22.76,9.83,2873
"2026-05-22T07:40:40.000Z",18.68,21.88,12.72,20.43,19.67,3512
"2026-05-22T07:41:00.000Z",15.94,19.93,6.26,18.52,19.05,2997
"2026-05-22T07:41:20.000Z",21.07,22.85,23.23,18.89,19.29,3961
"2026-05-22T07:41:40.000Z",17.59,22.83,7.07,19,21.46,3307
"2026-05-22T07:42:00.000Z",15.78,21.9,5.82,22.32,13.1,2968
"2026-05-22T07:42:20.000Z",21.89,23.01,20.38,20.76,23.41,4116
"2026-05-22T07:42:40.000Z",17.65,20.48,6.59,20.48,23.03,3318
"2026-05-22T07:43:00.000Z",16.81,24.1,12.42,20.32,10.4,3161
"2026-05-22T07:43:20.000Z",21.8,22.34,22.87,22.24,19.73,4098
"2026-05-22T07:43:40.000Z",18.56,23.09,18.97,23.91,8.27,3490
"2026-05-22T07:44:00.000Z",14.58,21.96,5.82,23.64,6.9,2741
"2026-05-22T07:44:20.000Z",22.29,23.61,21,22.34,22.19,4190
"2026-05-22T07:44:40.000Z",19.55,24.63,6.02,23,24.57,3677
"2026-05-22T07:45:00.000Z",17.22,21.59,13.19,25.01,9.11,3238
"2026-05-22T07:45:20.000Z",16.19,21.8,5.77,23.63,13.58,3045
"2026-05-22T07:45:40.000Z",21.5,26.33,9.01,26.14,24.52,4043
"2026-05-22T07:46:00.000Z",18.11,25.83,6.91,31.01,8.67,3405
"2026-05-22T07:46:20.000Z",21.51,21.6,25.82,22.12,16.53,4045
"2026-05-22T07:46:40.000Z",17.31,24.18,9.73,26.48,8.86,3255
"2026-05-22T07:47:00.000Z",20.76,28.54,9.59,28.09,16.81,3903
"2026-05-22T07:47:20.000Z",17.17,24.97,9.01,23.25,11.43,3228
"2026-05-22T07:47:40.000Z",17.11,24.87,9.02,24.12,10.43,3217
"2026-05-22T07:48:00.000Z",18.75,24.68,19.65,23.7,6.96,3525
"2026-05-22T07:48:20.000Z",21.86,25.6,6.92,25.56,29.34,4109
"2026-05-22T07:48:40.000Z",20.31,23.47,10.34,26.62,20.8,3818
"2026-05-22T07:49:00.000Z",19.27,26.54,11.35,26.31,12.89,3624
"2026-05-22T07:49:20.000Z",17.51,27.37,8.6,25.51,8.53,3291
"2026-05-22T07:49:40.000Z",21.37,33.28,17.22,26.59,8.4,4019
"2026-05-22T07:50:00.000Z",20.56,25.31,20.83,25.18,10.93,3866
"2026-05-22T07:50:20.000Z",25.04,35.76,15.13,25.63,23.65,4708
