"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-22T07:23:00.000Z",4477504,2296652,8237780,30412,0,92.95,9745768
"2026-05-22T07:23:20.000Z",4452552,2295648,8242560,30688,0,92.93,9743776
"2026-05-22T07:23:40.000Z",4452544,2294744,8252620,30920,0,93.02,9753012
"2026-05-22T07:24:00.000Z",4221752,2294712,8246080,31332,0,92.91,9742236
"2026-05-22T07:24:20.000Z",4221380,2294400,8257252,32240,0,92.88,9738264
"2026-05-22T07:24:40.000Z",4222116,2289352,8270992,31452,0,93,9751004
"2026-05-22T07:25:00.000Z",4033660,2289296,8274924,32060,0,93.03,9754396
"2026-05-22T07:25:20.000Z",3970724,2288848,8277816,32512,0,93.03,9754376
"2026-05-22T07:25:40.000Z",3966408,2288536,8283476,32880,0,93.02,9753212
"2026-05-22T07:26:00.000Z",4018040,2314836,8276944,33268,0,92.85,9735404
"2026-05-22T07:26:20.000Z",3996632,2312648,8291560,33984,0,92.97,9747724
"2026-05-22T07:26:40.000Z",3998344,2343680,8300108,33700,0,92.81,9731408
"2026-05-22T07:27:00.000Z",4125236,2343296,8297384,34116,0,92.88,9738684
"2026-05-22T07:27:20.000Z",4145296,2351476,8307992,33840,0,92.88,9738568
"2026-05-22T07:27:40.000Z",4144816,2348168,8319976,34508,0,92.97,9748428
"2026-05-22T07:28:00.000Z",4155852,2347584,8324532,34988,0,92.94,9744680
"2026-05-22T07:28:20.000Z",4026200,2343540,8315116,34968,0,92.86,9736552
"2026-05-22T07:28:40.000Z",4061160,2341536,8321008,35204,0,92.89,9739728
"2026-05-22T07:29:00.000Z",4050724,2340860,8323696,35572,0,92.87,9737528
"2026-05-22T07:29:20.000Z",3988492,2340004,8326456,36220,0,92.81,9730932
"2026-05-22T07:29:40.000Z",3983560,2326636,8363520,36572,0,93.19,9770812
"2026-05-22T07:30:00.000Z",4088468,2358100,8342092,37416,0,92.89,9740288
"2026-05-22T07:30:20.000Z",4276256,2364252,8344672,37936,0,92.85,9735944
"2026-05-22T07:30:40.000Z",4266648,2371564,8351052,37836,0,92.83,9733680
"2026-05-22T07:31:00.000Z",4193396,2369260,8356380,38468,0,92.81,9731568
"2026-05-22T07:31:20.000Z",3941440,2362748,8367516,38768,0,92.94,9744720
"2026-05-22T07:31:40.000Z",3943656,2359604,8376952,39628,0,92.91,9741852
"2026-05-22T07:32:00.000Z",3955280,2357504,8385320,40140,0,92.94,9744552
"2026-05-22T07:32:20.000Z",3912164,2357196,8386336,40772,0,92.91,9741628
"2026-05-22T07:32:40.000Z",3907660,2356452,8388092,40540,0,92.95,9746292
"2026-05-22T07:33:00.000Z",3877084,2433300,8387188,41144,0,92.58,9707552
"2026-05-22T07:33:20.000Z",3897640,2432832,8389100,41680,0,92.6,9708964
"2026-05-22T07:33:40.000Z",3901876,2431848,8392288,41824,0,92.59,9708428
"2026-05-22T07:34:00.000Z",3850356,2431420,8393532,42108,0,92.58,9707292
"2026-05-22T07:34:20.000Z",4081320,2427908,8403740,43240,0,92.6,9709860
"2026-05-22T07:34:40.000Z",4080044,2427208,8405732,43372,0,92.59,9707984
"2026-05-22T07:35:00.000Z",4058904,2498484,8395540,43828,0,92.19,9666208
"2026-05-22T07:35:20.000Z",4229536,2497572,8315972,43640,0,91.41,9585092
"2026-05-22T07:35:40.000Z",4231232,2496592,8319700,43960,0,91.57,9601576
"2026-05-22T07:36:00.000Z",4230648,2496292,8320616,44068,0,91.54,9598700
"2026-05-22T07:36:20.000Z",4084364,2495628,8322452,44468,0,91.42,9586020
"2026-05-22T07:36:40.000Z",4089428,2495224,8323356,44724,0,91.46,9589936
"2026-05-22T07:37:00.000Z",4130680,2492272,8328880,45544,0,91.49,9593060
"2026-05-22T07:37:20.000Z",3816452,2491632,8330028,45640,0,91.44,9587868
"2026-05-22T07:37:40.000Z",3812620,2491388,8330596,45960,0,91.39,9582512
"2026-05-22T07:38:00.000Z",3749708,2491148,8331088,47012,0,91.41,9584820
"2026-05-22T07:38:20.000Z",3791956,2484828,8343576,47092,0,91.57,9601892
"2026-05-22T07:38:40.000Z",4104844,2484424,8344380,47896,0,91.44,9588272
"2026-05-22T07:39:00.000Z",4146784,2493480,8332340,48060,0,91.33,9575744
"2026-05-22T07:39:20.000Z",4188736,2492656,8334148,48444,0,91.32,9575204
"2026-05-22T07:39:40.000Z",3747476,2491572,8336420,48668,0,91.36,9578892
