"Time","Usage for 2","Usage for 0","Usage for esxidr.hbmsolutions.mt","Usage for 1","Usage for 3","Usage in MHz for esxidr.hbmsolutions.mt"
"2026-05-22T21:07:20.000Z",3.84,0.95,2.59,1.06,4.51,487
"2026-05-22T21:07:40.000Z",4.9,0.93,2.71,0.86,4.14,509
"2026-05-22T21:08:00.000Z",4.47,0.74,2.47,0.88,3.78,464
"2026-05-22T21:08:20.000Z",4.36,0.81,2.54,0.84,4.16,478
"2026-05-22T21:08:40.000Z",4.89,1.12,2.9,0.8,4.78,545
"2026-05-22T21:09:00.000Z",4.39,0.84,2.11,0.57,2.63,396
"2026-05-22T21:09:20.000Z",4.24,0.7,2.16,0.98,2.73,407
"2026-05-22T21:09:40.000Z",3.35,1.54,2.26,1.47,2.69,426
"2026-05-22T21:10:00.000Z",1.89,1.96,2.23,1.93,3.13,420
"2026-05-22T21:10:20.000Z",3.4,1.15,2.58,1.06,4.69,485
"2026-05-22T21:10:40.000Z",2.91,1.3,2.53,0.74,5.16,476
"2026-05-22T21:11:00.000Z",3.32,1.12,2.22,0.86,3.58,418
"2026-05-22T21:11:20.000Z",3.32,0.83,2.19,0.71,3.89,412
"2026-05-22T21:11:40.000Z",3.57,0.95,2.18,0.76,3.44,410
"2026-05-22T21:12:00.000Z",4.02,0.88,2.42,0.93,3.86,456
"2026-05-22T21:12:20.000Z",3.19,0.56,2.05,0.93,3.53,387
"2026-05-22T21:12:40.000Z",3.6,0.92,2.13,0.79,3.23,401
"2026-05-22T21:13:00.000Z",3.81,1.09,2.21,0.83,3.13,417
"2026-05-22T21:13:20.000Z",3.78,0.8,2.28,0.91,3.62,429
"2026-05-22T21:13:40.000Z",2.63,0.99,2.21,0.68,4.55,417
"2026-05-22T21:14:00.000Z",2.41,0.95,2.21,0.75,4.73,416
"2026-05-22T21:14:20.000Z",3.36,0.69,2.43,1.16,4.53,458
"2026-05-22T21:14:40.000Z",2.32,0.86,2.19,0.89,4.7,412
"2026-05-22T21:15:00.000Z",2.85,1.17,2.41,0.84,4.77,453
"2026-05-22T21:15:20.000Z",4.68,1.23,2.63,1.17,3.43,494
"2026-05-22T21:15:40.000Z",4.2,1.25,2.75,1.05,4.51,518
"2026-05-22T21:16:00.000Z",3.89,1.15,2.42,1.17,3.48,456
"2026-05-22T21:16:20.000Z",4.8,1.22,2.95,1.4,4.38,555
"2026-05-22T21:16:40.000Z",3.84,1.11,2.69,1.28,4.53,506
"2026-05-22T21:17:00.000Z",4.12,1.05,2.7,1.26,4.37,508
"2026-05-22T21:17:20.000Z",4.72,1.18,2.57,0.98,3.39,483
"2026-05-22T21:17:40.000Z",3.69,0.93,2.35,0.9,3.86,441
"2026-05-22T21:18:00.000Z",3.09,1,2.22,0.79,4,418
"2026-05-22T21:18:20.000Z",3.07,0.83,2.14,0.88,3.79,403
"2026-05-22T21:18:40.000Z",3.04,0.87,2.21,0.96,3.98,416
"2026-05-22T21:19:00.000Z",3.82,1.33,2.56,0.99,4.1,482
"2026-05-22T21:19:20.000Z",3.46,1.17,2.37,0.87,3.96,445
"2026-05-22T21:19:40.000Z",3.75,1.22,2.66,1.25,4.44,501
"2026-05-22T21:20:00.000Z",4.32,1.2,2.66,1.3,3.81,500
"2026-05-22T21:20:20.000Z",2.88,2.3,2.86,3,3.25,538
"2026-05-22T21:20:40.000Z",2.79,1.76,3,3.78,3.67,564
"2026-05-22T21:21:00.000Z",2.69,2.66,2.62,2.36,2.76,493
"2026-05-22T21:21:20.000Z",2.61,2.92,2.76,2.21,3.3,519
"2026-05-22T21:21:40.000Z",3.17,2.58,3.02,2.5,3.84,568
"2026-05-22T21:22:00.000Z",7.53,3.61,4.79,4.07,3.95,901
"2026-05-22T21:22:20.000Z",3.32,2.1,3.05,2.98,3.8,574
"2026-05-22T21:22:40.000Z",3.36,2.64,2.65,1.92,2.68,499
"2026-05-22T21:23:00.000Z",2.33,2.57,2.53,2.22,3,476
"2026-05-22T21:23:20.000Z",2.4,1.85,2.3,2.64,2.3,432
"2026-05-22T21:23:40.000Z",2.62,2.21,2.47,2.54,2.51,465
"2026-05-22T21:24:00.000Z",2.53,2.11,2.48,2.67,2.6,466
"2026-05-22T21:24:20.000Z",3.14,2.93,2.61,1.47,2.9,491
"2026-05-22T21:24:40.000Z",4.56,1.42,3.26,3.55,3.5,613
"2026-05-22T21:25:00.000Z",3.08,1.63,2.66,2.81,3.13,501
"2026-05-22T21:25:20.000Z",3.52,1.79,2.78,2.99,2.82,523
"2026-05-22T21:25:40.000Z",3.31,2.1,2.91,3.25,3.01,548
"2026-05-22T21:26:00.000Z",3.28,2.72,2.76,1.69,3.36,520
"2026-05-22T21:26:20.000Z",3.9,2.21,3.1,2.39,3.89,583
"2026-05-22T21:26:40.000Z",3.89,1.7,3.17,3.67,3.4,596
"2026-05-22T21:27:00.000Z",2.88,1.64,2.52,2.78,2.78,474
"2026-05-22T21:27:20.000Z",2.85,2.02,2.58,2.27,3.18,485
"2026-05-22T21:27:40.000Z",2.58,1.42,2.51,2.94,3.09,472
"2026-05-22T21:28:00.000Z",3.15,1.34,2.85,3.13,3.79,536
"2026-05-22T21:28:20.000Z",2.62,1.51,2.6,2.53,3.77,490
"2026-05-22T21:28:40.000Z",2.62,1.64,2.66,2.69,3.71,501
"2026-05-22T21:29:00.000Z",2.39,1.34,2.72,3.81,3.35,512
"2026-05-22T21:29:20.000Z",2.99,1.93,2.52,2.34,2.8,474
"2026-05-22T21:29:40.000Z",3.74,2.98,3.15,1.61,4.29,593
"2026-05-22T21:30:00.000Z",3.29,1.85,3,3.46,3.4,565
"2026-05-22T21:30:20.000Z",3.89,2.22,3.07,3.02,3.13,577
"2026-05-22T21:30:40.000Z",3.15,1.37,2.64,3.77,2.25,496
"2026-05-22T21:31:00.000Z",3.15,2.07,2.87,2.57,3.71,541
"2026-05-22T21:31:20.000Z",2.49,2.42,2.69,2.27,3.57,506
"2026-05-22T21:31:40.000Z",2.58,3.11,2.69,1.52,3.56,507
"2026-05-22T21:32:00.000Z",3.65,1.82,2.89,2.79,3.31,544
"2026-05-22T21:32:20.000Z",3.16,3.06,2.51,1.5,2.31,472
"2026-05-22T21:32:40.000Z",3.35,1.49,2.91,3.25,3.55,547
"2026-05-22T21:33:00.000Z",3.31,2.62,2.94,2.58,3.24,552
"2026-05-22T21:33:20.000Z",3.48,1.83,2.73,2.78,2.85,515
"2026-05-22T21:33:40.000Z",2.8,2.92,2.46,1.47,2.63,462
"2026-05-22T21:34:00.000Z",2.86,1.96,2.46,2.44,2.59,463
"2026-05-22T21:34:20.000Z",1.97,1.11,2.2,3.1,2.64,415
"2026-05-22T21:34:40.000Z",2.84,1.76,2.9,3.21,3.8,546
"2026-05-22T21:35:00.000Z",2.98,2.04,2.68,2.62,3.08,504
"2026-05-22T21:35:20.000Z",3.54,2.18,3.1,3,3.67,583
"2026-05-22T21:35:40.000Z",2.36,4.43,3.13,4.32,1.4,588
"2026-05-22T21:36:00.000Z",1.12,4.67,2.71,4.39,0.65,509
"2026-05-22T21:36:20.000Z",0.87,3.64,2.48,4.83,0.58,466
"2026-05-22T21:36:40.000Z",0.86,4.88,2.75,4.48,0.77,517
"2026-05-22T21:37:00.000Z",1.06,3.64,2.78,5.67,0.75,523
"2026-05-22T21:37:20.000Z",0.95,5.47,2.83,4.24,0.68,533
"2026-05-22T21:37:40.000Z",0.91,5.11,2.67,3.97,0.68,502
"2026-05-22T21:38:00.000Z",0.98,4.29,2.71,4.82,0.77,511
"2026-05-22T21:38:20.000Z",0.81,4.24,2.55,4.57,0.59,480
"2026-05-22T21:38:40.000Z",0.61,4.29,2.4,3.99,0.73,452
"2026-05-22T21:39:00.000Z",0.89,4.5,2.97,5.69,0.79,558
"2026-05-22T21:39:20.000Z",0.54,4.1,2.65,5.02,0.92,498
"2026-05-22T21:39:40.000Z",0.68,3.91,2.6,4.97,0.83,489
"2026-05-22T21:40:00.000Z",0.84,3.61,2.42,4.39,0.85,456
"2026-05-22T21:40:20.000Z",0.78,4.5,2.93,5.32,1.14,552
"2026-05-22T21:40:40.000Z",1.03,3.84,2.77,5.36,0.84,521
"2026-05-22T21:41:00.000Z",0.91,4.12,2.61,4.75,0.68,492
"2026-05-22T21:41:20.000Z",0.8,4.59,2.66,4.64,0.61,500
"2026-05-22T21:41:40.000Z",0.79,5.33,2.79,4.26,0.79,525
"2026-05-22T21:42:00.000Z",0.79,4.01,2.34,3.83,0.72,440
"2026-05-22T21:42:20.000Z",0.83,3.93,2.65,5.19,0.67,500
"2026-05-22T21:42:40.000Z",0.9,3.79,2.82,5.86,0.72,530
"2026-05-22T21:43:00.000Z",0.68,3.61,2.13,3.56,0.68,401
"2026-05-22T21:43:20.000Z",0.92,3.89,2.5,4.58,0.62,471
"2026-05-22T21:43:40.000Z",0.55,2.31,1.92,4.3,0.53,362
"2026-05-22T21:44:00.000Z",0.53,3.85,1.94,2.66,0.72,365
"2026-05-22T21:44:20.000Z",0.99,3.97,2.28,3.13,1.01,428
"2026-05-22T21:44:40.000Z",0.65,3.2,1.93,3.29,0.59,364
"2026-05-22T21:45:00.000Z",0.68,1.86,1.97,4.81,0.53,371
"2026-05-22T21:45:20.000Z",0.68,2.88,2.18,4.31,0.86,411
"2026-05-22T21:45:40.000Z",0.64,2.71,2.07,4.19,0.72,389
"2026-05-22T21:46:00.000Z",0.54,3.17,1.96,3.66,0.46,368
"2026-05-22T21:46:20.000Z",0.47,3.52,2,3.34,0.69,377
"2026-05-22T21:46:40.000Z",0.54,1.77,1.97,4.92,0.66,371
"2026-05-22T21:47:00.000Z",0.62,2.77,1.87,3.53,0.56,352
"2026-05-22T21:47:20.000Z",0.27,0.27,0.86,2.66,0.24,162
"2026-05-22T21:47:40.000Z",0.42,0.25,1.16,3.52,0.43,218
"2026-05-22T21:48:00.000Z",0.7,0.51,1.18,2.85,0.66,222
"2026-05-22T21:48:20.000Z",0.32,1.68,0.87,1.29,0.19,164
"2026-05-22T21:48:40.000Z",0.35,2.91,0.96,0.37,0.21,181
"2026-05-22T21:49:00.000Z",0.33,1.08,0.93,1.98,0.33,175
"2026-05-22T21:49:20.000Z",0.27,2.09,1.02,1.44,0.27,192
"2026-05-22T21:49:40.000Z",1.31,2.82,2.23,3.39,1.41,420
"2026-05-22T21:50:00.000Z",0.84,0.84,1.37,2.94,0.87,258
"2026-05-22T21:50:20.000Z",0.4,3.12,1.15,0.68,0.42,218
"2026-05-22T21:50:40.000Z",0.53,3.96,1.44,0.37,0.89,271
"2026-05-22T21:51:00.000Z",1,4.57,2.26,2.45,1.02,425
"2026-05-22T21:51:20.000Z",1.15,4.51,2.35,2.42,1.31,441
"2026-05-22T21:51:40.000Z",0.67,5.51,2.16,1.64,0.83,407
"2026-05-22T21:52:00.000Z",0.79,2.91,1.97,3.54,0.66,372
"2026-05-22T21:52:20.000Z",0.86,3.09,1.94,3.16,0.67,366
"2026-05-22T21:52:40.000Z",0.78,4.78,2.1,2.11,0.73,395
"2026-05-22T21:53:00.000Z",0.61,1.99,1.74,3.64,0.72,328
"2026-05-22T21:53:20.000Z",0.26,0.21,0.87,2.63,0.39,164
"2026-05-22T21:53:40.000Z",0.74,1.45,1.28,2.08,0.85,241
"2026-05-22T21:54:00.000Z",0.34,2.89,1.01,0.29,0.51,190
"2026-05-22T21:54:20.000Z",0.26,2.75,0.94,0.3,0.46,178
"2026-05-22T21:54:40.000Z",0.32,2.82,0.95,0.23,0.43,179
"2026-05-22T21:55:00.000Z",1.9,1.46,2.52,5,1.73,475
"2026-05-22T21:55:20.000Z",0.84,0.85,1.27,2.77,0.6,238
"2026-05-22T21:55:40.000Z",0.23,0.67,1.1,3.26,0.27,208
"2026-05-22T21:56:00.000Z",0.37,3.9,1.65,1.79,0.56,311
"2026-05-22T21:56:20.000Z",0.29,0.54,0.92,2.6,0.23,173
"2026-05-22T21:56:40.000Z",1.2,3.01,2.84,5.18,1.96,534
"2026-05-22T21:57:00.000Z",0.27,2.88,1.02,0.5,0.42,192
"2026-05-22T21:57:20.000Z",0.45,3.34,1.31,0.79,0.67,247
"2026-05-22T21:57:40.000Z",0.33,0.78,0.98,2.46,0.33,184
"2026-05-22T21:58:00.000Z",0.27,0.48,1.07,3.3,0.24,202
"2026-05-22T21:58:20.000Z",0.37,0.33,0.93,2.8,0.22,175
"2026-05-22T21:58:40.000Z",1.17,4.03,2.25,2.95,0.84,423
"2026-05-22T21:59:00.000Z",0.85,1.82,1.47,2.39,0.81,276
"2026-05-22T21:59:20.000Z",0.36,2.7,0.88,0.2,0.27,166
"2026-05-22T21:59:40.000Z",0.42,1.59,0.99,1.69,0.26,186
"2026-05-22T22:00:00.000Z",0.68,2.9,1.73,2.7,0.64,325
"2026-05-22T22:00:20.000Z",1.51,2.96,2.2,2.82,1.53,414
"2026-05-22T22:00:40.000Z",1.52,3.42,1.97,1.75,1.19,370
"2026-05-22T22:01:00.000Z",0.18,2.64,0.94,0.69,0.23,177
"2026-05-22T22:01:20.000Z",0.86,2.65,2.23,3.71,1.69,419
"2026-05-22T22:01:40.000Z",0.27,0.34,0.91,2.87,0.16,172
"2026-05-22T22:02:00.000Z",0.33,0.38,0.92,2.77,0.21,174
"2026-05-22T22:02:20.000Z",0.23,0.63,0.86,2.35,0.23,162
"2026-05-22T22:02:40.000Z",0.24,0.78,0.95,2.52,0.27,180
"2026-05-22T22:03:00.000Z",1.25,2.02,2.5,5.24,1.5,471
"2026-05-22T22:03:20.000Z",0.92,2.3,1.45,1.74,0.83,273
"2026-05-22T22:03:40.000Z",0.23,2.69,0.92,0.47,0.3,174
"2026-05-22T22:04:00.000Z",0.3,0.75,0.96,2.52,0.29,182
"2026-05-22T22:04:20.000Z",0.57,3.28,1.55,1.66,0.67,291
"2026-05-22T22:04:40.000Z",0.51,2.57,1.22,1.15,0.63,229
"2026-05-22T22:05:00.000Z",2.53,3.98,2.64,2,2.06,497
"2026-05-22T22:05:20.000Z",0.52,0.57,1.08,2.66,0.56,203
"2026-05-22T22:05:40.000Z",1.1,1.29,1.67,3.52,0.75,314
"2026-05-22T22:06:00.000Z",0.47,2.06,1.02,1.26,0.29,192
"2026-05-22T22:06:20.000Z",0.27,0.29,0.88,2.7,0.27,166
"2026-05-22T22:06:40.000Z",0.29,2.49,0.97,0.91,0.21,184
"2026-05-22T22:07:00.000Z",0.38,1.82,1.06,1.85,0.21,200
