"Time","Usage for esxilocal.hbmsolutions.mt","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-21T22:10:00.000Z",16.16,3039
"2026-05-21T22:15:00.000Z",16.6,3121
"2026-05-21T22:20:00.000Z",15.09,2837
"2026-05-21T22:25:00.000Z",14.44,2716
"2026-05-21T22:30:00.000Z",18.87,3547
"2026-05-21T22:35:00.000Z",17.5,3290
"2026-05-21T22:40:00.000Z",16.37,3079
"2026-05-21T22:45:00.000Z",19.69,3703
"2026-05-21T22:50:00.000Z",14.73,2770
"2026-05-21T22:55:00.000Z",14.29,2688
"2026-05-21T23:00:00.000Z",14.49,2724
"2026-05-21T23:05:00.000Z",15.77,2966
"2026-05-21T23:10:00.000Z",16.93,3184
"2026-05-21T23:15:00.000Z",16.57,3116
"2026-05-21T23:20:00.000Z",16.07,3022
"2026-05-21T23:25:00.000Z",15.52,2919
"2026-05-21T23:30:00.000Z",15.06,2833
"2026-05-21T23:35:00.000Z",14.98,2818
"2026-05-21T23:40:00.000Z",15.17,2853
"2026-05-21T23:45:00.000Z",14.41,2710
"2026-05-21T23:50:00.000Z",16.42,3088
"2026-05-21T23:55:00.000Z",14.68,2760
"2026-05-22T00:00:00.000Z",16.37,3077
"2026-05-22T00:05:00.000Z",15.34,2885
"2026-05-22T00:10:00.000Z",15.52,2920
"2026-05-22T00:15:00.000Z",17.09,3213
"2026-05-22T00:20:00.000Z",16.8,3159
"2026-05-22T00:25:00.000Z",14.76,2776
"2026-05-22T00:30:00.000Z",17.05,3207
"2026-05-22T00:35:00.000Z",15.87,2984
"2026-05-22T00:40:00.000Z",14.49,2725
"2026-05-22T00:45:00.000Z",15.32,2881
"2026-05-22T00:50:00.000Z",14.65,2754
"2026-05-22T00:55:00.000Z",14.06,2645
"2026-05-22T01:00:00.000Z",18.82,3538
"2026-05-22T01:05:00.000Z",16.44,3093
"2026-05-22T01:10:00.000Z",15.41,2898
"2026-05-22T01:15:00.000Z",15.68,2949
"2026-05-22T01:20:00.000Z",15.13,2846
"2026-05-22T01:25:00.000Z",15.03,2827
"2026-05-22T01:30:00.000Z",18.71,3519
"2026-05-22T01:35:00.000Z",16.43,3089
"2026-05-22T01:40:00.000Z",13.78,2591
"2026-05-22T01:45:00.000Z",14.91,2804
"2026-05-22T01:50:00.000Z",14.81,2786
"2026-05-22T01:55:00.000Z",14.89,2800
"2026-05-22T02:00:00.000Z",15.16,2852
