"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-22T21:07:20.000Z",95948,0,373640,8,0,18.1,1898200
"2026-05-22T21:07:40.000Z",95960,0,373680,8,0,18.12,1900784
"2026-05-22T21:08:00.000Z",100848,0,373640,8,0,18.1,1898208
"2026-05-22T21:08:20.000Z",100848,0,373640,8,0,18.1,1898380
"2026-05-22T21:08:40.000Z",100848,0,373640,8,0,18.09,1897024
"2026-05-22T21:09:00.000Z",98632,0,373640,8,0,18.09,1897400
"2026-05-22T21:09:20.000Z",98632,0,373640,8,0,18.1,1898084
"2026-05-22T21:09:40.000Z",98632,0,373640,8,0,18.11,1899812
"2026-05-22T21:10:00.000Z",96028,0,373640,8,0,18.1,1898688
"2026-05-22T21:10:20.000Z",95992,0,373640,8,0,18.11,1899240
"2026-05-22T21:10:40.000Z",95672,0,373640,8,0,18.09,1896996
"2026-05-22T21:11:00.000Z",95328,0,373640,8,0,18.11,1899608
"2026-05-22T21:11:20.000Z",97304,0,373640,8,0,18.07,1895316
"2026-05-22T21:11:40.000Z",98228,0,373640,8,0,18.11,1898812
"2026-05-22T21:12:00.000Z",97772,0,373640,8,0,18.11,1899744
"2026-05-22T21:12:20.000Z",96692,0,373640,8,0,18,1887420
"2026-05-22T21:12:40.000Z",97168,0,373640,8,0,18,1887424
"2026-05-22T21:13:00.000Z",98352,0,373640,8,0,18.02,1890040
"2026-05-22T21:13:20.000Z",96076,0,373640,8,0,18.01,1888444
"2026-05-22T21:13:40.000Z",96076,0,373640,8,0,18,1887564
"2026-05-22T21:14:00.000Z",96512,0,373640,8,0,18.01,1888768
"2026-05-22T21:14:20.000Z",98848,0,373640,8,0,18.01,1888464
"2026-05-22T21:14:40.000Z",98848,0,373640,8,0,18.01,1888324
"2026-05-22T21:15:00.000Z",98880,0,373640,8,0,18.01,1889328
"2026-05-22T21:15:20.000Z",95056,0,373640,8,0,18.03,1890564
"2026-05-22T21:15:40.000Z",94732,0,373640,8,0,18,1887812
"2026-05-22T21:16:00.000Z",94060,0,373640,8,0,18.06,1894508
"2026-05-22T21:16:20.000Z",101664,0,373640,8,0,18.01,1888496
"2026-05-22T21:16:40.000Z",102580,0,373640,8,0,18.03,1890968
"2026-05-22T21:17:00.000Z",102992,0,373640,8,0,18.11,1899312
"2026-05-22T21:17:20.000Z",96536,0,373640,8,0,18.06,1894068
"2026-05-22T21:17:40.000Z",96892,0,373640,8,0,18.01,1889016
"2026-05-22T21:18:00.000Z",96932,0,373640,8,0,18.01,1888848
"2026-05-22T21:18:20.000Z",96436,0,373640,8,0,18.01,1888848
"2026-05-22T21:18:40.000Z",96436,0,373640,8,0,18.08,1895836
"2026-05-22T21:19:00.000Z",96440,0,373640,8,0,18.02,1890352
"2026-05-22T21:19:20.000Z",97644,0,373640,8,0,18.04,1891504
"2026-05-22T21:19:40.000Z",97648,0,373640,8,0,18.02,1890304
"2026-05-22T21:20:00.000Z",97660,0,373640,8,0,18.05,1893312
"2026-05-22T21:20:20.000Z",95716,0,373640,8,0,18,1887452
"2026-05-22T21:20:40.000Z",97044,0,373640,8,0,18.04,1891940
"2026-05-22T21:21:00.000Z",97384,0,373640,8,0,18.09,1897120
"2026-05-22T21:21:20.000Z",98612,0,373640,8,0,18.01,1888456
"2026-05-22T21:21:40.000Z",99164,0,373640,8,0,18.01,1888952
"2026-05-22T21:22:00.000Z",122924,0,456584,8,0,19.02,1994816
"2026-05-22T21:22:20.000Z",141180,0,456800,8,0,18.98,1990236
"2026-05-22T21:22:40.000Z",141200,0,456824,8,0,18.98,1990580
"2026-05-22T21:23:00.000Z",202668,0,456868,8,0,18.99,1991340
"2026-05-22T21:23:20.000Z",202044,0,456872,8,0,19,1992544
"2026-05-22T21:23:40.000Z",202060,0,456888,8,0,19,1993104
"2026-05-22T21:24:00.000Z",137808,0,456924,8,0,18.99,1991436
"2026-05-22T21:24:20.000Z",120684,0,456940,8,0,19.04,1996768
"2026-05-22T21:24:40.000Z",120808,0,456952,8,0,19.02,1994424
"2026-05-22T21:25:00.000Z",119712,0,456960,8,0,19.03,1995268
"2026-05-22T21:25:20.000Z",114808,0,456960,8,0,18.93,1985364
"2026-05-22T21:25:40.000Z",115744,0,456960,8,0,18.92,1984612
"2026-05-22T21:26:00.000Z",116008,0,456960,8,0,19.02,1995136
"2026-05-22T21:26:20.000Z",119244,0,456960,8,0,18.95,1987132
"2026-05-22T21:26:40.000Z",119244,0,456960,8,0,18.97,1989308
"2026-05-22T21:27:00.000Z",115296,0,456960,8,0,18.97,1988988
"2026-05-22T21:27:20.000Z",112060,0,456960,8,0,18.88,1980212
"2026-05-22T21:27:40.000Z",112204,0,456960,8,0,18.91,1983648
"2026-05-22T21:28:00.000Z",113352,0,456972,8,0,18.91,1982780
"2026-05-22T21:28:20.000Z",115660,0,456988,8,0,18.95,1987508
"2026-05-22T21:28:40.000Z",115664,0,457008,8,0,18.91,1983084
"2026-05-22T21:29:00.000Z",116432,0,457044,8,0,18.9,1982204
"2026-05-22T21:29:20.000Z",116548,0,457060,8,0,18.91,1982696
"2026-05-22T21:29:40.000Z",116548,0,457072,8,0,18.93,1985072
"2026-05-22T21:30:00.000Z",116132,0,457084,8,0,18.94,1985836
"2026-05-22T21:30:20.000Z",116140,0,457084,8,0,18.91,1983308
"2026-05-22T21:30:40.000Z",111176,0,457084,8,0,18.9,1982644
"2026-05-22T21:31:00.000Z",112408,0,457084,8,0,18.96,1988036
"2026-05-22T21:31:20.000Z",110504,0,457084,8,0,18.9,1981868
"2026-05-22T21:31:40.000Z",114208,0,457084,8,0,18.87,1978640
